(H)ukšā́	<i>noun</i><br><ol><li>bull</li></ol>
bʰinátˢti	<i>verb</i><br><ol><li>to split, break</li></ol>
bʰráHtā	<i>noun</i><br><ol><li>brother</li></ol>
bʰr̥ȷ́ʰáns|bʰárȷ́ʰyas|bʰárȷ́ʰištʰas	<i>adj</i><br><ol><li>high, tall</li></ol>
bʰuHtás	<i>adj</i><br><ol><li>become, been</li></ol>
bʰudʰnás|bʰudʰnáyaw|bʰudʰnám|bʰudʰnáyās|bʰudʰnásya|bʰudʰna|bʰudʰnā́y|bʰudʰnáy|bʰudʰnā́nam|bʰudʰnā́naHm|bʰudʰnáybʰyas|bʰudʰnā́t|bʰudʰnā́yš|bʰudʰnáyšu|bʰudʰnā́ns|bʰudʰnā́|bʰudʰnáybʰyaH	<i>noun</i><br><ol><li>bottom, ground</li></ol>
bʰuȷ́ás|bʰuȷ́ānam|bʰuȷ́āt|bʰuȷ́am|bʰuȷ́as|bʰuȷ́ay|bʰuȷ́āyš|bʰuȷ́aybʰyaH|bʰuȷ́a|bʰuȷ́āy|bʰuȷ́asya|bʰuȷ́ayaw|bʰuȷ́ayās|bʰuȷ́ā|bʰuȷ́aybʰyas|bʰuȷ́āns|bʰuȷ́ayšu|bʰuȷ́ānaHm	<i>noun</i><br><ol><li>goat</li></ol>
bʰáHas	<i>noun</i><br><ol><li>light</li></ol>
bʰáHmas|bʰáHmā|bʰáHmāy|bʰáHmāyš|bʰáHmayās|bʰáHmānaHm|bʰáHmasya|bʰáHmānam|bʰáHmayšu|bʰáHmay|bʰáHma|bʰáHmāns|bʰáHmāt|bʰáHmayaw|bʰáHmaybʰyas|bʰáHmam|bʰáHmaybʰyaH	<i>noun</i><br><ol><li>light, splendor, radiance</li></ol>
bʰáHti|3rd|2nd|1st	<i>verb</i><br><ol><li>to shine</li></ol>
bʰábʰruš|bʰábʰrā?|bʰábʰrubʰyaH|bʰábʰrunām?|bʰábʰrubʰiš|bʰábʰraw|bʰábʰrušu|bʰábʰrāw?|bʰábʰraway|bʰábʰrum|bʰábʰrubʰyas|bʰábʰruwaHs|bʰábʰrunš|bʰábʰrawš|bʰábʰruH|bʰábʰrawas|bʰábʰruwaw	<i>adj</i><br><ol><li>reddish-brown, deep-brown, tawny</li></ol><br><i>noun</i><br><ol><li>beaver, mongoose</li><li>reddish-brown animal</li><li>one of the ten species of dogs of Indo-Iranian creation myth</li></ol>
bʰárati|bʰáratʰas|3rd|bʰaryáytʰās|bʰaráyHātām|bʰáratu|bʰaryádʰHway|bʰáraHma|bʰáratay|abʰaryáytʰām|bʰárant|abʰáraytām|abʰaryátʰās|bʰartás|bʰáradʰHwam|bʰaryáHmadʰHay|bʰaryásay|bʰartwáH|abʰáratʰās|bʰaryáyHātām|abʰaryáHwadʰHi|abʰáraytʰām|bʰáraHni|abʰaryáytām|bʰáraHmas|abʰaryáHmadʰHi|bʰárays|bʰárata|bʰaryámHnas|abʰaráHwadʰHi|bʰaryáymadʰHi|bʰaryáytām|abʰaryáy|bʰáraytʰay|bʰáraHmi|bʰárayHam|bʰaryáswa|bʰárayta|bʰáraHy|bʰaryádʰHwam|bʰáranti|bʰaryáyrant|bʰáraytʰām|bʰáraytʰās|abʰáraHma|bʰáraydʰHwam|ábʰaram|bʰárayrant|ábʰarant|bʰaryáHmadʰHaHy|bʰaryáy|bʰaryáHwadʰHay|bʰáraswa|bʰára|bʰaráyHātʰām|bʰaryátay|abʰáradʰHwam|bʰáratām|abʰárata|bʰaráHwadʰHay|bʰáraywa|bʰaryáyHātʰām|bʰárantam|bʰaryáytʰām|bʰáraytām|bʰáray|2nd|bʰaryántay|bʰaryáytay|abʰáratam|ábʰarat|bʰaryátām|bʰárantu|bʰaryáHwadʰHaHy|abʰáratām|bʰaryáywadʰHi|bʰaráHmadʰHay|bʰáramHnas|bʰaryántam|bʰaráHmadʰHaHy|bʰáraymas|bʰaryáydʰHwam|bʰaryáytʰay|bʰaryáHy|bʰáryas|bʰáraytay|bʰaráHwadʰHaHy|bʰaryáyta|bʰáratas|bʰaráywadʰHi|bʰártum|1st|bʰárasi|bʰáraHwas|bʰaryáyHa|bʰáratʰa|abʰáraHwa|bʰáraHwa|bʰaráymadʰHi|bʰárayHunt|ábʰaray|bʰáraytam|abʰáranta|bʰáratam|ábʰaras|bʰárasay|bʰárantay|bʰárayt|abʰaryáta|abʰaryánta|abʰaryádʰHwam|bʰárayHa|abʰaráHmadʰHi	<i>verb</i><br><ol><li>to bear</li><li>to carry</li><li>to take (away)</li></ol>
bʰáwdʰati|3rd|bʰudʰyántam|bʰáwdʰaytay|bʰudʰyáyta|bʰáwdʰaHwas|abʰudʰyátʰās|abʰáwdʰaytʰām|bʰudʰyáHmadʰHay|bʰáwdʰayHam|bʰáwdʰaydʰwam|bʰáwdʰaytʰay|bʰáwdʰatu|bʰawdʰáymadʰHi|bʰawdʰáHwadʰHaHy|bʰáwdʰaywa|ábʰawdʰat|bʰudʰyáyrant|bʰudʰyásay|bʰawdʰáyHātām|abʰudʰyáHmadʰHi|ábʰawdʰay|bʰudʰyáy|bʰáwdʰatʰa|bʰudʰyáymadʰHi|bʰáwdʰasay|bʰáwdʰa|bʰáwdʰaHmi|bʰudʰyátām|bʰudʰyáHmadʰHaHy|bʰudʰyáHwadʰHaHy|bʰudʰyáytʰay|bʰudʰyáyHātʰām|bʰudʰyáyHātām|bʰáwdʰays|abʰudʰyáy|bʰáwdʰaytām|bʰawdʰáHmadʰHay|bʰudʰyáydʰwam|bʰáwdʰaHy|bʰáwdʰay|bʰáwdʰaswa|bʰudʰyáHy|bʰáwdᶻdʰum|abʰáwdʰaHwa|bʰudʰyáytay|bʰáwdʰatām|bʰáwdʰaymas|bʰudʰyántay|bʰudᶻdʰás|bʰudʰyádʰway|bʰáwdʰaHma|abʰáwdʰanta|bʰudᶻdʰwáH|bʰáwdʰasi|ábʰawdʰant|abʰudʰyánta|bʰáwdʰamHnas|abʰáwdʰatam|bʰawdʰáyHātʰām|abʰawdʰáHwadʰHi|abʰudʰyáHwadʰHi|abʰudʰyáta|bʰáwdʰayta|bʰáwdʰatam|2nd|bʰáwdʰáytʰām|bʰáwdʰanti|bʰáwdʰantay|bʰudʰyáyHa|bʰudʰyádʰwam|ábʰawdʰas|bʰáwdʰadʰway|bʰudʰyáytām|bʰáwdʰant|bʰáwdʰatay|bʰáwdʰayrant|abʰáwdʰaHma|bʰudʰyáswa|bʰáwdʰayHunt|abʰáwdʰata|bʰudʰyáytʰās|bʰudʰyáytʰām|bʰáwdʰayt|bʰáwdʰantu|bʰawdʰáywadʰHi|bʰáwdʰaytʰās|abʰudʰyádʰwam|bʰáwdʰyas|bʰáwdʰaHmas|abʰawdʰáHmadʰHi|abʰáwdʰaytām|1st|abʰudʰyáytʰām|bʰawdʰáHwadʰHay|ábʰawdʰam|abʰáwdʰadʰwam|bʰudʰyáHwadʰHay|bʰáwdʰadʰwam|bʰáwdʰaytam|bʰudʰyámHnas|bʰudʰyátay|bʰáwdʰatʰas|abʰudʰyáytām|bʰáwdʰatas|bʰáwdʰata|bʰáwdʰayHa|bʰáwdʰaHni|abʰáwdʰatʰās|abʰáwdʰatām|bʰudʰyáywadʰHi|bʰáwdʰantam|bʰáwdʰaHwa|bʰawdʰáHmadʰHaHy	<i>verb</i><br><ol><li>to be awake</li></ol>
bʰáydati	<i>verb</i><br><ol><li>to split</li></ol>
bʰúHmiš|bʰúHmīn|bʰúHmiH|bʰúHmayām?|bʰúHmayay|bʰúHmayas|bʰúHmyā|bʰúHmay|bʰúHmayš|bʰúHmišu|bʰúHmim|bʰúHmyawš|bʰúHmibʰyām|bʰúHmāw|bʰúHmibʰiš|bʰúHmištyā|bʰúHmibʰyas	<i>noun</i><br><ol><li>earth, land</li></ol>
bʰúHriš|bʰúHrištʰas|bʰáwHyas	<i>adj</i><br><ol><li>abundant, plentiful, numerous</li></ol>
bʰāgás|bʰāgam|bʰāgānam|bʰāgā|bʰāgaybʰyas|bʰāgayšu|bʰāgāy|bʰāgayās|bʰāgaybʰyaH|bʰāgānaHm|bʰāgay|bʰāgāns|bʰāgāyš|bʰāga|bʰāgasya|bʰāgāt|bʰāgas|bʰāgayaw	<i>noun</i><br><ol><li>division</li><li>allotment</li></ol>
daHiwā́	<i>noun</i><br><ol><li>husband's brother</li></ol>
dasrás	<i>adj</i><br><ol><li>skillful, capable, masterful</li></ol>
daywás|daywā́nam|daywáy|daywā́ns|daywáybʰyaH|daywáyās|daywásya|daywa|daywáyšu|daywā́yš|daywā́t|daywā́|daywáyaw|daywáybʰyas|daywám|daywā́y|daywā́naHm	<i>noun</i><br><ol><li>(religion) god</li></ol>
daćamás	<i>adj</i><br><ol><li>tenth</li></ol>
dmáHnas|dmáHna|dmáHnayšu|dmáHnā|dmáHnaybʰyas|dmáHnam|dmáHnaybʰyaH|dmáHnāyš|dmáHnay|dmáHnasya|dmáHnānaHm|dmáHnayaw|dmáHnānam|dmáHnayās|dmáHnāy|dmáHnāt|dmáHnāns	<i>noun</i><br><ol><li>building, dwelling, house</li></ol>
dráwnam|dráwnāyš|dráwnānaHm|dráwnayaw|dráwnaybʰyas|dráwnayšu|dráwnaybʰyaH|dráwnaH|dráwnāt|dráwnā|dráwnānam|dráwnay|dráwnayās|dráwnasya|dráwnāy	<i>noun</i><br><ol><li>wooden object</li></ol>
dr̥Hgʰás|dráHǰʰyas|dráHǰʰištʰas	<i>adj</i><br><ol><li>long, lengthy</li></ol>
dr̥štás	<i>adj</i><br><ol><li>seen, visible, apparent</li></ol>
duHrás	<i>adj</i><br><ol><li>distant, far</li><li>long, remote</li></ol>
dušmánas	<i>adj</i><br><ol><li>ill-dispositioned</li><li>perverse-minded</li></ol><br><i>noun</i><br><ol><li>ill-disposition</li><li>perversity of the mind</li></ol>
dwitī́yas	<i>num</i><br><ol><li>second</li></ol><br><i>adj</i><br><ol><li>second</li></ol>
dwáH	<i>num</i><br><ol><li>two</li></ol>
dwáyšas	<i>noun</i><br><ol><li>hatred, hostility, enmity</li></ol>
dyáti|3rd|2nd|1st	<i>verb</i><br><ol><li>to bind</li></ol>
dyā́wš	<i>noun</i><br><ol><li>sky, heaven</li></ol>
dáHnam|dáHnāyš|dáHnāt|dáHnayās|dáHnaybʰyaH|dáHnaH|dáHnaybʰyas|dáHnānaHm|dáHnayaw|dáHnayšu|dáHnānam|dáHnay|dáHnā|dáHnasya|dáHnāy	<i>noun</i><br><ol><li>gift</li></ol>
dáHtā	<i>noun</i><br><ol><li>giver</li></ol>
dádaHti|3rd|2nd|1st	<i>verb</i><br><ol><li>to give</li></ol>
dáwš	<i>noun</i><br><ol><li>forearm, arm</li></ol>
dáća	<i>num</i><br><ol><li>ten</li></ol>
dáćšinas|dáćšinānam|dáćšinayšu|dáćšina|dáćšinay|dáćšinasya|dáćšināt|dáćšināy|dáćšinānaHm|dáćšināns|dáćšināyš|dáćšinā|dáćšinaybʰyaH|dáćšinayās|dáćšinayaw|dáćšinam|dáćšinaybʰyas	<i>noun</i><br><ol><li>right (side)</li><li>south</li></ol>
dā́ru|dā́rubʰiš|dā́raway|dā́rā?|dā́ruwaw|dā́runām?|dā́rāw?|dā́rušu|dā́rawš|dā́ruH|dā́rubʰyas|dā́ruwaHs|dā́raw|dā́rubʰyaH	<i>noun</i><br><ol><li>tree</li><li>wood</li></ol>
dʰa(H)inúš|dʰaHinúáH|dʰaHinúām|dʰaHinúsu|dʰa (H)inúš|dʰaHinúám|dʰaHinúás|dʰainú|dʰaHinúáy|dʰainúbʰíš|dʰaHinúí|dʰainúš|dʰaHinúbʰíš|dʰainúáy|dʰainúí|dʰaHinúā́w|dʰaHinúš|dʰaHinúbʰyáH|dʰainúbʰyáH|dʰainúām|dʰainúsu|dʰainúás|dʰainúā́w|dʰainúáH|dʰaHinúáwš|dʰainúáwš|dʰainúám|dʰaHinú	<i>noun</i><br><ol><li>milch cow</li></ol>
dʰaHtā́	<i>noun</i><br><ol><li>creator</li></ol>
dʰruwás	<i>adj</i><br><ol><li>fixed, firm</li></ol>
dʰruǰʰyáti|3rd|2nd|1st	<i>verb</i><br><ol><li>to deceive</li></ol>
dʰráwgʰas	<i>noun</i><br><ol><li>lie, deception</li><li>treachery</li><li>offence</li></ol>
dʰrúkš|dʰrúǰ|dʰrúǰʰām|dʰrúǰʰáH|dʰrúǰʰáwš|dʰrúǰʰám|dʰrúǰʰás|dʰrúkšu|dʰrúǰʰí|dʰrúgbʰyaH|dʰrúgbʰiš|dʰrúǰʰáy	<i>noun</i><br><ol><li>lie, falsehood, deceit</li><li>injury, harm</li></ol>
dʰr̥ždʰás	<i>adj</i><br><ol><li>firm, steadfast</li></ol>
dʰuHmás|dʰuHmásya|dʰuHmā́ns|dʰuHmáybʰyas|dʰuHmám|dʰuHmáy|dʰuHmáyās|dʰuHmā́|dʰuHmáybʰyaH|dʰuHmā́nam|dʰuHmā́yš|dʰuHmā́t|dʰuHmā́y|dʰuHmā́naHm|dʰuHma|dʰuHmáyaw|dʰuHmáyšu	<i>noun</i><br><ol><li>mist, fog</li><li>smoke</li></ol>
dʰugʰdʰā|dʰúǰʰitā	<i>noun</i><br><ol><li>daughter</li></ol>
dʰádʰaHti|3rd|2nd|1st	<i>verb</i><br><ol><li>to put, place</li></ol>
dʰárati|dʰāráyati|3rd|2nd|1st	<i>verb</i><br><ol><li>to hold, have</li></ol>
dʰáwgdʰi|dʰáwgdʰi ~ *duȷ́ʰánti|3rd|2nd|1st	<i>verb</i><br><ol><li>to milk</li></ol>
dʰáǰʰati|3rd|2nd|1st	<i>verb</i><br><ol><li>to burn</li></ol>
gaHtʰás|gaHtʰáybʰyaH|gaHtʰā́y|gaHtʰásya|gaHtʰa|gaHtʰā́yš|gaHtʰáy|gaHtʰā́naHm|gaHtʰā́|gaHtʰā́nam|gaHtʰā́ns|gaHtʰáyās|gaHtʰáyaw|gaHtʰā́t|gaHtʰáyšu|gaHtʰáybʰyas|gaHtʰám	<i>noun</i><br><ol><li>song</li></ol>
gadaH|gadáH|gádaH	<i>noun</i><br><ol><li>club, mace</li></ol>
gatás	<i>adj</i><br><ol><li>gone</li><li>come</li></ol>
gnáHs	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
griHwáH|griHwāyaw|griHwáyaH|griHwáHbʰyā|griHwáHbʰiš|griHwáyaHs|griHwáyaHm|griHwáy|griHway|griHwā́m|griHwáyaHy|griHwáHsu|griHwāyās|griHwáHnām|griHwáyaH́|griHwā́s|griHwáHbʰyām|griHwáHbʰyas	<i>noun</i><br><ol><li>neck, throat</li></ol>
grā́mas|grā́māt|grā́mam|grā́may|grā́māyš|(H)grā́mas|grā́mānaHm|grā́maybʰyas|grā́mā|grā́maybʰyaH|grā́mayaw|grā́mayšu|grā́māy|grā́mayās|grā́māns|grā́ma|grā́masya|grā́mānam	<i>noun</i><br><ol><li>village, town</li><li>community</li></ol>
gr̥Híš	<i>noun</i><br><ol><li>mountain</li></ol>
gr̥Húš|gárHyas|gárištʰas	<i>adj</i><br><ol><li>heavy</li></ol>
guHtʰás	<i>noun</i><br><ol><li>excrement</li></ol>
gárbʰas|gárbʰayaw|gárbʰam|gárbʰā|gárbʰaybʰyaH|gárbʰānaHm|gárbʰānam|gárbʰasya|gárbʰaybʰyas|gárbʰa|gárbʰayšu|gárbʰayās|gárbʰay|gárbʰāt|gárbʰāns|gárbʰāyš|gárbʰāy	<i>noun</i><br><ol><li>the womb</li><li>fetus, embryo</li></ol>
gátiš	<i>noun</i><br><ol><li>going, motion</li></ol>
gā́wš	<i>noun</i><br><ol><li>cow</li></ol>
gʰr̥dʰás|gʰr̥dʰáy|gʰr̥dʰásya|gʰr̥dʰáybʰyas|gʰr̥dʰám|gʰr̥dʰā́|gʰr̥dʰā́naHm|gʰr̥dʰáyās|gʰr̥dʰā́yš|gʰr̥dʰáyaw|gʰr̥dʰā́nam|gʰr̥dʰā́y|gʰr̥dʰáyšu|gʰr̥dʰā́ns|gʰr̥dʰa|gʰr̥dʰáybʰyaH|gʰr̥dʰā́t	<i>noun</i><br><ol><li>enclosure</li><li>house</li></ol>
gʰáwšas|gʰáwšaybʰyas|gʰáwšāt|gʰáwšay|gʰáwšasya|gʰáwšam|gʰáwšāyš|gʰáwšānaHm|gʰáwšaybʰyaH|gʰáwšayaw|gʰáwšā|gʰáwšāns|gʰáwša|gʰáwšāy|gʰáwšānam|gʰáwšayšu|gʰáwšayās	<i>noun</i><br><ol><li>noise, sound</li></ol>
gʰáwšati	<i>verb</i><br><ol><li>to hear, listen</li><li>to shout</li></ol>
iyám	<i>pron</i><br><ol><li>she (proximal)</li></ol>
kanyáH	<i>noun</i><br><ol><li>young girl, maiden</li></ol>
kapáwtas|kapáwtā|kapáwtānam|kapáwtāt|kapáwtam|kapáwtayšu|kapáwtayaw|kapáwtasya|kapáwtāns|kapáwta|kapáwtānaHm|kapáwtay|kapáwtaybʰyaH|kapáwtaybʰyas|kapáwtayās|kapáwtāyš|kapáwtāy	<i>adj</i><br><ol><li>grey-blue</li></ol><br><i>noun</i><br><ol><li>pigeon, dove</li></ol>
kapā́las|kapā́lāy|kapā́lāt|kapā́lāns|kapā́lānam|kapā́layaw|kapā́lānaHm|kapā́laybʰyas|kapā́la|kapā́lāyš|kapā́lā|kapā́layšu|kapā́lam|kapā́laybʰyaH|kapā́lasya|kapā́layās|kapā́lay	<i>noun</i><br><ol><li>(anatomy) skull</li></ol>
kapʰas|kápʰas|kapʰáybʰyaH|kapʰáyās|kapʰā́nam|kapʰā́ns|kapʰā́y|kapʰā́naHm|kapʰáy|kapʰáyšu|kapʰā́t|kapʰáyaw|kapʰā́|kapʰám|kapʰásya|kapʰáybʰyas|kapʰás|kapʰā́yš|kapʰa	<i>noun</i><br><ol><li>mucus, phlegm</li></ol>
kaćyápas|kaćyápā|kaćyápāyš|kaćyápāns|kaćyápaybʰyas|kaćyápānam|kaćyápam|kaćyápay|kaćyápayaw|kaćyápasya|kaćyápāt|kaćyápānaHm|kaćyápaybʰyaH|kaćyápayās|kaćyápayšu|kaćyápāy|kaćyápa	<i>noun</i><br><ol><li>turtle</li></ol>
kaćúš	<i>adj</i><br><ol><li>small</li><li>less</li></ol>
krátuš|krátawas|krátuH|krátawš|krátum|krátuwaHs|krátubʰyas|krátāw?|krátubʰyaH|krátušu|krátubʰiš|krátā?|krátaway|krátaw|krátuwaw|krátunš|krátunām?	<i>noun</i><br><ol><li>intelligence, mental power</li></ol>
krā́mHati	<i>verb</i><br><ol><li>to tread, stride, go</li><li>to thresh</li></ol>
krā́mHti	<i>verb</i><br><ol><li>to stride, go</li></ol>
kr̥dʰHúš|krádʰHištʰas|krádʰHyas	<i>adj</i><br><ol><li>short</li><li>crooked, defective</li></ol>
kr̥náwti	<i>verb</i><br><ol><li>to do, make</li></ol>
kr̥tás	<i>adj</i><br><ol><li>done, made</li></ol>
kr̥ćás	<i>adj</i><br><ol><li>thin, emaciated</li><li>lean</li></ol>
kr̥šnás	<i>adj</i><br><ol><li>black, dark</li></ol>
káHmas|káHmaybʰyaH|káHmāy|káHmayaw|káHmaybʰyas|káHmayšu|káHmāyš|káHmā|káHmay|káHmāns|káHmayās|káHmam|káHmānam|káHmānaHm|káHma|káHmasya|káHmāt	<i>noun</i><br><ol><li>wish, desire</li></ol>
kádruš	<i>adj</i><br><ol><li>brown, tan</li></ol>
kás|kád|káH	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
káti	<i>det</i><br><ol><li>how many?</li></ol>
káwHiš|káwHay|káwHā?|káwHayas|káwHiH|káwHibʰyām|káwHayš|káwHayām?|káwHayay|káwHibʰyas|káwHyawš|káwHāw?|káwHim|káwHīn|káwHišu|káwHibʰiš	<i>noun</i><br><ol><li>seer, poet</li><li>institutor of religious rites</li></ol><br><i>adj</i><br><ol><li>insightful, wise</li></ol>
káćšas|káćšāyš|káćšaybʰyas|káćšayaw|káćšāns|káćšay|káćša|káćšasya|káćšāt|káćšāy|káćšayšu|káćšayās|káćšam|káćšā|káćšānaHm|káćšānam|káćšaybʰyaH	<i>noun</i><br><ol><li>(anatomy) armpit</li></ol>
kŕ̥miš|kŕ̥miH|kŕ̥mayām?|kŕ̥māw?|kŕ̥myawš|kŕ̥mibʰyām|kŕ̥mayš|kŕ̥mayay|kŕ̥mā?|kŕ̥mibʰiš|kŕ̥mišu|kŕ̥mayas|kŕ̥mibʰyas|kŕ̥mīn|kŕ̥mim|kŕ̥may	<i>noun</i><br><ol><li>worm</li></ol>
kšatrám	<i>noun</i><br><ol><li>kingdom, dominion, empire</li><li>rule, reign</li></ol>
kšiHrám|kšiHrā́|kšiHráH|kšiHrā́naHm|kšiHrásya|kšiHrā́nam|kšiHrā́yš|kšiHráy|kšiHráybʰyaH|kšiHráyšu|kšiHrā́t|kšiHráyaw|kšiHrā́y|kšiHráyās|kšiHráybʰyas	<i>noun</i><br><ol><li>milk</li></ol>
kšnáwti	<i>verb</i><br><ol><li>to whet, sharpen</li></ol>
kšudrás	<i>adj</i><br><ol><li>minute, small</li><li>dispersed</li></ol>
kšurás|kšurā́nam|kšuráybʰyaH|kšuráy|kšuráybʰyas|kšurā́y|kšuráyās|kšurā́naHm|kšurā́|kšuráyaw|kšurā́yš|kšurā́t|kšurám|kšura|kšurásya|kšuráyšu|kšurā́ns	<i>noun</i><br><ol><li>dagger, razor, sharp knife</li></ol>
kšáps	<i>noun</i><br><ol><li>night</li></ol>
kšáwdas	<i>noun</i><br><ol><li>swell of the sea</li></ol>
kʰumbʰás|kʰumbʰas	<i>noun</i><br><ol><li>pot</li></ol>
kʰáras|kʰárānam|kʰárāns|kʰárāy|kʰáraybʰyas|kʰárayšu|kʰárayās|kʰárasya|kʰárāt|kʰárāyš|kʰárānaHm|kʰárayaw|kʰárā|kʰára|kʰáray|kʰáraybʰyaH|kʰáram	<i>noun</i><br><ol><li>donkey</li></ol>
kʰā́	<i>noun</i><br><ol><li>well, spring, source</li></ol>
maH	<i>particle</i><br><ol><li>prohibitive particle: do not</li></ol>
makáćas	<i>noun</i><br><ol><li>fly, gnat, mosquito</li></ol>
manzdʰHrás	<i>adj</i><br><ol><li>wise</li></ol>
marwíš|marwáyām?|marwáy|marwíbʰyām|marwáyas|marwáyš|marwíbʰiš|marwíšu|marwíbʰyas|marwáyay|marwím|marwíH|marwyáwš|marwā́(w)?|marwíH́|marwī́n	<i>noun</i><br><ol><li>ant</li></ol>
matíš|matíbʰyām|matáyām?|matíH|matíbʰyas|matíbʰiš|matā́w|matím|matyáwš|matáy|matáyš|matī́n|matištyā́|matíšu|matáyay|matáyas|matyā́	<i>noun</i><br><ol><li>thought</li></ol>
matˢtás	<i>adj</i><br><ol><li>drunk, intoxicated</li></ol>
mayšás|mayšā́|mayšáy|mayšáyaw|mayša|mayšám|mayšā́nam|mayšā́t|mayšā́yš|mayšā́ns|mayšásya|mayšáyās|mayšáybʰyaH|mayšā́y|mayšáyšu|mayšáybʰyas|mayšā́naHm	<i>noun</i><br><ol><li>ram</li></ol>
mayū́kʰas|mayū́kʰāt|mayū́kʰasya|mayū́kʰaybʰyas|mayū́kʰāyš|mayū́kʰā|mayū́kʰānam|mayū́kʰāns|mayū́kʰayaw|mayū́kʰayšu|mayū́kʰa|mayū́kʰaybʰyaH|mayū́kʰānaHm|mayū́kʰay|mayū́kʰam|mayū́kʰāy|mayū́kʰayās	<i>noun</i><br><ol><li>peg, nail</li></ol>
mazdʰáH|mazdʰáyaH|mazdʰáyaHm|mazdʰā́m|mazdʰay|mazdʰáyaHs|mazdʰā́s|mazdʰáHbʰyas|mazdʰáHsu|mazdʰáHnām|mazdʰáHbʰyā|mazdʰāyās|mazdʰáyaH́|mazdʰáHbʰyām|mazdʰáHbʰiš|mazdʰáyaHy|mazdʰāyaw|mazdʰáy	<i>noun</i><br><ol><li>wisdom, intelligence</li></ol>
mazgʰás|mazgʰáy|mazgʰásya|mazgʰáybʰyas|mazgʰā́ns|mazgʰā́t|mazgʰā́naHm|mazgʰám|mazgʰáyās|mazgʰáyšu|mazgʰā́nam|mazgʰa|mazgʰā́yš|mazgʰáyaw|mazgʰā́|mazgʰáybʰyaH|mazgʰā́y	<i>noun</i><br><ol><li>marrow, pith</li><li>brain</li></ol>
mazǰʰā́	<i>noun</i><br><ol><li>marrow, pith</li><li>brain</li></ol>
maćšúš	<i>adv</i><br><ol><li>quickly, rapidly</li></ol>
maȷ́ʰā́	<i>adj</i><br><ol><li>big, great</li></ol>
mitrás|mitra|mitrā́t|mitráyās|mitrā́nam|mitráyaw|mitráybʰyaH|mitrā́naHm|mitrám|mitráyšu|mitrā́yš|mitrā́ns|mitráybʰyas|mitrásya|mitrā́y|mitráy|mitrā́	<i>noun</i><br><ol><li>covenant</li><li>treaty</li><li>agreement</li><li>promise</li></ol>
mićrás	<i>adj</i><br><ol><li>mixed</li></ol>
miždʰám|miždʰáybʰyas|miždʰā́y|miždʰásya|miždʰáyšu|miždʰáybʰyaH|miždʰáyaw|miždʰáyās|miždʰā́nam|miždʰáy|miždʰā́naHm|miždʰáH|miždʰā́yš|miždʰā́t|miždʰā́	<i>noun</i><br><ol><li>reward</li></ol>
mriyátay	<i>verb</i><br><ol><li>to die</li></ol>
mráwHti	<i>verb</i><br><ol><li>to say, talk</li></ol>
mr̥Hdʰā́	<i>noun</i><br><ol><li>forehead, head</li></ol>
mr̥dúš|mrádištʰas|mrádyas	<i>adj</i><br><ol><li>soft, mild, weak</li></ol>
mr̥gás|mr̥ga|mr̥gám|mr̥gā́yš|mr̥gásya|mr̥gā́naHm|mr̥gā́y|mr̥gáybʰyas|mr̥gáyšu|mr̥gā́nam|mr̥gā́ns|mr̥gáyās|mr̥gáyaw|mr̥gā́t|mr̥gáy|mr̥gáybʰyaH|mr̥gā́	<i>noun</i><br><ol><li>a forest animal</li></ol>
mr̥tyúš	<i>noun</i><br><ol><li>death</li></ol>
mr̥tás	<i>adj</i><br><ol><li>dead</li><li>mortal</li></ol>
mr̥ȷ́ʰúš|mráȷ́ʰištʰas|mráȷ́ʰyas	<i>adj</i><br><ol><li>short</li><li>brief</li></ol>
muštíš|muštáyš|muštíH|muštíbʰyas|muštā́(w)?|muštíbʰiš|muštáyas|muštyáwš|muštáyām?|muštíbʰyām|muštáyay|muštī́n|muštíH́|muštíšu|muštím|muštáy	<i>noun</i><br><ol><li>fist</li></ol>
máHtā	<i>noun</i><br><ol><li>mother</li></ol>
mádu	<i>noun</i><br><ol><li>honey</li><li>wine</li></ol>
mádʰu	<i>noun</i><br><ol><li>honey</li><li>wine</li></ol>
mádʰyas	<i>adj</i><br><ol><li>middle</li></ol>
mákš|mákš ~ *makás	<i>noun</i><br><ol><li>midge, fly, bee</li></ol>
mákšiH	<i>noun</i><br><ol><li>midge, fly, bee</li></ol>
mánas|mánam|mánayšu|mánasya|mánāyš|mánāt|mánānam|mánaybʰyas|mánayās|mánānaHm|mánāns|mánaybʰyaH|mánā|mána|mánay|mánayaw|mánāy	<i>noun</i><br><ol><li>mind, intellect, thought</li></ol>
mántram|mántraH|mántrāt|mántray|mántrasya|mántraybʰyaH|mántraybʰyas|mántrāy|mántrānaHm|mántrānam|mántrā|mántrayšu|mántrāyš|mántrayās|mántrayaw	<i>noun</i><br><ol><li>meditation, chanting</li></ol>
mányatay	<i>verb</i><br><ol><li>to think, consider</li></ol>
mártyas|mártyasya|mártyā|mártyānam|mártyāyš|mártyayās|mártyay|mártyāns|mártyānaHm|mártyaybʰyaH|mártyayaw|mártyayšu|mártyaybʰyas|mártyam|mártyāt|mártyāy|mártya	<i>noun</i><br><ol><li>mortal, man</li></ol>
