argaa	<i>noun</i><br><ol><li>gift, present</li></ol>
argachuu	<i>verb</i><br><ol><li>to find</li><li>to earn</li></ol>
ariifachuu	<i>verb</i><br><ol><li>to hurry</li></ol>
arraabuu	<i>verb</i><br><ol><li>to lick</li></ol>
arrabsoo	<i>noun</i><br><ol><li>insult</li></ol>
arrabsuu	<i>verb</i><br><ol><li>to insult</li></ol>
arrii	<i>noun</i><br><ol><li>silk</li></ol>
arroolee	<i>noun</i><br><ol><li>antelope</li></ol>
asoosama	<i>noun</i><br><ol><li>novel (work of fiction)</li></ol>
atara	<i>noun</i><br><ol><li>pea</li></ol>
awwaala	<i>noun</i><br><ol><li>burial</li></ol>
awwaara	<i>noun</i><br><ol><li>dust</li></ol>
awwagii	<i>noun</i><br><ol><li>package</li></ol>
aʼa|a'aawwan	<i>noun</i><br><ol><li>(Afaan Oromo) painful voice of sharp pain.</li></ol>
baacuu	<i>verb</i><br><ol><li>to carry</li></ol>
baadiyyaa	<i>noun</i><br><ol><li>countryside</li></ol>
baaduu	<i>noun</i><br><ol><li>cheese</li></ol>
baaldii	<i>noun</i><br><ol><li>bucket</li></ol>
baallee	<i>noun</i><br><ol><li>feather</li></ol>
baankii	<i>noun</i><br><ol><li>bank (financial institution)</li></ol>
baaqelaa	<i>noun</i><br><ol><li>bean</li></ol>
baargamoo	<i>noun</i><br><ol><li>eucalyptus</li></ol>
baasii	<i>noun</i><br><ol><li>expense</li></ol>
baatii	<i>noun</i><br><ol><li>month</li></ol>
baatuu	<i>verb</i><br><ol><li>to leave</li></ol>
baay'isuu	<i>verb</i><br><ol><li>to multiply</li></ol>
baccuu	<i>verb</i><br><ol><li>to joke, jest</li></ol>
bacoo	<i>noun</i><br><ol><li>bedbug</li></ol>
badaa	<i>adj</i><br><ol><li>bad</li></ol>
badaduu	<i>verb</i><br><ol><li>to try, attempt</li></ol>
baddaa	<i>noun</i><br><ol><li>highland</li></ol>
baduu	<i>verb</i><br><ol><li>to disappear, vanish</li></ol>
baha	<i>noun</i><br><ol><li>east</li></ol>
bahiisa aduu	<i>noun</i><br><ol><li>sunrise</li></ol>
bakakkaa	<i>noun</i><br><ol><li>thunder</li></ol>
bakka	<i>noun</i><br><ol><li>place, site, location</li></ol>
balaa	<i>noun</i><br><ol><li>accident</li></ol>
balaqqeessa	<i>noun</i><br><ol><li>lightning</li></ol>
balbala	<i>noun</i><br><ol><li>door, gate</li></ol>
balfaa	<i>noun</i><br><ol><li>garbage, trash, waste</li></ol>
banjaa	<i>noun</i><br><ol><li>blanket</li></ol>
bantuu	<i>noun</i><br><ol><li>key</li></ol>
banuu	<i>verb</i><br><ol><li>to open</li></ol>
baqachuu	<i>verb</i><br><ol><li>to flee, run away</li></ol>
baqqanaa	<i>noun</i><br><ol><li>island</li></ol>
baraaxuu	<i>verb</i><br><ol><li>to waste</li></ol>
barachuu	<i>verb</i><br><ol><li>to learn</li></ol>
barbaaduu	<i>verb</i><br><ol><li>to need</li></ol>
barreertuu	<i>noun</i><br><ol><li>password</li></ol>
barreessuu	<i>verb</i><br><ol><li>to write</li></ol>
barrisuu	<i>verb</i><br><ol><li>to fly</li></ol>
barsiisuu	<i>verb</i><br><ol><li>to teach</li></ol>
barumsa	<i>noun</i><br><ol><li>lesson</li></ol>
baruu	<i>verb</i><br><ol><li>to know</li></ol>
bashananuu	<i>verb</i><br><ol><li>to relax</li></ol>
beekuu	<i>verb</i><br><ol><li>to know</li></ol>
bidiruu	<i>noun</i><br><ol><li>canoe</li></ol>
biiftuu	<i>noun</i><br><ol><li>sun</li></ol>
biillaacha	<i>noun</i><br><ol><li>butterfly</li></ol>
biiraa	<i>noun</i><br><ol><li>beer</li></ol>
bikkooma	<i>noun</i><br><ol><li>measurement</li></ol>
bilbila	<i>noun</i><br><ol><li>small bell</li><li>telephone</li></ol>
bilisummaa	<i>noun</i><br><ol><li>freedom, liberty</li></ol>
birraa	<i>noun</i><br><ol><li>autumn, fall</li></ol>
birtukaanii	<i>noun</i><br><ol><li>orange (fruit)</li></ol>
bisaani	<i>noun</i><br><ol><li>(Borana, Orma, Waata) water</li></ol>
bishaan	<i>noun</i><br><ol><li>(Harar, Maca, Qottu) water</li></ol>
bituu	<i>verb</i><br><ol><li>to buy</li></ol>
biyyoo	<i>noun</i><br><ol><li>soil</li></ol>
biyyoomaa	<i>noun</i><br><ol><li>citizen</li></ol>
bo'oo	<i>noun</i><br><ol><li>ditch</li></ol>
boba'aa	<i>noun</i><br><ol><li>fuel</li></ol>
bobaa	<i>noun</i><br><ol><li>armpit</li></ol>
bofa	<i>noun</i><br><ol><li>snake, serpent</li></ol>
bokkaa	<i>noun</i><br><ol><li>rain</li></ol>
bona	<i>noun</i><br><ol><li>winter</li></ol>
boo'uu	<i>verb</i><br><ol><li>to weep. cry, shed tears</li></ol>
booharsuu	<i>verb</i><br><ol><li>to satisfy</li></ol>
bookee	<i>noun</i><br><ol><li>gnat</li></ol>
boolii	<i>noun</i><br><ol><li>toilet</li></ol>
boona	<i>noun</i><br><ol><li>pride</li></ol>
boongoo	<i>noun</i><br><ol><li>cave</li></ol>
boorsaa	<i>noun</i><br><ol><li>bag, sack</li></ol>
booyee	<i>noun</i><br><ol><li>pig</li></ol>
boqqolloo	<i>noun</i><br><ol><li>corn, maize</li></ol>
boraatii	<i>noun</i><br><ol><li>pillow</li></ol>
boronqii	<i>noun</i><br><ol><li>chalk</li></ol>
bosona	<i>noun</i><br><ol><li>forest</li></ol>
bu'uu	<i>verb</i><br><ol><li>to get off, dismount</li></ol>
bubbee	<i>noun</i><br><ol><li>wind</li></ol>
bulchaa	<i>noun</i><br><ol><li>governor</li></ol>
bulchuu	<i>verb</i><br><ol><li>to govern</li></ol>
bulguu	<i>noun</i><br><ol><li>monster</li></ol>
buluu	<i>verb</i><br><ol><li>to spend the night</li></ol>
buna	<i>noun</i><br><ol><li>coffee</li></ol>
buqqee mataa	<i>noun</i><br><ol><li>skull</li></ol>
buusaa	<i>noun</i><br><ol><li>knuckle</li></ol>
buusuu	<i>verb</i><br><ol><li>to lower, bring down</li></ol>
caabii	<i>noun</i><br><ol><li>plate</li></ol>
caasaa	<i>noun</i><br><ol><li>structure, framework</li></ol>
caasluga	<i>noun</i><br><ol><li>grammar</li></ol>
cabaqa	<i>noun</i><br><ol><li>dialect</li></ol>
cabbii	<i>noun</i><br><ol><li>ice</li></ol>
caffee	<i>noun</i><br><ol><li>swamp</li></ol>
calleensa	<i>noun</i><br><ol><li>silence</li></ol>
calleessuu	<i>verb</i><br><ol><li>to winnow</li></ol>
carraa	<i>noun</i><br><ol><li>fortune, luck</li></ol>
cidha	<i>noun</i><br><ol><li>wedding</li></ol>
cifaa	<i>noun</i><br><ol><li>ladle</li></ol>
ciibsuu	<i>verb</i><br><ol><li>to lay down an object</li></ol>
ciisuu	<i>verb</i><br><ol><li>to sleep</li></ol>
cimmiiguu	<i>verb</i><br><ol><li>to squeeze</li></ol>
ciniintuu	<i>noun</i><br><ol><li>pliers</li></ol>
ciniinuu	<i>verb</i><br><ol><li>to bite</li></ol>
cinqursuu	<i>verb</i><br><ol><li>to oppress</li></ol>
ciqilee	<i>noun</i><br><ol><li>elbow</li></ol>
cir'achaa	<i>noun</i><br><ol><li>sand</li></ol>
cittoo	<i>noun</i><br><ol><li>itch</li></ol>
cooma	<i>noun</i><br><ol><li>fat (bodily tissue)</li></ol>
cubbuu	<i>noun</i><br><ol><li>sin</li></ol>
cufuu	<i>verb</i><br><ol><li>to close, shut</li></ol>
cuunfaa	<i>noun</i><br><ol><li>juice</li></ol>
cuuphaa	<i>noun</i><br><ol><li>christening</li></ol>
da'oo	<i>noun</i><br><ol><li>shelter</li></ol>
da'uu	<i>verb</i><br><ol><li>to give birth</li></ol>
daa'ima	<i>noun</i><br><ol><li>baby, infant</li></ol>
daakiyyee|daakiyyeewwan|dákiýé	<i>noun</i><br><ol><li>duck</li><li>which swims in water</li><li>An aquatic bird of the family Anatidae, having a flat bill and webbed feet.</li></ol>
daakuu	<i>verb</i><br><ol><li>to swim</li></ol>
daalacha	<i>adj</i><br><ol><li>gray</li></ol>
daammii	<i>adj</i><br><ol><li>brown</li></ol>
daangaa	<i>noun</i><br><ol><li>boundary</li></ol>
daannoo	<i>noun</i><br><ol><li>fort</li></ol>
daaraa	<i>noun</i><br><ol><li>ashes</li></ol>
daaw'achuu	<i>verb</i><br><ol><li>to visit</li></ol>
daaw'ataa	<i>noun</i><br><ol><li>visitor</li></ol>
dabaluu	<i>verb</i><br><ol><li>to include</li></ol>
dafquu	<i>verb</i><br><ol><li>to sweat</li></ol>
dagachuu	<i>verb</i><br><ol><li>to forget</li><li>to neglect</li></ol>
dakiiyyee	<i>noun</i><br><ol><li>duck</li></ol>
dakuu	<i>verb</i><br><ol><li>to swim</li></ol>
daldala	<i>noun</i><br><ol><li>trade</li></ol>
daldaluu	<i>verb</i><br><ol><li>to trade</li></ol>
dalgeeta	<i>noun</i><br><ol><li>width</li></ol>
dallaa	<i>noun</i><br><ol><li>fence</li></ol>
damma	<i>noun</i><br><ol><li>honey</li></ol>
dammaqsuu	<i>verb</i><br><ol><li>to wake up (transitive)</li></ol>
dammaquu	<i>verb</i><br><ol><li>to wake up (intransitive)</li></ol>
danfisuu	<i>noun</i><br><ol><li>plantation</li></ol>
daraartuu|daraaraa	<i>adj</i><br><ol><li>something that flowers.</li></ol>
darbachuu	<i>verb</i><br><ol><li>to throw</li></ol>
deebi'uu	<i>verb</i><br><ol><li>to come back, return</li></ol>
deebisuu	<i>verb</i><br><ol><li>to give back an object, return</li></ol>
deemsa	<i>noun</i><br><ol><li>journey, trip</li></ol>
deemuu|deemaan jira|ni deemna|ni deemtu|deemte|deemaarta|deemi|deemtaniittu|deemaarra|haa deeman|ni deemta|deemne|Overview of Conjugation|deemaarti|deemaniiru|Verb Conjugation|deemaartu|haa deemtu|deemaaru|deemteetta|deemneerra|deemaara|PRONOUN|nandeema|deeme|deemaa|deemteetti|deeman|deemeera|haa deemnu|haa deemu|deemtan|ni deema|ni deemu|ni deemti	<i>verb</i><br><ol><li>to go</li></ol>
demdemoo	<i>noun</i><br><ol><li>ceiling</li></ol>
dha'uu	<i>verb</i><br><ol><li>to hit, strike</li></ol>
dhaaluu	<i>verb</i><br><ol><li>to inherit</li></ol>
dhadhaa	<i>noun</i><br><ol><li>butter</li></ol>
dhaga'uu	<i>verb</i><br><ol><li>to hear</li></ol>
dhagaa	<i>noun</i><br><ol><li>stone</li></ol>
dhaggeeffachuu	<i>verb</i><br><ol><li>to listen</li></ol>
dhandhama	<i>noun</i><br><ol><li>taste, flavor</li></ol>
dhangala'uu	<i>verb</i><br><ol><li>to pour</li></ol>
dheeduu	<i>verb</i><br><ol><li>to graze</li></ol>
dheeraa	<i>adj</i><br><ol><li>long</li></ol>
dheerina	<i>noun</i><br><ol><li>length</li></ol>
dhiba	<i>num</i><br><ol><li>hundred</li></ol>
dhibba	<i>num</i><br><ol><li>hundred</li></ol>
dhiheessuu	<i>verb</i><br><ol><li>to supply</li></ol>
dhiibuu	<i>verb</i><br><ol><li>to push</li></ol>
dhiiga	<i>noun</i><br><ol><li>blood</li></ol>
dhiiguu	<i>verb</i><br><ol><li>to bleed</li></ol>
dhiira	<i>noun</i><br><ol><li>man</li></ol>
