hlafuna	<i>verb</i><br><ol><li>to chew</li></ol>
hlaha	<i>conj</i><br><ol><li>wild</li></ol><br><i>verb</i><br><ol><li>to emerge</li></ol>
hlahloba	<i>verb</i><br><ol><li>to examine, to assess</li></ol>
hlakola	<i>verb</i><br><ol><li>to wipe, to clean</li></ol>
hlalefa	<i>verb</i><br><ol><li>to be intelligent</li></ol>
hlano	<i>num</i><br><ol><li>five, 5</li></ol>
hlapa	<i>verb</i><br><ol><li>to wash</li></ol>
hlapi|dihlapi	<i>noun</i><br><ol><li>fish</li></ol>
hlatsa	<i>verb</i><br><ol><li>to vomit</li></ol>
hlatswa	<i>verb</i><br><ol><li>to wash</li></ol>
hlephola	<i>verb</i><br><ol><li>to break in to pieces</li></ol>
hloho|dihloho	<i>noun</i><br><ol><li>head</li></ol>
hlola	<i>verb</i><br><ol><li>to win</li></ol>
hlompha	<i>verb</i><br><ol><li>to respect</li></ol>
hlompho	<i>noun</i><br><ol><li>respect</li></ol>
hlwaya	<i>verb</i><br><ol><li>to select, to indicate</li></ol>
hlwela	<i>verb</i><br><ol><li>to spy</li></ol>
hoa	<i>verb</i><br><ol><li>to shout</li></ol>
hodimo	<i>noun</i><br><ol><li>above, at the top</li></ol>
hoeletsa	<i>verb</i><br><ol><li>to call out, to scream</li></ol>
hoka	<i>verb</i><br><ol><li>to attach, to hook</li></ol>
hola	<i>verb</i><br><ol><li>to grow</li></ol>
hole	<i>noun</i><br><ol><li>far away</li></ol>
holo	<i>adj</i><br><ol><li>big</li></ol>
hopola	<i>verb</i><br><ol><li>to remember</li></ol>
hosane	<i>noun</i><br><ol><li>tomorrow</li></ol>
hwama	<i>verb</i><br><ol><li>to congeal (of fat)</li></ol>
inama	<i>verb</i><br><ol><li>to bow, to stoop, to bend</li></ol>
isao|maisao	<i>noun</i><br><ol><li>next year</li></ol>
itjhu	<i>intj</i><br><ol><li>ow! (cry of pain)</li></ol>
ja	<i>verb</i><br><ol><li>to eat</li></ol>
jala	<i>verb</i><br><ol><li>to plant, to sow</li></ol>
jwala	<i>noun</i><br><ol><li>beer</li></ol>
jwang	<i>noun</i><br><ol><li>grass</li></ol>
jwetsa	<i>verb</i><br><ol><li>to tell</li></ol>
kahlolo|dikahlolo	<i>noun</i><br><ol><li>judgement</li></ol>
kaka	<i>verb</i><br><ol><li>to excrete, to defecate</li></ol>
kamola	<i>verb</i><br><ol><li>to break</li></ol>
karabo|dikarabo	<i>noun</i><br><ol><li>response</li></ol>
karolo|dikarolo	<i>noun</i><br><ol><li>part, portion</li></ol>
kelello	<i>noun</i><br><ol><li>mind</li></ol>
kena	<i>verb</i><br><ol><li>to enter</li></ol>
kereke|dikereke	<i>noun</i><br><ol><li>church</li></ol>
kgale	<i>adv</i><br><ol><li>a long time ago</li></ol>
kgalema	<i>verb</i><br><ol><li>to reprimand</li></ol>
kgampepe	<i>noun</i><br><ol><li>Signifies running.</li></ol>
kganna	<i>verb</i><br><ol><li>to drive</li></ol>
kganthe	<i>conj</i><br><ol><li>whereas</li></ol>
kgasa	<i>verb</i><br><ol><li>to crawl</li></ol>
