bituanan	<i>noun</i><br><ol><li>A type of confection with spicy fillings.</li><li>divorcee</li></ol>
bituun	<i>noun</i><br><ol><li>star</li></ol>
buaya	<i>noun</i><br><ol><li>crocodile</li></ol>
bud|būd	<i>noun</i><br><ol><li>mountain</li></ol>
bugas	<i>noun</i><br><ol><li>rice (husked)</li></ol>
bugsay	<i>noun</i><br><ol><li>oar; paddle</li></ol>
buhangin	<i>noun</i><br><ol><li>sand</li></ol>
buhuk	<i>noun</i><br><ol><li>hair</li></ol>
bukug	<i>noun</i><br><ol><li>bone</li></ol>
bulan	<i>noun</i><br><ol><li>moon (largest natural satellite of planet Earth)</li><li>moon (any substantially sized natural satellite of a planet)</li><li>month (period into which a year is divided)</li></ol>
bulawan	<i>noun</i><br><ol><li>gold</li></ol>
bulbul	<i>noun</i><br><ol><li>fur, hair</li><li>feather</li></ol>
buli	<i>noun</i><br><ol><li>buttocks</li></ol>
bunga	<i>noun</i><br><ol><li>fruit</li></ol>
buntul atay	<i>noun</i><br><ol><li>honesty</li></ol>
bunu|bunu'	<i>verb</i><br><ol><li>to kill</li></ol>
bunut	<i>noun</i><br><ol><li>coconut husk</li></ol>
buta	<i>adj</i><br><ol><li>blind</li></ol>
buwa'	<i>noun</i><br><ol><li>large, shallow gong (usually struck when there is an emergency)</li></ol>
buwaran	<i>noun</i><br><ol><li>clothesline</li></ol>
buwis	<i>noun</i><br><ol><li>tribute</li></ol>
bāng	<i>noun</i><br><ol><li>(Islam) call to prayer</li></ol>
būd	
dagang	<i>verb</i><br><ol><li>to sell</li></ol>
dagat	<i>noun</i><br><ol><li>sea</li></ol>
dahal	<i>adj</i><br><ol><li>greedy; gluttonous</li></ol>
dahun	<i>noun</i><br><ol><li>leaf</li></ol>
daira	<i>noun</i><br><ol><li>city, sizeable town</li></ol>
dakula	<i>adj</i><br><ol><li>big</li></ol>
dalima'	<i>noun</i><br><ol><li>pomegranate</li></ol>
dan|dān	<i>adj</i><br><ol><li>old (of things)</li></ol><br><i>noun</i><br><ol><li>path; trail; way</li></ol>
dangdang	<i>verb</i><br><ol><li>to roast (meat or fish); to broil</li></ol>
dangin	<i>noun</i><br><ol><li>someone or people invited to help</li></ol>
datag	<i>adj</i><br><ol><li>flat</li></ol>
datung	<i>verb</i><br><ol><li>to arrive</li></ol>
daugdug	<i>noun</i><br><ol><li>thunder</li></ol>
dawa	<i>noun</i><br><ol><li>millet</li></ol>
