dodia	<i>noun</i><br><ol><li>song</li><li>singing</li></ol>
doe	<i>noun</i><br><ol><li>end; tip</li></ol>
doi	<i>noun</i><br><ol><li>money</li></ol>
dolodo	<i>noun</i><br><ol><li>wild boar</li></ol>
donci	<i>noun</i><br><ol><li>intonation</li><li>solo</li></ol>
dongke	<i>noun</i><br><ol><li>bone</li><li>corpse</li><li>skin and bones</li></ol>
dopi	<i>noun</i><br><ol><li>board</li></ol>
doula	<i>noun</i><br><ol><li>floor</li></ol>
doupe	<i>noun</i><br><ol><li>taro (harvested or cooked)</li></ol>
dua	<i>noun</i><br><ol><li>symptoms (of an illness)</li></ol>
duanga	<i>noun</i><br><ol><li>boat</li></ol>
dula	<i>noun</i><br><ol><li>brass tray (for serving betel nut)</li></ol>
dumu	<i>noun</i><br><ol><li>bird's nest</li></ol>
dupa	<i>noun</i><br><ol><li>traditional or ceremonial perfume</li><li>incense; aromatic resin</li></ol>
duruka	<i>noun</i><br><ol><li>cane; stick</li><li>handle of a rattan spear</li></ol>
ea	<i>adj</i><br><ol><li>shy; ashamed</li></ol>
eda	<i>noun</i><br><ol><li>step</li></ol>
eo	<i>noun</i><br><ol><li>day</li><li>sun</li><li>weather</li></ol>
ewua	<i>noun</i><br><ol><li>livestock</li></ol>
gaga	<i>adv</i><br><ol><li>very</li></ol>
gagu	<i>noun</i><br><ol><li>property; wealth</li><li>inheritance</li><li>antique</li></ol>
gambara	<i>noun</i><br><ol><li>drawing; photo; painting</li><li>map</li><li>church service</li></ol>
gambu	<i>noun</i><br><ol><li>guava</li></ol>
gampaya	<i>noun</i><br><ol><li>papaya</li></ol>
ganaga	<i>noun</i><br><ol><li>jackfruit</li></ol>
gancu	<i>noun</i><br><ol><li>hook</li></ol>
gandaria	<i>noun</i><br><ol><li>porch; sitting room</li><li>meeting room</li><li>front porch</li></ol>
gandawari	<i>noun</i><br><ol><li>attachment to a house in a rice field</li></ol>
garagaji	<i>noun</i><br><ol><li>saw (tool)</li></ol>
garisi	<i>noun</i><br><ol><li>line</li></ol>
gawu	<i>noun</i><br><ol><li>cloud</li></ol>
gesi	<i>noun</i><br><ol><li>commotion</li></ol>
goa	<i>noun</i><br><ol><li>corn</li></ol>
gola	<i>noun</i><br><ol><li>sugar</li></ol>
goroba	<i>noun</i><br><ol><li>cart; wagon (pulled by oxen or other animals)</li></ol>
gulompu	<i>noun</i><br><ol><li>mud</li></ol>
gumawu	<i>noun</i><br><ol><li>group</li></ol>
gumba	<i>noun</i><br><ol><li>large water jar</li></ol>
guna	<i>noun</i><br><ol><li>use; purpose</li></ol>
gunci	<i>noun</i><br><ol><li>scissors</li></ol>
guru	<i>noun</i><br><ol><li>teacher</li></ol>
heto	<i>noun</i><br><ol><li>hectare</li></ol>
ia	<i>pron</i><br><ol><li>he; she; they (singular)</li></ol>
ikami	<i>pron</i><br><ol><li>we (exclusive)</li></ol>
ike	<i>noun</i><br><ol><li>weaving device</li><li>tool for beating cloth</li></ol>
iko	<i>pron</i><br><ol><li>you (singular)</li></ol>
inala	<i>noun</i><br><ol><li>harvest</li></ol>
inda	<i>noun</i><br><ol><li>debt</li></ol>
inggu	<i>noun</i><br><ol><li>nature; characteristic; attitude</li><li>behavior</li><li>condition</li></ol>
inosa	<i>noun</i><br><ol><li>breath</li></ol>
isei	<i>adv</i><br><ol><li>here</li></ol>
isi	<i>noun</i><br><ol><li>content</li><li>meat; flesh</li></ol>
isira	<i>pron</i><br><ol><li>they</li></ol>
iwali	<i>noun</i><br><ol><li>battle; war</li></ol>
iwei	<i>adv</i><br><ol><li>like this</li></ol>
iwengi	<i>adv</i><br><ol><li>yesterday</li></ol>
jam	<i>noun</i><br><ol><li>time</li><li>hour</li><li>clock</li></ol>
japi	<i>noun</i><br><ol><li>cow; bull; ox</li></ol>
jara	<i>noun</i><br><ol><li>horse</li></ol>
jarita	<i>noun</i><br><ol><li>story</li></ol>
jibo	<i>noun</i><br><ol><li>small or soft splash</li></ol>
kabilasa	<i>noun</i><br><ol><li>unmarried young man</li></ol>
kadera	<i>noun</i><br><ol><li>chair; bench</li></ol>
kaeoa	<i>noun</i><br><ol><li>full moon</li></ol>
kakonoana	<i>noun</i><br><ol><li>truth</li></ol>
kaleja	<i>noun</i><br><ol><li>ape</li></ol>
kaliawo	<i>noun</i><br><ol><li>shield</li></ol>
kalibamba	<i>noun</i><br><ol><li>butterfly</li></ol>
kalimbubu	<i>noun</i><br><ol><li>bubble</li></ol>
kalindoro	<i>noun</i><br><ol><li>worm</li></ol>
kaloa	<i>noun</i><br><ol><li>raven; crow</li></ol>
kaloro	<i>noun</i><br><ol><li>rope</li></ol>
kalowa-lowa	<i>adj</i><br><ol><li>improper; indecent; fittingly disappointed of</li></ol>
kaluku	<i>noun</i><br><ol><li>coconut</li></ol>
kalumbe	<i>noun</i><br><ol><li>snail</li></ol>
kalumpa	<i>noun</i><br><ol><li>shoe</li></ol>
kambalili	<i>noun</i><br><ol><li>unfinished rice barn</li></ol>
kamboa	<i>noun</i><br><ol><li>hole</li></ol>
kandao	<i>noun</i><br><ol><li>long sickle for cutting grass</li></ol>
kanene	<i>noun</i><br><ol><li>mockery; ridicule</li></ol>
kangilo	<i>noun</i><br><ol><li>gap; rift</li></ol>
kangua	<i>noun</i><br><ol><li>complaint</li></ol>
kanjei	<i>noun</i><br><ol><li>spear (for fish or cattle)</li><li>hooked spear</li></ol>
kanta	<i>noun</i><br><ol><li>potato</li></ol>
kanto	<i>noun</i><br><ol><li>bag</li></ol>
kantoro	<i>noun</i><br><ol><li>office</li></ol>
kanuku	<i>noun</i><br><ol><li>(anatomy) fingernail; toenail</li></ol>
kapala	<i>noun</i><br><ol><li>head</li><li>leader; pioneer</li></ol>
kapi	<i>noun</i><br><ol><li>wing</li></ol>
kapita	<i>noun</i><br><ol><li>jury</li></ol>
kapuga	<i>noun</i><br><ol><li>palm fiber</li></ol>
