balsa	<i>noun</i><br><ol><li>raft</li></ol>
bambal|bambál	<i>noun</i><br><ol><li>laundry</li></ol>
bambang|bambáng	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
bangus	<i>noun</i><br><ol><li>milkfish</li></ol>
banig	<i>noun</i><br><ol><li>ghost</li></ol>
banwet|banwét	<i>noun</i><br><ol><li>fishhook</li></ol>
barabara|bárabára	<i>noun</i><br><ol><li>tapeworm</li></ol>
barabay|barabáy	<i>noun</i><br><ol><li>stick (for throwing)</li></ol>
barbas	<i>noun</i><br><ol><li>beard</li></ol>
baruk|barúk	<i>noun</i><br><ol><li>(anatomy) bladder</li></ol>
basi	<i>noun</i><br><ol><li>sugarcane wine</li></ol>
basikul|basikúl	<i>noun</i><br><ol><li>a kind of aquatic snail</li></ol>
basikut|basikút	<i>noun</i><br><ol><li>lizard</li></ol>
basingil|basingíl	<i>noun</i><br><ol><li>mumps</li></ol>
basisaw	<i>noun</i><br><ol><li>urinary discomfort</li></ol>
basiyan	<i>noun</i><br><ol><li>sneeze</li></ol>
basura	<i>noun</i><br><ol><li>garbage; trash</li></ol>
bata|batá	<i>adj</i><br><ol><li>wet</li></ol>
battu|battú	<i>noun</i><br><ol><li>blister</li></ol>
bayabat	<i>noun</i><br><ol><li>guava</li></ol>
bebay	<i>noun</i><br><ol><li>ocean</li></ol>
bentilador|bentiladór	<i>noun</i><br><ol><li>electric fan</li></ol>
bibig|bibíg	<i>noun</i><br><ol><li>(anatomy) mouth</li></ol>
bigote	<i>noun</i><br><ol><li>moustache</li></ol>
biki	<i>noun</i><br><ol><li>eggshell</li></ol>
bikul	<i>noun</i><br><ol><li>hairknot</li></ol>
bilang|biláng	<i>noun</i><br><ol><li>number</li><li>count</li></ol>
billak|billák	<i>noun</i><br><ol><li>bamboo stick</li></ol>
binalay|binaláy	<i>noun</i><br><ol><li>house</li></ol>
binallay	<i>noun</i><br><ol><li>a kind of rice cake</li></ol>
binarayan	<i>noun</i><br><ol><li>wine</li></ol>
bingkan	<i>noun</i><br><ol><li>coconut shell</li></ol>
binola	<i>noun</i><br><ol><li>thread</li></ol>
bintana	<i>noun</i><br><ol><li>window</li></ol>
birang	<i>noun</i><br><ol><li>dragonfly</li></ol>
bisin|bisín	<i>noun</i><br><ol><li>hunger</li></ol>
bisita	<i>noun</i><br><ol><li>visitor</li></ol>
bittul|bittúl	<i>noun</i><br><ol><li>knot</li></ol>
bitugal|bitugál	<i>noun</i><br><ol><li>gizzard</li></ol>
bitun|bitún	<i>noun</i><br><ol><li>star</li></ol>
bolsa	<i>noun</i><br><ol><li>pocket</li></ol>
bombong|bombóng	<i>noun</i><br><ol><li>bamboo piggybank</li></ol>
bote	<i>noun</i><br><ol><li>bottle</li></ol>
botika	<i>noun</i><br><ol><li>drugstore</li></ol>
botu	<i>noun</i><br><ol><li>vote</li></ol>
boyang	<i>adj</i><br><ol><li>naked</li></ol>
braso	<i>noun</i><br><ol><li>(anatomy) arm</li></ol>
brilyante	<i>noun</i><br><ol><li>diamond</li></ol>
bubun|bubún	<i>noun</i><br><ol><li>well (for water)</li></ol>
bugat|bugát	<i>noun</i><br><ol><li>harvest</li></ol>
buk	<i>noun</i><br><ol><li>hair</li></ol>
bukarut|bukarút	<i>noun</i><br><ol><li>crocodile</li></ol>
bukat|bukát	<i>noun</i><br><ol><li>rat</li></ol>
bukul|bukúl	<i>noun</i><br><ol><li>bump; lump</li></ol>
bula|bulá	<i>noun</i><br><ol><li>boar</li></ol>
bulador|buladór	<i>noun</i><br><ol><li>kite (toy)</li></ol>
bulalayaw	<i>noun</i><br><ol><li>rainbow</li></ol>
bulan|bulán	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
bulaw|buláw	<i>adj</i><br><ol><li>blind</li></ol>
bulawan|bulawán	<i>noun</i><br><ol><li>gold</li></ol>
buli|bulí	<i>noun</i><br><ol><li>lead (metal)</li></ol>
bulkan|bulkán	<i>noun</i><br><ol><li>volcano</li></ol>
bullak|bullák	<i>adj</i><br><ol><li>small</li></ol>
bumbug|bumbúg	<i>noun</i><br><ol><li>rice gruel</li></ol>
bumbul|bumbúl	<i>noun</i><br><ol><li>pubic hair</li></ol>
buna|buná	<i>noun</i><br><ol><li>leftover</li></ol>
bungal|bungál	<i>adj</i><br><ol><li>toothless</li></ol>
bungbung|bungbúng	<i>noun</i><br><ol><li>dynamite</li></ol>
bungug|bungúg	<i>noun</i><br><ol><li>anal area</li></ol>
buntut|buntút	<i>noun</i><br><ol><li>stink</li></ol>
burbur|burbúr	<i>noun</i><br><ol><li>fur (fabric)</li></ol>
buru|burú	<i>noun</i><br><ol><li>plant hair</li></ol>
busilak	<i>noun</i><br><ol><li>corn husk</li></ol>
bussit|bussít	<i>adj</i><br><ol><li>pregnant</li></ol>
bussut|bussút	<i>noun</i><br><ol><li>(large) tummy</li></ol>
butelya	<i>noun</i><br><ol><li>bottle</li></ol>
buyuk|buyúk	<i>noun</i><br><ol><li>foul odor.</li></ol>
buyun|buyún	<i>noun</i><br><ol><li>mud</li></ol>
byahe	<i>noun</i><br><ol><li>travel; trip</li></ol>
byulin|byulín	<i>noun</i><br><ol><li>violin</li></ol>
daddaman|daddamán	<i>noun</i><br><ol><li>road; path</li></ol>
daffug|daffúg	<i>noun</i><br><ol><li>carabao; water buffalo</li></ol>
daga|dagá	<i>noun</i><br><ol><li>blood</li></ol>
dagat|dagát	<i>noun</i><br><ol><li>sand</li></ol>
daggang|daggáng	<i>noun</i><br><ol><li>booger</li></ol>
dagguht|daggúht	<i>noun</i><br><ol><li>strong taste or smell</li></ol>
dagiwat|dagiwát	<i>noun</i><br><ol><li>pimple</li></ol>
dagun|dagún	<i>noun</i><br><ol><li>year</li></ol>
dakal|dakál	<i>adj</i><br><ol><li>big; large</li></ol>
daki|dakí	<i>noun</i><br><ol><li>food between the teeth</li></ol>
dakig	<i>noun</i><br><ol><li>blame</li></ol>
dalag|dalág	<i>noun</i><br><ol><li>coconut crust</li></ol>
dalak|dalák	<i>noun</i><br><ol><li>mucus; pleghm</li></ol>
dalayap	<i>noun</i><br><ol><li>lemon; lime</li></ol>
dalikan|dalikán	<i>noun</i><br><ol><li>earthen stove</li></ol>
daluduk	<i>noun</i><br><ol><li>house lizard</li></ol>
daluhg|dalúhg	<i>noun</i><br><ol><li>mudfish</li></ol>
damara	<i>noun</i><br><ol><li>temporary shed</li></ol>
damilig|damilíg	<i>noun</i><br><ol><li>a kind of banana</li></ol>
damman|dammán	<i>noun</i><br><ol><li>again</li></ol>
dammat	<i>adj</i><br><ol><li>heavy</li></ol>
dana	<i>adj</i><br><ol><li>old (of objects)</li></ol>
danak|danák	<i>noun</i><br><ol><li>(upland) meadow</li></ol>
dangan|dangán	<i>noun</i><br><ol><li>tip of an outstretched thumb to an outstretched middle finger (unit of measure)</li></ol>
dangit	<i>noun</i><br><ol><li>rice crust; burnt rice sticking to the bottom of the pot</li></ol>
dangkul|dangkúl	<i>adj</i><br><ol><li>knock-kneed</li></ol>
dannu|dannú	<i>noun</i><br><ol><li>sap (of a plant)</li></ol>
dansaw|dansáw	<i>pron</i><br><ol><li>(interrogative) to where; to what place</li></ol>
dantay	<i>noun</i><br><ol><li>leg support (while sleeping)</li></ol>
danum|danúm	<i>noun</i><br><ol><li>water</li></ol>
dapan|dapán	<i>noun</i><br><ol><li>(anatomy) sole</li></ol>
dappit|dappít	<i>noun</i><br><ol><li>shore</li></ol>
dati	<i>adv</i><br><ol><li>before; earlier</li></ol>
dekat	<i>noun</i><br><ol><li>a kind of rice cake made from sweet rice or corn</li></ol>
dekorasyon|dekorasyón	<i>noun</i><br><ol><li>decoration</li></ol>
dibate	<i>noun</i><br><ol><li>debate</li></ol>
didal|didál	<i>noun</i><br><ol><li>thimble</li></ol>
digat|digát	<i>noun</i><br><ol><li>difficulty; hardship</li></ol>
diktador|diktadór	<i>noun</i><br><ol><li>dictator</li></ol>
dila|dilá	<i>noun</i><br><ol><li>(anatomy) tongue</li></ol>
dilam	<i>noun</i><br><ol><li>dusk</li></ol>
dinding|dindíng	<i>noun</i><br><ol><li>wall</li></ol>
dinna	<i>adv</i><br><ol><li>still</li></ol>
dipa|dipá	<i>pron</i><br><ol><li>(interrogative) where (stationary)</li></ol>
disgrasya	<i>noun</i><br><ol><li>accident; misfortune</li></ol>
dita|ditá	<i>noun</i><br><ol><li>venom</li></ol>
doktor|doktór	<i>noun</i><br><ol><li>doctor</li></ol>
dolyar	<i>noun</i><br><ol><li>dollar</li></ol>
domat	<i>adv</i><br><ol><li>perhaps</li></ol>
don	<i>noun</i><br><ol><li>leaf (of a plant)</li></ol>
duda	<i>noun</i><br><ol><li>doubt</li></ol>
dudul|dudúl	<i>noun</i><br><ol><li>a kind of rice cake</li></ol>
dudut	<i>noun</i><br><ol><li>feather</li></ol>
dugu|dugú	<i>noun</i><br><ol><li>corner</li></ol>
dukyal|dukyál	<i>noun</i><br><ol><li>bolo knife</li></ol>
dulam|dulám	<i>noun</i><br><ol><li>cloud</li></ol>
dullungan	<i>noun</i><br><ol><li>starfruit</li></ol>
durun|durún	<i>noun</i><br><ol><li>grasshopper</li></ol>
ehemplo	<i>noun</i><br><ol><li>example</li></ol>
eksamen	<i>noun</i><br><ol><li>examination</li></ol>
eksersisyu	<i>noun</i><br><ol><li>exercise</li></ol>
elad	<i>noun</i><br><ol><li>slug</li></ol>
elektrisidad|electricidád	<i>noun</i><br><ol><li>lights</li></ol>
enhinyero	<i>noun</i><br><ol><li>engineer</li></ol>
eroplano	<i>noun</i><br><ol><li>airplane</li></ol>
espehu	<i>noun</i><br><ol><li>mirror</li></ol>
fakkangenana|fakkangénaná	<i>noun</i><br><ol><li>damn!</li></ol>
familya	<i>noun</i><br><ol><li>family</li></ol>
firma	<i>noun</i><br><ol><li>signature</li></ol>
fritu	<i>noun</i><br><ol><li>fried</li></ol>
fugab	<i>noun</i><br><ol><li>afternoon</li></ol>
fugu|fugú	<i>noun</i><br><ol><li>island</li></ol>
fukkal|fukkál	<i>noun</i><br><ol><li>lump</li></ol>
fukkanenam	<i>noun</i><br><ol><li>(vulgar) one's mother's vula (curse word)</li></ol>
fukkul|fukkúl	<i>noun</i><br><ol><li>pubic area</li></ol>
fulikat|fulikát	<i>adj</i><br><ol><li>deep (of liquids)</li></ol>
fullaw|fulláw	<i>noun</i><br><ol><li>white (color)</li></ol><br><i>adj</i><br><ol><li>white (color)</li></ol>
fulu	<i>num</i><br><ol><li>ten</li></ol>
fungan|fungán	<i>noun</i><br><ol><li>pillow</li></ol>
fungu|fungú	<i>noun</i><br><ol><li>(anatomy) forearm</li></ol>
futag|futág	<i>noun</i><br><ol><li>(anatomy) navel</li><li>(anatomy) umbilical cord</li></ol>
futtul|futtúl	<i>noun</i><br><ol><li>mound (of ants or termite)</li></ol>
futu|futú	<i>noun</i><br><ol><li>(anatomy) heart</li></ol>
gabat|gabát	<i>noun</i><br><ol><li>debris (usually from a flood)</li></ol>
gabi|gabí	<i>noun</i><br><ol><li>night</li></ol>
gabyon|gabyón	<i>noun</i><br><ol><li>hoe (tool)</li></ol>
gagangay	<i>noun</i><br><ol><li>habit; usual practice</li></ol>
gaka|gaká	<i>noun</i><br><ol><li>offspring</li></ol>
gakaw|gakáw	<i>noun</i><br><ol><li>(anatomy) chest</li></ol>
gakit|gakít	<i>noun</i><br><ol><li>raft</li></ol>
gallit|gallít	<i>noun</i><br><ol><li>line</li></ol>
gallu|gallú	<i>noun</i><br><ol><li>noise</li></ol>
gamit|gamít	<i>noun</i><br><ol><li>worn-out rag</li></ol>
gamut|gamút	<i>noun</i><br><ol><li>root (of a plant)</li></ol>
ganansya	<i>noun</i><br><ol><li>profit</li></ol>
ganding	<i>noun</i><br><ol><li>goat</li></ol>
ganggal|ganggál	<i>noun</i><br><ol><li>saw (tool)</li></ol>
gani|ganí	<i>pron</i><br><ol><li>(interrogative) what</li></ol>
gannud|gannúd	<i>noun</i><br><ol><li>kind; type</li></ol>
gansu	<i>noun</i><br><ol><li>goose</li></ol>
ganta	<i>noun</i><br><ol><li>ganta (twenty-five of which makes one kaban)</li></ol>
gapas	<i>noun</i><br><ol><li>straight scythe</li></ol>
garafon|garafón	<i>noun</i><br><ol><li>glass container</li></ol>
garaggad|garaggád	<i>noun</i><br><ol><li>scrape (on one's skin)</li></ol>
garahe	<i>noun</i><br><ol><li>garage</li></ol>
garsib|garsíb	<i>noun</i><br><ol><li>scissors</li></ol>
gasig	<i>noun</i><br><ol><li>(medicine) sty</li></ol>
gasolina	<i>noun</i><br><ol><li>gasoline</li></ol>
gassik|gassík	<i>noun</i><br><ol><li>seedling (usually tobacco)</li></ol>
gattak|gatták	<i>noun</i><br><ol><li>milk</li></ol>
gatud|gatúd	<i>noun</i><br><ol><li>(anatomy) hip</li></ol>
