bilu	<i>noun</i><br><ol><li>widow; widower</li></ol>
binal	<i>noun</i><br><ol><li>small shark</li></ol>
biton	<i>noun</i><br><ol><li>stone</li></ol>
bitu	<i>noun</i><br><ol><li>stone</li></ol>
bobog	<i>noun</i><br><ol><li>toy</li></ol>
bongkas	<i>noun</i><br><ol><li>sow; large female pig</li></ol>
botay	<i>noun</i><br><ol><li>uncle</li></ol>
budak	<i>noun</i><br><ol><li>flower</li></ol>
bugit	<i>noun</i><br><ol><li>penis</li></ol>
bugtong	<i>noun</i><br><ol><li>only child</li></ol>
buk	<i>noun</i><br><ol><li>head hair</li></ol>
bukal	<i>noun</i><br><ol><li>kidney</li></ol>
bukarot	<i>noun</i><br><ol><li>crocodile</li></ol>
bukbuk	<i>noun</i><br><ol><li>woodborer</li></ol>
bukraw	<i>noun</i><br><ol><li>throat; front of neck</li></ol>
bulan	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
bulding	<i>noun</i><br><ol><li>blind person</li></ol>
buli	<i>noun</i><br><ol><li>buttocks; anus; bottom (of a person or an object)</li></ol>
bulkan	<i>noun</i><br><ol><li>volcano</li><li>hot spring</li></ol>
bulos	<i>noun</i><br><ol><li>large river</li></ol>
bulu	<i>noun</i><br><ol><li>bamboo</li></ol>
bumuyot	<i>verb</i><br><ol><li>to run</li></ol>
bunay	<i>noun</i><br><ol><li>egg</li></ol>
buned	<i>noun</i><br><ol><li>tail (of an animal)</li></ol>
bunga	<i>noun</i><br><ol><li>fruit</li></ol>
bungaw	<i>noun</i><br><ol><li>(anatomy) testicle</li></ol>
bunong	<i>noun</i><br><ol><li>share; portion</li></ol>
buntok	<i>noun</i><br><ol><li>head</li></ol>
bunutan	<i>noun</i><br><ol><li>wild mango</li></ol>
buray	<i>noun</i><br><ol><li>leftover; remainder; residue</li></ol>
burog	<i>noun</i><br><ol><li>monkey</li></ol>
butegal	<i>noun</i><br><ol><li>cyst; bump; lump; blister</li></ol>
buybuy	<i>noun</i><br><ol><li>story</li></ol>
dada	<i>noun</i><br><ol><li>aunt</li></ol>
daddadi	<i>adj</i><br><ol><li>very large</li></ol>
daddakal	<i>noun</i><br><ol><li>parents</li></ol>
dagel	<i>adj</i><br><ol><li>stupid; dumb</li></ol>
dagga	<i>noun</i><br><ol><li>turtle</li></ol>
daggung	<i>noun</i><br><ol><li>mucus</li></ol>
dagum	<i>noun</i><br><ol><li>sewing needle</li></ol>
dakal	<i>adj</i><br><ol><li>big; large</li></ol>
daklat	<i>noun</i><br><ol><li>floor</li></ol>
damili	<i>noun</i><br><ol><li>clay pot</li></ol>
dangli	<i>noun</i><br><ol><li>any rocky surface, man-made or natural</li></ol>
daporan	<i>noun</i><br><ol><li>hearth; cooking place</li></ol>
dekat	<i>noun</i><br><ol><li>rice cake</li></ol>
dibbew	<i>noun</i><br><ol><li>top; surface</li></ol>
digdig	<i>noun</i><br><ol><li>side; edge</li></ol>
diget	<i>noun</i><br><ol><li>sea</li></ol>
digi	<i>noun</i><br><ol><li>blood</li></ol>
digu	<i>noun</i><br><ol><li>broth; sauce</li></ol>
diklam	<i>noun</i><br><ol><li>raincloud</li></ol>
dila	<i>noun</i><br><ol><li>(anatomy) tongue</li></ol>
dilan	<i>noun</i><br><ol><li>road; path; trail</li></ol>
dilenas	<i>noun</i><br><ol><li>any rocky surface, man-made or natural</li></ol>
dinom|dinóm|dinum	<i>noun</i><br><ol><li>water</li></ol>
disat	<i>noun</i><br><ol><li>high ground</li></ol>
diyog	<i>noun</i><br><ol><li>bowl</li></ol>
don	<i>noun</i><br><ol><li>leaf (of a plant)</li></ol>
donan	<i>noun</i><br><ol><li>plate for eating</li></ol>
doong	<i>noun</i><br><ol><li>nose</li></ol>
doyan	<i>noun</i><br><ol><li>hammock; cradle</li></ol>
dumigi	<i>verb</i><br><ol><li>to bleed</li></ol>
dungas	<i>noun</i><br><ol><li>nose</li></ol>
duwa	<i>num</i><br><ol><li>two</li></ol>
duwapulu	<i>num</i><br><ol><li>twenty</li></ol>
ellayu	<i>noun</i><br><ol><li>pestle</li></ol>
enabuyu	<i>noun</i><br><ol><li>alcohol</li></ol>
enyanan	<i>noun</i><br><ol><li>placenta</li></ol>
essa	<i>num</i><br><ol><li>one</li></ol>
gabbu	<i>noun</i><br><ol><li>mucus; head cold</li></ol>
gabutung	<i>noun</i><br><ol><li>mucus</li></ol>
gaddang	<i>noun</i><br><ol><li>skin</li></ol>
gadduwa	<i>noun</i><br><ol><li>half</li></ol>
gahut	<i>noun</i><br><ol><li>debt</li></ol>
gakad	<i>noun</i><br><ol><li>rope</li></ol>
gakgak	<i>noun</i><br><ol><li>crow</li></ol>
gakos	<i>noun</i><br><ol><li>hug</li></ol>
galambud	<i>noun</i><br><ol><li>carabao; water buffalo</li></ol>
galampes	<i>noun</i><br><ol><li>carabao; water buffalo</li></ol>
galot	<i>noun</i><br><ol><li>rope</li></ol>
gammol	<i>noun</i><br><ol><li>person missing all teeth</li></ol>
gangatan	<i>noun</i><br><ol><li>fire; flame</li></ol>
garasib	<i>noun</i><br><ol><li>scissors</li></ol>
gasa	<i>noun</i><br><ol><li>lung</li></ol>
gaygay	<i>noun</i><br><ol><li>(vulgar) penis</li></ol>
gidsal	<i>noun</i><br><ol><li>spear</li></ol>
giled	<i>noun</i><br><ol><li>mountain ridge</li></ol>
gilot	<i>noun</i><br><ol><li>rope</li></ol>
gimay	<i>noun</i><br><ol><li>nit; young louse</li></ol>
giray	<i>noun</i><br><ol><li>finger</li><li>toe</li></ol>
gisat	<i>noun</i><br><ol><li>breast of a woman</li></ol>
gitting|gittíng	<i>noun</i><br><ol><li>scissors</li></ol>
giyak	<i>noun</i><br><ol><li>bark (of a dog)</li></ol>
golang	<i>noun</i><br><ol><li>orphan</li></ol>
gotam	<i>noun</i><br><ol><li>generic name for ocean fish (word unknown to inland dialect speakers)</li></ol>
guhu	<i>noun</i><br><ol><li>dull knife used for digging</li></ol>
gumahut	<i>verb</i><br><ol><li>to borrow money</li></ol>
gumatang	<i>verb</i><br><ol><li>to buy</li></ol>
gumisan	<i>verb</i><br><ol><li>to scoot over; to back up</li></ol>
gumutap	<i>verb</i><br><ol><li>to dive into water</li></ol>
gusok	<i>noun</i><br><ol><li>sternum; center of chest below breasts</li></ol>
guwalab	<i>noun</i><br><ol><li>(southern dialects) knee</li></ol>
habu	<i>noun</i><br><ol><li>honey</li></ol>
hahe	<i>pron</i><br><ol><li>(interrogative) where</li></ol>
hakhak	<i>noun</i><br><ol><li>ember; live coal</li></ol>
halidong|halidóng	<i>noun</i><br><ol><li>umbrella; something used to protect oneself from the sun or rain</li></ol>
hena	<i>noun</i><br><ol><li>mother</li></ol>
hipon|hipón	<i>noun</i><br><ol><li>(medicine) mucus; head cold</li></ol>
ibar	<i>noun</i><br><ol><li>saliva; spit</li></ol>
ibay	<i>noun</i><br><ol><li>non-Agta person who trades or works with Agta people</li></ol>
iget	<i>noun</i><br><ol><li>eel</li></ol>
ikar	<i>noun</i><br><ol><li>phlegm</li></ol>
ilay|iláy	<i>noun</i><br><ol><li>friend</li></ol>
ilos|ilós	<i>noun</i><br><ol><li>a kind of yam (Dioscorea filiformis)</li></ol>
im	<i>conj</i><br><ol><li>but</li><li>than (comparative marker)</li></ol>
inamakan|inamakán	<i>noun</i><br><ol><li>vagina; vulva</li></ol>
inapoy	<i>noun</i><br><ol><li>cooked rice</li></ol>
ipag	<i>noun</i><br><ol><li>sibling-in-law of the opposite sex</li></ol>
ipas	<i>noun</i><br><ol><li>cockroach</li><li>bedbug</li></ol>
iraw	<i>noun</i><br><ol><li>python</li></ol>
islip	<i>noun</i><br><ol><li>goggles</li></ol>
ismagel	<i>noun</i><br><ol><li>slippers; sandals; flip-flops</li></ol>
iyu	<i>noun</i><br><ol><li>shark</li></ol>
kabaksan	<i>noun</i><br><ol><li>female monkey</li></ol>
kabanga	<i>noun</i><br><ol><li>spouse</li></ol>
kaddur	<i>noun</i><br><ol><li>thunder</li></ol>
kadital	<i>noun</i><br><ol><li>small biting ant</li></ol>
kagbi	<i>adj</i><br><ol><li>worthy of pity; poor; pitiful; pathetic</li></ol>
kagesngaw	<i>noun</i><br><ol><li>harelipped person</li></ol>
kaget	<i>noun</i><br><ol><li>bite</li></ol>
kagi	<i>noun</i><br><ol><li>sound</li></ol>
kahoy	<i>noun</i><br><ol><li>cassava</li></ol>
kakalan|kakalán	<i>noun</i><br><ol><li>relative</li><li>something or someone similar</li></ol>
kakay	<i>noun</i><br><ol><li>grandfather</li></ol>
kakkagi	<i>noun</i><br><ol><li>language</li></ol>
