(H)ísus	<i>noun</i><br><ol><li>arrow</li></ol>
albʰós|albʰóes|albʰóHom|albʰóyh₁|albʰóms|albʰé|albʰéh₂es|albʰóh₁|albʰéh₂h₁|albʰéh₂oHom|albʰósyo|albʰéh₂su|albʰéh₂ey|albʰā́m|albʰéh₂bʰi|albʰéh₂m̥s|albʰéad|albʰṓys|albʰéh₂s|albʰóm|albʰóey|albʰéh₂mos|albʰómos|albʰóysu|albʰóy|non-ablauting|albʰéh₂i|albʰéh₂h₁e|albʰéy|albʰéh₂	<i>adj</i><br><ol><li>white</li></ol>
bʰardʰéh₂|bʰardʰéh₂mos|bʰardʰéh₂i|bʰardʰéh₂es|bʰardʰéh₂s|bʰardʰéh₂ey|bʰardʰéh₂su|bʰardʰā́m|bʰardʰéh₂bʰi|bʰardʰéh₂m̥s|bʰardʰéh₂h₁e|bʰardʰéh₂h₁|bʰardʰéh₂oHom	<i>noun</i><br><ol><li>beard</li></ol>
bʰardʰéh₂tos|bʰardʰéh₂tomos|bʰardʰéh₂teh₂i|bʰardʰéh₂toes|bʰardʰéh₂te|bʰardʰéh₂tom|bʰardʰéh₂teh₂oHom|bʰardʰéh₂toms|bʰardʰéh₂teh₂m̥s|bʰardʰéh₂toysu|bʰardʰéh₂teh₂h₁|bʰardʰéh₂teh₂bʰi|bʰardʰéh₂teh₂mos|bʰardʰéh₂teh₂|bʰardʰéh₂toey|bʰardʰéh₂teh₂su|bʰardʰéh₂tosyo|bʰardʰéh₂tey|bʰardʰéh₂tead|bʰardʰéh₂toyh₁|bʰardʰéh₂teh₂s|bʰardʰéh₂toHom|bʰardʰéh₂tōys|bʰardʰéh₂tām|bʰardʰéh₂teh₂ey|bʰardʰéh₂toy|bʰardʰéh₂teh₂h₁e|bʰardʰéh₂teh₂es|bʰardʰéh₂toh₁	<i>adj</i><br><ol><li>bearded</li></ol>
bʰebʰówdʰe|bʰebʰudʰyéh₁m̥|bʰebʰudʰéntu|bʰebʰudʰé|bʰebʰudʰih₁mé|bʰebʰówdʰth₂e|bʰebʰówdʰh₂e|bʰebʰudʰyéh₁t|bʰebʰudʰwé|bʰebʰéwdʰesi|bʰebʰudʰtā́m|bʰebʰudʰtóm|bʰebʰéwdʰeti|bʰebʰudʰih₁tóm|bʰebʰéwdʰonti|bʰebʰudʰté|bʰebʰudʰwṓs|bʰebʰéwdʰoh₂|bʰebʰówdʰtu|bʰebʰéwdʰowos|bʰebʰówd|bʰebʰudʰmé|bʰebʰudʰdʰí|bʰebʰudʰḗr|bʰebʰéwdʰomos|bʰebʰudʰih₁wé|bʰebʰudʰih₁tā́m|bʰebʰéwdʰete|bʰebʰéwdʰetes|bʰebʰudʰih₁ént|bʰebʰudʰyéh₁s|bʰebʰudʰih₁té	<i>verb</i><br><ol><li>to have awareness, to be alert</li></ol>
bʰebʰóydʰe|bʰebʰéydʰeti|bʰebʰidʰtā́m|bʰebʰidʰḗr|bʰebʰidʰyéh₁t|bʰebʰidʰtóm|bʰebʰéydʰesi|bʰebʰóyd|bʰebʰéydʰetes|bʰebʰidʰih₁tóm|bʰebʰidʰwṓs|bʰebʰéydʰomos|bʰebʰidʰé|bʰebʰéydʰete|bʰebʰéydʰonti|bʰebʰidʰih₁wé|bʰebʰóydʰh₂e|bʰebʰidʰéntu|bʰebʰidʰyéh₁m̥|bʰebʰóydʰth₂e|bʰebʰidʰih₁ént|bʰebʰéydʰowos|bʰebʰóydʰtu|bʰebʰéydʰoh₂|bʰebʰidʰmé|bʰebʰidʰih₁té|bʰebʰidʰyéh₁s|bʰebʰidʰih₁mé|bʰebʰidʰdʰí|bʰebʰidʰwé|bʰebʰidʰih₁tā́m|bʰebʰidʰté	<i>verb</i><br><ol><li>to be trusting, confident</li></ol>
bʰeh₂ǵos|bʰeh₂ǵom|bʰeh₂ǵoey|bʰeh₂ǵoysu|bʰeh₂ǵoHom|bʰeh₂ǵosyo|bʰeh₂ǵoes|bʰeh₂ǵoy|bʰeh₂ǵomos|bʰeh₂ǵōys|bʰeh₂ǵey|bʰeh₂ǵe|bʰeh₂ǵoms|bʰeh₂ǵead|bʰeh₂ǵoh₁	<i>noun</i><br><ol><li>beech</li></ol>
bʰeh₂ǵʰús|bʰeh₂ǵʰúes|bʰeh₂ǵʰéwmos|bʰeh₂ǵʰúm|bʰeh₂ǵʰéwi|bʰeh₂ǵʰéwsu|bʰeh₂ǵʰéw|bʰeh₂ǵʰéwh₁|bʰeh₂ǵʰéws|bʰeh₂ǵʰéwey|bʰeh₂ǵʰéwbʰi|bʰeh₂ǵʰúh₁|bʰeh₂ǵʰúms|bʰeh₂ǵʰú|bʰeh₂ǵʰúh₁e|bʰeh₂ǵʰéwoHom	<i>noun</i><br><ol><li>arm</li></ol>
bʰerHǵós|bʰerHǵómos|bʰerHǵṓys|bʰerHǵóysu|bʰerHǵóm|bʰerHǵéad|bʰerHǵóms|bʰerHǵósyo|bʰerHǵóy|bʰerHǵé|bʰerHǵéy|bʰerHǵóh₁|bʰerHǵóes|bʰerHǵóHom|bʰerHǵóey	<i>noun</i><br><ol><li>birch</li></ol>
bʰidnós|bʰidnéh₂m̥s|bʰidnóyh₁|bʰidnṓys|bʰidnéh₂h₁|bʰidnéh₂|bʰidnóHom|bʰidnéh₂oHom|bʰidnéh₂mos|bʰidnéh₂es|bʰidnóes|bʰidnéad|bʰidnóysu|bʰidnéh₂bʰi|bʰidnóey|bʰidnóm|bʰidnéh₂h₁e|bʰidné|bʰidnóy|bʰidnéh₂su|bʰidnóh₁|bʰidnéh₂i|non-ablauting|bʰidnéy|bʰidnóms|bʰidnéh₂ey|bʰidnā́m|bʰidnómos|bʰidnéh₂s|bʰidnósyo	<i>adj</i><br><ol><li>split, cloven</li></ol>
bʰidtós|bʰidtéh₂h₁e|bʰidtósyo|bʰidtā́m|bʰidtéh₂m̥s|bʰidtéh₂su|bʰidtéh₂es|bʰidtéad|bʰidtóh₁|bʰidtéh₂mos|bʰidtóyh₁|bʰidtóey|bʰidtéh₂ey|bʰidtéh₂|bʰidtóms|bʰidtéy|bʰidtéh₂h₁|bʰidtóes|bʰidtéh₂oHom|bʰidtóy|bʰidtéh₂bʰi|bʰidtóHom|bʰidté|non-ablauting|bʰidtómos|bʰidtéh₂s|bʰidtéh₂i|bʰidtóm|bʰidtóysu|bʰidtṓys	<i>adj</i><br><ol><li>split, cloven</li></ol>
