(H)ísus	<i>noun</i><br><ol><li>arrow</li></ol>
h₁n̥dó	<i>adv</i><br><ol><li>into, inside</li></ol>
h₁n̥dʰér|h₁n̥dʰéri	<i>adv</i><br><ol><li>under, below</li></ol>
h₁n̥dʰí	<i>adv</i><br><ol><li>under, below</li></ol>
h₁n̥gʷnís|h₁n̥gʷníh₁|h₁n̥gʷním|h₁n̥gʷnéy|h₁n̥gʷnéybʰi|h₁n̥gʷníms|h₁n̥gʷnḗy|h₁n̥gʷnéysu|h₁n̥gʷnéyoHom|h₁n̥gʷnéyh₁|h₁n̥gʷnéyes|h₁n̥gʷníh₁e|h₁n̥gʷní|h₁n̥gʷnéys|h₁n̥gʷnéymos|h₁n̥gʷnéyey	<i>noun</i><br><ol><li>fire</li></ol>
h₁regʷesyéti|h₁regʷesyóytām|h₁regʷesyé|h₁regʷesyṓh₂|h₁regʷesyówe|h₁regʷesyóyh₁m̥|h₁regʷesyḗsi|h₁regʷesyṓnti|h₁regʷesyóyt|h₁regʷesyési|h₁regʷesyóywe|h₁regʷesyṓmos|h₁regʷesyóme|h₁regʷesyétu|h₁regʷesyóyme|h₁regʷesyḗte|h₁regʷesyétes|h₁regʷesyóyh₁n̥t|h₁regʷesyés|h₁regʷesyét|h₁regʷesyóytom|h₁regʷesyónti|h₁regʷesyṓwos|h₁regʷesyóyte|h₁regʷesyónt|h₁regʷesyḗtes|h₁regʷesyéte|h₁regʷesyḗti|h₁regʷesyóys|h₁regʷesyónts|h₁regʷesyóntu|h₁regʷesyétom|h₁regʷesyétām|h₁regʷesyóm|h₁regʷesyówos|h₁regʷesyómos|h₁regʷesyóh₂	<i>verb</i><br><ol><li>to be getting dark</li></ol>
h₁rudʰrós|h₁rudʰróh₁|h₁rudʰróey|h₁rudʰróm|h₁rudʰré|h₁rudʰréy|h₁rudʰrósyo|h₁rudʰréh₂h₁|h₁rudʰréad|h₁rudʰrṓys|h₁rudʰréh₂bʰi|h₁rudʰréh₂ey|h₁rudʰrā́m|h₁rudʰréh₂su|h₁rudʰréh₂oHom|h₁rudʰróHom|h₁rudʰréh₂i|h₁rudʰróyh₁|h₁rudʰréh₂|h₁rudʰréh₂es|h₁rudʰróysu|h₁rudʰréh₂mos|non-ablauting|h₁rudʰróy|h₁rudʰréh₂h₁e|h₁rudʰrómos|h₁rudʰróms|h₁rudʰréh₂m̥s|h₁rudʰréh₂s|h₁rudʰróes	<i>adj</i><br><ol><li>red</li></ol>
h₁rudʰéh₁ti|h₁rudʰéh₁yeh₁m̥|h₁rudʰéh₁n̥tu|h₁rudʰéh₁yeh₁t|h₁rudʰéh₁onti|h₁rudʰéh₁ih₁te|h₁rudʰéh₁dʰi|h₁rudʰéh₁ih₁tām|h₁rudʰéh₁we|h₁rudʰéh₁n̥ti|h₁rudʰéh₁tes|h₁rudʰéh₁tu|h₁rudʰéh₁mos|h₁rudʰéh₁wos|h₁rudʰéh₁si|h₁rudʰéh₁eti|h₁rudʰéh₁ih₁we|h₁rudʰéh₁owos|h₁rudʰéh₁tom|h₁rudʰéh₁ih₁tom|h₁rudʰéh₁omos|h₁rudʰéh₁esi|h₁rudʰéh₁s|h₁rudʰéh₁etes|h₁rudʰéh₁ete|h₁rudʰéh₁t|h₁rudʰéh₁mi|h₁rudʰéh₁n̥ts|h₁rudʰéh₁m̥|h₁rudʰéh₁te|h₁rudʰéh₁yeh₁s|h₁rudʰéh₁n̥t|h₁rudʰéh₁ih₁me|h₁rudʰéh₁me|h₁rudʰéh₁tām|h₁rudʰéh₁ih₁n̥t|h₁rudʰéh₁|h₁rudʰéh₁oh₂	<i>verb</i><br><ol><li>to be red</li></ol>
h₁régʷos|h₁régʷōs|h₁régʷesi|h₁régʷesbʰi|h₁régʷes|h₁régʷesu|h₁régʷesoHom|h₁régʷesmos|h₁régʷesih₁|h₁régʷesey|h₁régʷesh₁|h₁régʷesos	<i>noun</i><br><ol><li>darkness</li></ol>
h₁réh₁	<i>adv</i><br><ol><li>sparsely, rarely, loosely</li></ol>
h₁widʰéwh₂|h₁widʰéwh₂es|h₁widʰwéh₂oHom|h₁widʰéwh₂m̥|h₁widʰwéh₂bʰi|h₁widʰwéh₂ey|h₁widʰwéh₂h₁|h₁widʰéwh₂h₁e|h₁widʰéwh₂h₁|h₁widʰwéh₂s|h₁widʰwéh₂mos|h₁widʰwéh₂|h₁widʰwéh₂i|h₁widʰwéh₂su|h₁widʰéwh₂s|h₁widʰéwh₂m̥s	<i>noun</i><br><ol><li>widow</li></ol>
h₁wérus|h₁uréwoHom|h₁urúm|h₁wérums|h₁uréwsu|h₁wérwih₁|h₁uruyéh₂|h₁urúsu|h₁urú|h₁urúh₁|h₁uréw|h₁uréwih₂h₁|h₁urúbʰi|h₁uréwih₂m̥|h₁uruyéh₂oHom|h₁uréwi|h₁uréwh₁|h₁wérum|h₁wérewes|h₁urúmos|h₁uréwih₂es|h₁wéru|h₁uruyéh₂su|h₁wéruh₁|h₁uruyéh₂mos|h₁uréwih₂h₁e|h₁uréws|h₁uruyéh₂bʰi|h₁wéruh₂|h₁uréwbʰi|h₁uréwey|h₁urúyh₁|h₁urúh₂|h₁urúes|h₁uruyéh₂ey|h₁uruyéh₂i|h₁uréwmos|h₁uréwih₂|h₁uréwih₂m̥s|h₁urúh₁e|h₁urús|h₁uruyéh₂h₁|h₁uruyéh₂s|h₁urúms|h₁wéruh₁e	<i>adj</i><br><ol><li>broad</li></ol>
h₁wésus|h₁wésums|h₁usuyéh₂mos|h₁usúmos|h₁wésuh₁|h₁uséwoHom|h₁wésuh₂|h₁uséwih₂h₁e|h₁usúh₁|h₁usuyéh₂|h₁wéswih₁|h₁wésum|h₁usuyéh₂h₁|h₁uséwih₂es|h₁wésu|h₁usuyéh₂bʰi|h₁uséwih₂m̥s|h₁wésuh₁e|h₁uséw|h₁uséwey|h₁uséwih₂h₁|h₁usuyéh₂s|h₁usuyéh₂ey|h₁uséws|h₁uséwih₂|h₁wésewes|h₁uséwih₂m̥|h₁uséwi|h₁usúsu|h₁usuyéh₂i|h₁usuyéh₂su|h₁usuyéh₂oHom|h₁usúbʰi	<i>adj</i><br><ol><li>good, excellent</li></ol>
h₁yenh₂tēr	<i>noun</i><br><ol><li>co-sister-in-law</li></ol>
h₁é	<i>adv</i><br><ol><li>and, then</li></ol>
h₁édti|h₁dwós|h₁édt|h₁dté|h₁dn̥tyéh₂h₁|h₁dn̥téh₁|h₁dónth₁e|h₁dih₁dʰh₂wé|h₁dtó|h₁édomos|h₁ddʰí|h₁dn̥tór|h₁dwédʰh₂|h₁dh₂é|h₁déntih₂m̥s|h₁dih₁wédʰh₂|h₁édtu|h₁dm̥h₁nós|h₁dn̥tyéh₂i|h₁dih₁tā́m|h₁dmédʰh₂|h₁édoh₂er|h₁dónth₁|h₁édoror|h₁dih₁mé|h₁édedʰh₂we|h₁dyéh₁s|h₁dór|h₁dih₁wé|h₁dmé|h₁dih₁tó|h₁dn̥tyéh₂s|h₁dn̥tyéh₂|h₁dónts|h₁édesi|h₁dn̥tsú|h₁déntih₂|h₁déntih₂h₁|h₁dmós|h₁dtóm|h₁dn̥tmós|h₁dóntm̥|h₁dih₁n̥tó|h₁dth₂é|h₁éds|h₁dih₁th₂é|h₁dóntih₁|h₁éd|h₁déntih₂m̥|h₁dénti|h₁édowosdʰh₂|h₁dn̥tyéh₂oHom|h₁dwósdʰh₂|h₁édetor|h₁édete|h₁dyéh₁m̥|h₁dih₁médʰh₂|h₁dn̥tyéh₂su|h₁dó|h₁déntih₂h₁e|h₁dn̥tés|h₁dh₂ér|h₁dih₁h₂é|h₁édmi|h₁dn̥téy|h₁édowos|h₁dóntes|h₁dró|h₁édoh₂|h₁dtā́m|h₁dtés|h₁dih₁ó|h₁dtór|h₁dn̥tyéh₂mos|h₁dn̥tbʰí|h₁dn̥tó|h₁dsó|h₁dyéh₁t|h₁édomosdʰh₂|h₁édeti|h₁dmósdʰh₂|h₁ddʰh₂wé|h₁dn̥tóHom|h₁édsi|h₁dth₂ér|h₁dih₁ró|h₁drór|h₁édeth₂er|h₁dih₁ént|h₁édetes|h₁édm̥|h₁déntih₂es|h₁dént|h₁édonti|h₁dn̥tyéh₂ey|h₁dónth₂|h₁dónt|h₁dih₁té|h₁édontor|h₁déntu|h₁dwé|h₁dóntm̥s|h₁dih₁tóm|h₁dn̥tyéh₂bʰi	<i>verb</i><br><ol><li>to eat</li></ol>
h₁élem	<i>noun</i><br><ol><li>mountain elm</li></ol>
h₁élḱos|h₁élḱesh₁|h₁élḱesos|h₁élḱesu|h₁élḱesoHom|h₁élḱesey|h₁élḱesih₁|h₁élḱesi|h₁élḱesbʰi|h₁élḱes|h₁élḱesmos|h₁élḱōs	<i>noun</i><br><ol><li>sore, ulcer</li></ol>
h₁én	<i>adv</i><br><ol><li>in</li></ol>
h₁énos|h₁éneh₂mos|h₁énod|h₁énoh₁|h₁énosmi|h₁éneh₂su|h₁énoysoHom|h₁énosyeh₂|h₁énosmead|h₁éneh₂soHom|h₁énosmey|h₁énonoh₁|h₁éneh₂eh₁|h₁énoms|h₁énoy|h₁énoysu|h₁énōys|h₁énām|h₁énosyo|h₁énosyeh₂s|h₁énosyeh₂ey|h₁éneh₂es|h₁éneh₂bʰi|h₁éneh₂h₁|h₁énom|h₁éneh₂|h₁éneh₂m̥s|h₁énoymos	<i>pron</i><br><ol><li>that, that over there, yon (distal)</li></ol>
h₁énteros|h₁éntereh₂s|h₁énterosyo|h₁éntereh₂h₁e|h₁énteroms|h₁énterom|h₁énterey|h₁énteroh₁|h₁énteroy|h₁éntereh₂mos|h₁énterōys|h₁éntere|h₁éntereh₂es|h₁énterām|h₁éntereh₂bʰi|h₁énteroysu|h₁éntereh₂su|h₁éntereh₂ey|h₁éntereh₂h₁|h₁énteroey|h₁énteroHom|h₁énteread|h₁éntereh₂m̥s|h₁éntereh₂|h₁éntereh₂i|h₁énteroyh₁|h₁énteroes|h₁énteromos|h₁éntereh₂oHom	<i>adj</i><br><ol><li>inside, within</li></ol>
h₁ésh₂r̥|h₁sh₂néy|h₁sh₂énh₁|h₁sh₂néh₁|h₁sh₂nés|h₁sh₂éney|h₁sh₂éns|h₁ésh₂ōr|h₁sh₂éni|h₁sh₂én	<i>noun</i><br><ol><li>(flowing) blood</li></ol>
h₁ésti|h₁sónts|h₁stés|h₁stóm|h₁stā́m|h₁ésonti|h₁sn̥tés|h₁sn̥tyéh₂s|h₁séntih₂h₁|h₁sónt|h₁swé|h₁séntih₂|h₁sn̥tyéh₂ey|h₁sn̥tyéh₂h₁|h₁sénti|h₁sóntm̥|h₁ést|h₁éstu|h₁és|h₁sih₁tā́m|h₁ésowos|h₁sóntes|h₁sónth₂|h₁sn̥tyéh₂su|h₁séntih₂m̥|h₁syéh₁s|h₁ésomos|h₁sn̥téy|h₁sn̥téh₁|h₁séntih₂m̥s|h₁sn̥tsú|h₁sn̥tyéh₂bʰi|h₁ésmi|h₁ésm̥|h₁ési|h₁sté|h₁sónth₁e|h₁sdʰí|h₁swós|h₁sn̥tóHom|h₁sn̥tyéh₂oHom|h₁sént|h₁sn̥tbʰí|h₁éseti|h₁ésesi|h₁ésete|h₁séntih₂h₁e|h₁sóntm̥s|h₁sih₁wé|h₁sn̥tyéh₂|h₁séntu|h₁sih₁ént|h₁sih₁tóm|h₁smós|h₁smé|h₁sónth₁|h₁sn̥tyéh₂i|h₁syéh₁t|h₁sóntih₁|h₁sn̥tyéh₂mos|h₁ésoh₂|h₁sih₁mé|h₁sn̥tmós|h₁syéh₁m̥|h₁séntih₂es|h₁sih₁té|h₁ésetes	<i>verb</i><br><ol><li>to be</li></ol>
h₁éyti|h₁iyéh₁s|h₁iyéh₁t|h₁éyt|h₁yih₁té|h₁éyete|h₁itóm|h₁yih₁ént|h₁ḗm|h₁iwé|h₁yénti|h₁yih₁wé|h₁yónts|h₁imós|h₁imé|h₁yéntu|h₁iyéh₁m̥|h₁yént|h₁éyomos|h₁éys|h₁yih₁tā́m|h₁yih₁mé|h₁idʰí|h₁éysi|h₁itā́m|h₁ités|h₁ité|h₁éyeti|h₁yih₁tóm|h₁éyoh₂|h₁éyesi|h₁éyowos|h₁éy|h₁éyetes|h₁éytu|h₁éyonti|h₁éymi|h₁iwós	<i>verb</i><br><ol><li>to go, to be going</li></ol>
h₁éytr̥|h₁itén|h₁itṓr|h₁iténh₁|h₁itnéy|h₁iténi|h₁iténs|h₁itnéh₁|h₁itnés|h₁iténey	<i>noun</i><br><ol><li>way, course</li></ol>
h₁éḱwos|h₁éḱwosyo|h₁éḱwoh₁|h₁éḱwom|h₁éḱwoysu|h₁éḱwōys|h₁éḱwey|h₁éḱwe|h₁éḱwomos|h₁éḱwoey|h₁éḱwoHom|h₁éḱwead|h₁éḱwoes|h₁éḱwoms|h₁éḱwoy	<i>noun</i><br><ol><li>stallion, horse</li></ol>
h₁ógʷʰis|h₁égʷʰi|h₁ógʷʰih₁e|h₁égʷʰibʰi|h₁ógʷʰih₁|h₁égʷʰih₁|h₁ógʷʰeyes|h₁ógʷʰims|h₁ógʷʰim|h₁égʷʰis|h₁égʷʰimos|h₁égʷʰyey|h₁égʷʰyoHom|h₁égʷʰisu|h₁ógʷʰi	<i>noun</i><br><ol><li>snake</li><li>a mythic serpent or dragon that is slain by a great hero in Indo-European mythology</li></ol>
h₁óh₃s|h₁h₃séh₁|h₁h₃smós|h₁h₃sés|h₁óh₃sh₂|h₁h₃sú|h₁óh₃sih₁|h₁h₃sbʰí|h₁h₃séy|h₁éh₃s|h₁h₃sóHom|h₁éh₃si	<i>noun</i><br><ol><li>mouth</li></ol>
h₁ólos|h₁ólead|h₁óloey|h₁óloy|h₁óloHom|h₁óloh₁|h₁ólosyo|h₁ólomos|h₁óloms|h₁óloes|h₁ólom|h₁ólōys|h₁óley|h₁óloysu|h₁óle	<i>noun</i><br><ol><li>awl</li></ol>
h₁óngʷl̥|h₁óngʷolm̥|h₁óngʷol|h₁óngʷolh₁|h₁n̥gʷl̥sú|h₁óngʷolh₁e|h₁óngʷolm̥s|h₁n̥gʷél|h₁óngʷoles|h₁n̥gʷlés|h₁n̥gʷl̥bʰí|h₁n̥gʷlóHom|h₁n̥gʷléy|h₁óngʷōl|h₁n̥gʷl̥mós|h₁n̥gʷéli|h₁n̥gʷléh₁	<i>noun</i><br><ol><li>charcoal</li></ol>
h₁órǵʰis|h₁r̥ǵʰíh₁|h₁órǵʰim|h₁órǵʰih₁e|h₁r̥ǵʰíbʰi|h₁órǵʰims|h₁órǵʰih₁|h₁órǵʰeyes|h₁órǵʰi|h₁r̥ǵʰísu|h₁r̥ǵʰéys|h₁r̥ǵʰéyoHom|h₁r̥ǵʰímos|h₁r̥ǵʰéy|h₁r̥ǵʰḗy|h₁r̥ǵʰéyey	<i>noun</i><br><ol><li>testicle</li></ol>
h₁ówHdʰr̥|h₁uHdʰénh₁|h₁ówdʰr̥|h₁uHdʰéns|h₁uHdʰéney|h₁uHdʰéni|h₁uHdʰén	<i>noun</i><br><ol><li>udder</li></ol>
h₁óytos|h₁óytoms|h₁óytom|h₁óytoh₁|h₁óytey|h₁óytoy|h₁óytead|h₁óytoysu|h₁óytoes|h₁óytoey|h₁óyte|h₁óytoHom|h₁óytomos|h₁óytōys|h₁óytosyo	<i>noun</i><br><ol><li>oath</li></ol>
h₁ḗdti|h₁édtom|h₁édme|h₁ḗdm̥|h₁ḗdmi|h₁ḗds|h₁édh₂e|h₁édih₁tom|h₁édtor|h₁édih₁ro|h₁édih₁we|h₁ḗdoror|h₁édih₁wedʰh₂|h₁édih₁medʰh₂|h₁ḗdtu|h₁édih₁te|h₁édih₁to|h₁édh₂er|h₁édo|h₁édror|h₁édn̥tor|h₁éddʰi|h₁édn̥to|h₁édih₁n̥to|h₁édwos|h₁ḗdeth₂er|h₁édth₂e|h₁ḗdsi|h₁édwosdʰh₂|h₁édmosdʰh₂|h₁ḗdowos|h₁édyeh₁s|h₁édih₁dʰh₂we|h₁édyeh₁m̥|h₁ḗdoh₂er|h₁édto|h₁édm̥h₁nos|h₁édmos|h₁édih₁me|h₁édih₁n̥t|h₁édso|h₁ḗdesi|h₁édih₁th₂e|h₁édyeh₁t|h₁édn̥ts|h₁édwe|h₁édro|h₁ḗdomos|h₁édn̥tu|h₁édtām|h₁édih₁h₂e|h₁ḗdomosdʰh₂|h₁ḗdt|h₁ḗdonti|h₁édwedʰh₂|h₁ḗdedʰh₂we|h₁ḗdontor|h₁édn̥t|h₁ḗdetor|h₁ḗdeti|h₁édte|h₁ḗdowosdʰh₂|h₁édih₁tām|h₁ḗdetes|h₁édih₁o|h₁ḗdete|h₁édn̥ti|h₁ḗd|h₁édmedʰh₂|h₁édth₂er|h₁éddʰh₂we|h₁ḗdoh₂|h₁édtes|h₁édor	<i>verb</i><br><ol><li>alternative reconstruction of *h₁édti</li></ol>
h₂egʷnós|h₂egʷnóHom|h₂egʷnósyo|h₂egʷnṓys|h₂egʷnóms|h₂egʷnéad|h₂egʷnóysu|h₂egʷnóy|h₂egʷnéy|h₂egʷnóh₁|h₂egʷnóm|h₂egʷnóes|h₂egʷnómos|h₂egʷnóey|h₂egʷné	<i>noun</i><br><ol><li>lamb</li></ol>
h₂eh₂nóḱe|h₂eh₂n̥ḱyéh₁t|h₂eh₂néḱoh₂|h₂eh₂n̥ḱwṓs|h₂eh₂nóḱh₂e|h₂eh₂n̥ḱyéh₁s|h₂eh₂n̥ḱwé|h₂eh₂n̥ḱtā́m|h₂eh₂néḱetes|h₂eh₂n̥ḱih₁wé|h₂eh₂nóḱtu|h₂eh₂néḱowos|h₂eh₂n̥ḱih₁tóm|h₂eh₂n̥ḱté|h₂eh₂n̥ḱtóm|h₂eh₂néḱesi|h₂eh₂néḱomos|h₂eh₂n̥ḱyéh₁m̥|h₂eh₂n̥ḱé|h₂eh₂n̥ḱih₁té|h₂eh₂néḱonti|h₂eh₂nóḱth₂e|h₂eh₂néḱeti|h₂eh₂n̥ḱih₁ént|h₂eh₂nóḱ|h₂eh₂n̥ḱḗr|h₂eh₂n̥ḱéntu|h₂eh₂n̥ḱdʰí|h₂eh₂n̥ḱih₁tā́m|h₂eh₂néḱete|h₂eh₂n̥ḱih₁mé|h₂eh₂n̥ḱmé	<i>verb</i><br><ol><li>to have reached, to be at</li></ol>
h₂eh₂ógʰe|h₂eh₂gʰih₁mé|h₂eh₂gʰmé|h₂eh₂gʰih₁wé|h₂eh₂égʰonti|h₂eh₂gʰtóm|h₂eh₂ógʰtu|h₂eh₂gʰyéh₁t|h₂eh₂égʰete|h₂eh₂gʰéntu|h₂eh₂ógʰth₂e|h₂eh₂gʰé|h₂eh₂gʰtā́m|h₂eh₂gʰih₁té|h₂eh₂gʰté|h₂eh₂gʰḗr|h₂eh₂égʰomos|h₂eh₂égʰoh₂|h₂eh₂égʰesi|h₂eh₂gʰih₁tā́m|h₂eh₂gʰih₁ént|h₂eh₂ógʰh₂e|h₂eh₂gʰdʰí|h₂eh₂gʰih₁tóm|h₂eh₂gʰwé|h₂eh₂óg|h₂eh₂gʰwṓs|h₂eh₂gʰyéh₁s|h₂eh₂gʰyéh₁m̥|h₂eh₂égʰeti|h₂eh₂égʰetes|h₂eh₂égʰowos	<i>verb</i><br><ol><li>to be upset, afraid</li></ol>
h₂eh₂óyḱe|h₂eh₂óyḱtu|h₂eh₂iḱté|h₂eh₂iḱih₁té|h₂eh₂iḱyéh₁t|h₂eh₂iḱih₁mé|h₂eh₂iḱmé|h₂eh₂iḱih₁tóm|h₂eh₂iḱih₁wé|h₂eh₂iḱyéh₁m̥|h₂eh₂éyḱoh₂|h₂eh₂iḱtā́m|h₂eh₂iḱih₁ént|h₂eh₂éyḱonti|h₂eh₂óyḱ|h₂eh₂éyḱete|h₂eh₂iḱé|h₂eh₂iḱwé|h₂eh₂éyḱeti|h₂eh₂iḱyéh₁s|h₂eh₂éyḱowos|h₂eh₂iḱtóm|h₂eh₂iḱéntu|h₂eh₂iḱih₁tā́m|h₂eh₂éyḱomos|h₂eh₂iḱḗr|h₂eh₂óyḱh₂e|h₂eh₂éyḱesi|h₂eh₂éyḱetes|h₂eh₂óyḱth₂e|h₂eh₂iḱwṓs|h₂eh₂iḱdʰí	<i>verb</i><br><ol><li>to possess, to own</li></ol>
h₂eh₃mós|h₂eh₃móh₁|h₂eh₃mṓys|h₂eh₃méh₂h₁e|h₂eh₃mómos|h₂eh₃méh₂ey|h₂eh₃méh₂s|h₂eh₃móy|h₂eh₃méad|h₂eh₃méy|h₂eh₃móysu|h₂eh₃móms|h₂eh₃méh₂su|h₂eh₃méh₂i|h₂eh₃móey|h₂eh₃méh₂bʰi|h₂eh₃méh₂h₁|h₂eh₃móHom|h₂eh₃mé|h₂eh₃méh₂mos|h₂eh₃mā́m|h₂eh₃móes|h₂eh₃méh₂oHom|h₂eh₃móyh₁|h₂eh₃méh₂|h₂eh₃móm|h₂eh₃méh₂es|h₂eh₃méh₂m̥s|h₂eh₃mósyo	<i>adj</i><br><ol><li>raw, uncooked</li><li>bitter, sharp-tasting or sour</li></ol>
h₂elgʷʰós	<i>noun</i><br><ol><li>payment, price</li></ol>
h₂enh₁mos|h₂enh₁mōys|h₂enh₁moes|h₂enh₁moms|h₂enh₁moysu|h₂enh₁mey|h₂enh₁moey|h₂enh₁moh₁|h₂enh₁mead|h₂enh₁mosyo|h₂enh₁moHom|h₂enh₁moy|h₂enh₁mom|h₂enh₁momos|h₂enh₁me	<i>noun</i><br><ol><li>breath</li></ol>
h₂entíos|h₂entíoy|h₂entíey|h₂entíe|h₂entíoHom|h₂entíom|h₂entíōys|h₂entíoey|h₂entíoms|h₂entíomos|h₂entíoes|h₂entíoysu|h₂entíead|h₂entíosyo|h₂entíoh₁	<i>noun</i><br><ol><li>front</li><li>forehead</li></ol>
h₂epó	<i>adv</i><br><ol><li>off, away</li></ol>
h₂ew	<i>adv</i><br><ol><li>away from, off</li><li>again</li></ol>
h₂ewlós|h₂ewlóy|h₂ewlóysu|h₂ewlé|h₂ewlóes|h₂ewlóHom|h₂ewlóms|h₂ewlóh₁|h₂ewlṓys|h₂ewlómos|h₂ewlóey|h₂ewléy|h₂ewléad|h₂ewlósyo|h₂ewlóm	<i>noun</i><br><ol><li>something hollow, hollowed out</li></ol>
h₂linéHti|h₂linHh₂ér|h₂linHih₁th₂é|h₂linHth₂ér|h₂linHtā́m|h₂linHwós|h₂linHwé|h₂linHtés|h₂linéHowos|h₂linHh₂é|h₂linéHomosdʰh₂|h₂linéHesi|h₂linéHmi|h₂linHih₁ró|h₂linHtó|h₂linéHoh₂|h₂linHént|h₂linHih₁médʰh₂|h₂linéHete|h₂linéHoror|h₂linHyéh₁t|h₂linHih₁h₂é|h₂linHih₁té|h₂linéHt|h₂linHyéh₁m̥|h₂linéHetes|h₂linHih₁ént|h₂linHmé|h₂linHih₁ó|h₂linHénti|h₂linHwédʰh₂|h₂linéH|h₂linHtór|h₂linéHonti|h₂linHdʰh₂wé|h₂linéHowosdʰh₂|h₂linéHeth₂er|h₂linHih₁wédʰh₂|h₂linHmós|h₂linHn̥tó|h₂linéHm̥|h₂linéHoh₂er|h₂linHdʰí|h₂linHó|h₂linHmósdʰh₂|h₂linéHsi|h₂linéHomos|h₂linHtóm|h₂linéHetor|h₂linHté|h₂linHéntu|h₂linHór|h₂linHmédʰh₂|h₂linHih₁wé|h₂linHrór|h₂linéHontor|h₂linHsó|h₂linHih₁tó|h₂linéHs|h₂linéHtu|h₂linéHedʰh₂we|h₂linHih₁tā́m|h₂linHih₁mé|h₂linHwósdʰh₂|h₂linHih₁dʰh₂wé|h₂linHró|h₂linHth₂é|h₂linHm̥h₁nós|h₂linHn̥tór|h₂linHih₁tóm|h₂linéHeti|h₂linHih₁n̥tó|h₂linHyéh₁s|h₂linHónts	<i>verb</i><br><ol><li>to be smearing</li></ol>
h₂lékseti|h₂léksēti|h₂léksoyh₁n̥to|h₂léksoyte|h₂léksōmos|h₂léksōh₂er|h₂léksowedʰh₂|h₂léksoyro|h₂léksowe|h₂léksete|h₂léksōnti|h₂léksēdʰh₂we|h₂léksoh₂|h₂léksonti|h₂léksomedʰh₂|h₂léksōmosdʰh₂|h₂léksoyme|h₂léksētes|h₂léksoro|h₂léksoyth₂e|h₂léksoyt|h₂lékset|h₂léksowos|h₂léksowosdʰh₂|h₂léksoytom|h₂léksonto|h₂léksome|h₂lékseth₂er|h₂lékseth₂e|h₂léksōwos|h₂léksonts|h₂léksoror|h₂léksoys|h₂léksēth₂er|h₂lékseso|h₂léksoyh₁m̥|h₂léksetām|h₂léksontu|h₂léksoyh₂e|h₂lékseto|h₂léksoywe|h₂léksoymedʰh₂|h₂léksēsi|h₂léksōwosdʰh₂|h₂léksesi|h₂léksetu|h₂léksoyh₁n̥t|h₂léksetom|h₂léksoywedʰh₂|h₂léksom|h₂léksētor|h₂léksoh₂e|h₂léksoh₂er|h₂léksōntor|h₂lékses|h₂léksomnos|h₂léksetes|h₂léksēte|h₂léksomosdʰh₂|h₂léksoytām|h₂léksoyh₁o|h₂léksoydʰh₂we|h₂léksōror|h₂léksetor|h₂lékse|h₂léksomos|h₂léksont|h₂léksontor|h₂léksoyto|h₂léksedʰh₂we|h₂léksōh₂	<i>verb</i><br><ol><li>to be protecting</li></ol>
h₂m̥bʰi	<i>adv</i><br><ol><li>around, on either side of, about</li><li>in exchange for</li><li>facing, against</li></ol>
h₂nḗr|h₂nérm̥|h₂nér|h₂nérh₁e|h₂n̥réy|h₂nr̥sú|h₂nr̥bʰí|h₂n̥rés|h₂néri|h₂nérm̥s|h₂néres|h₂n̥réh₁|h₂n̥róHom|h₂nr̥mós|h₂nérh₁	<i>noun</i><br><ol><li>man</li><li>power, force, vital energy</li></ol>
h₂pó	<i>adv</i><br><ol><li>off, away</li></ol>
h₂r̥ǵn̥tóm|h₂r̥ǵn̥tóey|h₂r̥ǵn̥tóh₁|h₂r̥ǵn̥téh₂|h₂r̥ǵn̥tṓys|h₂r̥ǵn̥tósyo|h₂r̥ǵn̥tóyh₁|h₂r̥ǵn̥tóysu|h₂r̥ǵn̥tóy|h₂r̥ǵn̥téad|h₂r̥ǵn̥tóHom|h₂r̥ǵn̥tómos|h₂r̥ǵn̥téy	<i>noun</i><br><ol><li>silver</li></ol>
h₂stḗr|h₂stérh₁e|h₂str̥mós|h₂stréy|h₂stéres|h₂stróHom|h₂str̥bʰí|h₂stéri|h₂stérm̥|h₂stérm̥s|h₂stér|h₂stérh₁|h₂stréh₁|h₂str̥sú|h₂strés	<i>noun</i><br><ol><li>star</li></ol>
h₂wéh₁n̥ts|h₂wéh₁n̥t|h₂uh₁n̥tsú|h₂uh₁n̥tyéh₂bʰi|h₂uh₁n̥tbʰí|h₂uh₁éntih₂m̥s|h₂uh₁n̥tyéh₂s|h₂uh₁n̥téy|h₂uh₁n̥tyéh₂ey|h₂wéh₁n̥tm̥s|h₂uh₁n̥tyéh₂su|h₂uh₁éntih₂|h₂uh₁n̥tmós|h₂uh₁éntih₂m̥|h₂wéh₁n̥th₁|h₂uh₁éntih₂es|h₂wéh₁n̥tih₁|h₂uh₁n̥tés|h₂uh₁n̥tóHom|h₂wéh₁n̥th₁e|h₂uh₁éntih₂h₁e|h₂uh₁n̥tyéh₂h₁|h₂uh₁n̥téh₁|h₂wéh₁n̥tm̥|h₂wéh₁n̥ti|h₂wéh₁n̥th₂|h₂uh₁n̥tyéh₂i|h₂uh₁éntih₂h₁|h₂uh₁n̥tyéh₂oHom|h₂uh₁n̥tyéh₂mos|h₂wéh₁n̥tes|h₂uh₁n̥tyéh₂	<i>adj</i><br><ol><li>blowing</li><li>(as substantive) that which blows; the wind, air</li></ol>
