adnet	<i>verb</i><br><ol><li>to have</li></ol>
dádtja|dádˈtjaj|dádtjav|dádtjas|dádtjajs|dádtjast|dádtjan|dádˈtja|dádtjajst|dádtjaj|dádˈtjan|dádtjajn|dádtjajt|dádtjajda	<i>noun</i><br><ol><li>non-Sami person; Norwegian, Swede</li></ol>
dáffo|dáffos|dáfˈfon|dáffojst|dáffojda|däfˈfuj|dáffojn|dáffoj|dáffov|dáffost|dáffojs|däffujn|dáffon|dáffojt|dáfˈfo	<i>noun</i><br><ol><li>area, region</li></ol>
dákkte	
dálkas	
dállas	
dállve|dälvijda|dälvijt|dálves|dälvij|dálve|dälvijn|dállven|dálven|dälvijs|dálvev|dálvest|dälvijst|dállváj	<i>noun</i><br><ol><li>winter</li></ol>
dárro	
dát|dáj|dájste|dáv|dásste|dájt|dájtne|dáh|dán|dájna|dájda|dá|dása	<i>pron</i><br><ol><li>this</li></ol>
dávvda	
dávver	
dä	<i>adv</i><br><ol><li>then</li></ol>
dähppá	
därbme	
dågge|dåggijn|dåggij|dågˈgen|dåggijst|dåggev|dågˈge|dåggijda|dågˈgáj|dågges|dåggest|dåggen|dåggijs|dåggijt	<i>noun</i><br><ol><li>abomasum</li></ol>
dåhkke|då̄hkke	
dåhpe|dåbev|dåbe|dåbes|dåbijst|dåbij|dåbijda|dåhpáj|dåbijt|dåbijn|dåbest|dåbijs|dåben|dåhpen	<i>noun</i><br><ol><li>house</li></ol>
dåhppå|dåhpåjda|dåhpåj|dåhpå|dåhpåjt|dåhpåv|dåhppåj|dåhpån|dåhpåjst|dåhpåjs|dåhpåjn|dåhppån|dåhpås|dåhpåst	<i>noun</i><br><ol><li>sheath</li></ol>
dåj|dånnå|dijá|dånov|dijást|dån|dujna|dij|dunje|dunnuj|dijjaj|duvste|dåj|dunuost|dijáv|duvne|dåjå|duv|diján|dunujn|dijájn|dunuo|dunuon|dija	<i>pron</i><br><ol><li>you two</li></ol>
dåjå|dånnå|dijá|dånov|dijást|dån|dujna|dij|dunje|dunnuj|dijjaj|duvste|dåj|dunuost|dijáv|duvne|dåjå|duv|diján|dunujn|dijájn|dunuo|dunuon|dija	<i>pron</i><br><ol><li>(emphatic) you two</li></ol>
dållge	
dållå|dålåst|dålån|dålå|dållån|dålås|dålåjn|dålåv|dållåj|dålåjs|dålåjst|dålåjt|dålåjda|dålåj	<i>noun</i><br><ol><li>fire</li></ol>
dån|dånnå|dijá|dånov|dijást|dån|dujna|dij|dunje|dunnuj|dijjaj|duvste|dåj|dunuost|dijáv|duvne|dåjå|duv|diján|dunujn|dijájn|dunuo|dunuon|dija	<i>pron</i><br><ol><li>thou, you (singular)</li></ol>
dånnå|dånnå|dijá|dånov|dijást|dån|dujna|dij|dunje|dunnuj|dijjaj|duvste|dåj|dunuost|dijáv|duvne|dåjå|duv|diján|dunujn|dijájn|dunuo|dunuon|dija	<i>pron</i><br><ol><li>(emphatic) thou, you (singular)</li></ol>
fáhttsa|fáhttsaj|fáhtsav|fáhtsan|fáhtsas|fáhtsajn|fáhtsa|fáhttsan|fáhtsajst|fáhtsaj|fáhtsajt|fáhtsast|fáhtsajs|fáhtsajda	<i>noun</i><br><ol><li>mitten</li></ol>
fáles	<i>noun</i><br><ol><li>whale</li></ol>
fárro|fárojt|fáron|fárojs|fárost|färujn|fárojst|fárov|fárojn|fárron|fároj|fáro|färruj|fárojda|fáros	<i>noun</i><br><ol><li>company, companion</li></ol>
gadna|ganajt|ganajn|ganajda|ganast|ganaj|ganav|ganajs|gadnan|ganajst|gana|ganas|gadnaj|ganan	<i>noun</i><br><ol><li>lichen on a tree or rock</li></ol>
gadtsa|gadtsajda|gadtsast|gadtsaj|gadtsav|gadˈtsaj|gadˈtsan|gadtsas|gadtsajst|gadˈtsa|gadtsajt|gadtsajn|gadtsajs|gadtsan	<i>noun</i><br><ol><li>fingernail</li><li>claw</li></ol>
gahper	
garrtsa	
gasska|gasskan|gaskajst|gaska|gaskajt|gasskaj|gaskav|gaskas|gaskajs|gaskan|gaskajn|gaskajda|gaskast|gaskaj	<i>noun</i><br><ol><li>middle</li><li>space between</li></ol>
giehka|giegas|giegast|giegajda|giegajst|giegav|giehkaj|giegajs|giega|giegan|giegajt|giehkan|giegajn|giegaj	<i>noun</i><br><ol><li>cuckoo, Cuculus canorus</li></ol>
giehta|giedajst|giedas|giedajs|giedast|giedaj|giehtaj|giedajt|gieda|giedav|giedajda|giedajn|giedan|giehtan	<i>noun</i><br><ol><li>hand</li><li>arm</li></ol>
giehtje|getjijst|getjijs|getjijn|gietjev|giehtjáj|getjij|gietjen|giehtjen|gietje|gietjest|gietjes|getjijt|getjijda	<i>noun</i><br><ol><li>end, finish</li></ol>
giella|giellaj|gielav|gielajda|gielajst|gielajs|gielast|gielajn|gielan|gielaj|giela|gielajt|gielas|giellan	<i>noun</i><br><ol><li>language</li><li>speech, voice</li></ol>
giesse|giesev|gesijda|gesijst|gesijt|gesijs|giessáj|gesij|giesest|giessen|giese|gieses|gesijn|giesen	<i>noun</i><br><ol><li>summer</li></ol>
gietjav	<i>num</i><br><ol><li>seven</li></ol>
girra|girajst|gida|girajn|giraj|gira|gidaj|gidas|girraj|gidda|gidan|gidav|girran|gidajst|giddan|gidajn|gidast|giran|gidajs|gidajda|girav|girajda|girajt|girast|girajs|gidajt|giddaj|giras	<i>noun</i><br><ol><li>spring (season)</li></ol>
girrje|girje|girjijn|girjijt|girjij|girjijst|girjest|girrjen|girrjáj|girjijda|girjev|girjijs|girjes|girjen	<i>noun</i><br><ol><li>book</li></ol>
girrko|girko|girkon|girrkuj|girkojn|girkost|girkojst|girrkon|girkojs|girkos|girkoj|girkov|girkojt|girkujn|girkojda	<i>noun</i><br><ol><li>church</li></ol>
guajjka|guojkav|guojkajst|guojkas|guojkast|guajjkaj|guojkan|guojkaj|guojkajt|guojkajda|guojkajs|guajjkan|guojka|guojkajn	
guarrga|guarrgaj|guorgajst|guorgas|guorgav|guorgajs|guarrgan|guorgaj|guorga|guorgajt|guorgan|guorgajda|guorgast|guorgajn	<i>noun</i><br><ol><li>crane (bird)</li></ol>
gudna|gudnaj|gunan|gunav|gunajst|gunajt|gunas|gunajs|gudnan|guna|gunaj|gunast|gunajn|gunajda	<i>noun</i><br><ol><li>ash (residue from burning)</li></ol>
guhta	<i>num</i><br><ol><li>six</li></ol>
gullit|gūlˈlit	<i>verb</i><br><ol><li>to (catch) fish</li></ol>
gullut|gulˈlut	<i>verb</i><br><ol><li>to be heard</li></ol>
gummpi	<i>noun</i><br><ol><li>wolf (Canis lupus)</li></ol>
