adnet	<i>verb</i><br><ol><li>to have</li></ol>
sija|suvste|sånnå|sijájn|sija|sij|sijást|siján|sunje|sån|suv|sunuost|sujna|såj|sunuon|sijá|sånov|sunuo|suvne|sijáv|sijjaj|såjå|sunnuj|sunujn	<i>pron</i><br><ol><li>(emphatic) they</li></ol>
sijjda	
sillba	
sjalbme	
sjalljo	
sjilla	
sjuodje|sjuoje|sjūjij|sjūjijt|sjūjijs|sjūjijst|sjuojjen|sjūjijn|sjuojjáj|sjūjijda|sjuojes|sjuodjen|sjuojest|sjuojje|sjuodjáj|sjuojev|sjuojen	
sjádnja	
skåvvlå|skåvlåjn|skåvlå|skåvlåjst|skåvvlån|skåvlåjs|skåvlåjt|skåvlåj|skåvlåjda|skåvlåst|skåvlån|skåvlås|skåvlåv|skåvvlåj	<i>noun</i><br><ol><li>school</li></ol>
stállo	
suaggŋo	
suakksa|suoksas|suakksaj|suakksan|suoksajda|suoksast|suoksajst|suoksan|suoksajs|suoksajt|suoksajn|suoksa|suoksaj|suoksav	
suarbma	
suhpe	
suodje|suojev|sūjijt|sūjijda|suodjen|suojje|sūjijst|suojes|suoje|suojjen|suodjáj|suojen|sūjijs|sūjij|suojest|suojjáj|sūjijn	
suodna|suonas|suonajt|suonajst|suonajda|suonast|suonajn|suona|suonaj|suodnan|suonan|suonav|suonajs|suodnaj	
suola	
suolo	<i>noun</i><br><ol><li>island</li></ol>
suovva	
suähttse	
suäjdne	
suärrge	
suävvde	
sválla|sválas|sválav|sválaj|sválajda|svála|sválajst|sválajt|sválast|sválan|svállan|svállaj|sválajs|sválajn	<i>noun</i><br><ol><li>arctic fox, Vulpes lagopus</li></ol>
sábme|sámen|sáme|sämijda|sábmáj|sámest|sämijn|sämij|sämijst|sábmen|sámev|sámes|sämijt|sämijs	<i>noun</i><br><ol><li>Sami person</li></ol>
ságge|sággev|ságˈgáj|ságges|säggij|säggijda|ságˈge|sággest|säggijt|säggijst|säggijn|ságˈgen|säggijs|sággen	
sáhka	
sáhppe|sähpij|sáhpen|sähpijt|sáhppáj|sähpijn|sáhpev|sáhpe|sähpijda|sähpijst|sáhppen|sähpijs|sáhpes|sáhpest	
sájjde	
sájjte	
sálbma|sálman|sálmast|sálmas|sálmajst|sálbman|sálmav|sálma|sálmajt|sálmajda|sálmajs|sálmaj|sálmajn|sálbmaj	<i>noun</i><br><ol><li>(religion, music) psalm</li></ol>
sálbmagirrje|sálbmagirrjáj|sálbmagirjest|sálbmagirjijn|sálbmagirjev|sálbmagirjijda|sálbmagirrjen|sálbmagirjen|sálbmagirjijt|sálbmagirje|sálbmagirjijst|sálbmagirjij|sálbmagirjijs|sálbmagirjes	<i>noun</i><br><ol><li>(religion) psalmbook, hymnal</li></ol>
sállga	
sávvtsa	
säjjbe	
säjjde	
säppte	
särrga|säddga	
såbbe|så̄bˈbe	
sådje|såjev|såjes|såjje|sådjáj|såjijst|så̄jje|såjjen|så̄dje|såjijs|såje|såjijt|såjjáj|såjij|såjijda|såjen|såjijn|såjest|sådjen	
såhke|så̄hke	
såj|suvste|sånnå|sijájn|sija|sij|sijást|siján|sunje|sån|suv|sunuost|sujna|såj|sunuon|sijá|sånov|sunuo|suvne|sijáv|sijjaj|såjå|sunnuj|sunujn	<i>pron</i><br><ol><li>they two</li></ol>
såjå|suvste|sånnå|sijájn|sija|sij|sijást|siján|sunje|sån|suv|sunuost|sujna|såj|sunuon|sijá|sånov|sunuo|suvne|sijáv|sijjaj|såjå|sunnuj|sunujn	<i>pron</i><br><ol><li>(emphatic) they two</li></ol>
sån|suvste|sånnå|sijájn|sija|sij|sijást|siján|sunje|sån|suv|sunuost|sujna|såj|sunuon|sijá|sånov|sunuo|suvne|sijáv|sijjaj|såjå|sunnuj|sunujn	<i>pron</i><br><ol><li>he, she, it</li></ol>
sånnå|suvste|sånnå|sijájn|sija|sij|sijást|siján|sunje|sån|suv|sunuost|sujna|såj|sunuon|sijá|sånov|sunuo|suvne|sijáv|sijjaj|såjå|sunnuj|sunujn	<i>pron</i><br><ol><li>(emphatic) he, she, it</li></ol>
såpptå|såptåjt|såptåj|såptå|såptås|såptåjst|såptån|såptåv|såptåjda|såptåjn|såpptåj|såptåst|såpptån|såptåjs	
såres|så̄des|sådes|så̄res	
sårrve|så̄rrve	
såvvle|så̄vvle	
tjakktja	
tjalbme	
tjalmas	
tjarra|tjaddaj|tjadajn|tjadan|tjadda|tjadajs|tjadas|tjadast|tjadav|tjadaj|tjadajst|tjaddan|tjadajda|tjada|tjadajt	
tjavelg	
tjerrut|tjerˈrut	<i>verb</i><br><ol><li>to begin to cry, weep</li></ol>
tjibbe|tjibbij|tjibbijt|tjibben|tjibbest|tjibˈbáj|tjibˈbe|tjibbijn|tjibbijst|tjibˈben|tjibbes|tjibbev|tjibbijda|tjibbijs	
tjidtje|tjidˈtjen|tjidtjest|tjidtjes|tjidtjijt|tjidˈtje|tjidtjij|tjidtjijda|tjidtjijst|tjidtjijs|tjidtjen|tjidˈtjáj|tjidtjev|tjidtjijn	<i>noun</i><br><ol><li>mother</li></ol>
tjiebot	
tjiegar	
tjiehtse	
tjievres	
tjivros	
tjivvga	
tjuajjka	
tjualbma	
tjuavvga	
tjuavvtja	
tjude	
tjuhppa	
tjukktje	
tjuobma|tjuomas|tjuomajn|tjuomajst|tjuobman|tjuomav|tjuomaj|tjuomajt|tjuomast|tjuomajs|tjuoma|tjuobmaj|tjuomajda|tjuoman	
tjuohke|tjūgij|tjūgijn|tjūgijst|tjuohken|tjuohkáj|tjuogest|tjuogen|tjuoges|tjūgijda|tjuoge|tjūgijs|tjuogev|tjūgijt	
tjuorbmas	
tjuvvde	
tjádná	
tjáhtse|tjätsijda|tjátse|tjátses|tjätsijs|tjätsijt|tjáhtsáj|tjátsev|tjätsijn|tjátsen|tjátsest|tjätsijst|tjáhtsen|tjätsij	<i>noun</i><br><ol><li>water</li></ol>
tjájbmat	<i>verb</i><br><ol><li>to laugh</li></ol>
tjájdne	
tjäkksa	
tjåbtjes|tjå̄btjes	
tjåddå	
tjåhkkå|tjåhkåjs|tjåhkåj|tjåhkåv|tjåhkåst|tjåhkkån|tjåhkån|tjåhkkåj|tjåhkåjst|tjåhkå|tjåhkåjda|tjåhkås|tjåhkåjt|tjåhkåjn	
tjåjjve|tjå̄jjve	
tjålbme|tjå̄lbme	
tjålle|tjå̄lle	
tjårbmå	
tjårrge|tjå̄rrge	
tjårro	
tjårrve|tjå̄rrve	
tjårå	
tjåsskå|tjåsskån|tjåskån|tjåskåjs|tjåskåv|tjåskå|tjåskåjn|tjåskåj|tjåskåst|tjåskåjda|tjåsskåj|tjåskåjt|tjåskås|tjåskåjst	
tsabbe|tsibbijda|tsabˈbáj|tsibbijs|tsabbes|tsabbest|tsabben|tsibbij|tsibbijst|tsabˈbe|tsibbijt|tsabbev|tsabˈben|tsibbijn	
tsagge|tsagges|tsiggijs|tsaggest|tsiggijn|tsagˈgen|tsaggev|tsiggijst|tsagˈgáj|tsiggijda|tsagˈge|tsiggijt|tsaggen|tsiggij	
tsievve|tsevijst|tsevijt|tsievváj|tsievev|tsevijn|tsevijs|tsievest|tsevijda|tsieves|tsevij|tsieven|tsieve|tsievven	<i>noun</i><br><ol><li>snow that is dense enough to carry a reindeer</li></ol>
tsuadtsa|tsuadˈtsa	
tsuobbo	
tsuäbbtse	
tsähkke	
tsåhke|tså̄hke	
ukksa	
ullo|ulˈlo	
urrbe	
urrká	
vadda	
vahtja	
vallje	
vallve	
vanas|vanás	
varra|varraj|varajn|varran|varajt|varajda|varajst|vara|varajs|varan|varaj|varas|varast|varav	<i>noun</i><br><ol><li>blood</li></ol>
vassje|vasjes|visjijst|visjijn|visjijda|vassjáj|visjij|vasjest|vassjen|vasjen|vasjev|visjijs|vasje|visjijt	<i>noun</i><br><ol><li>hate, disgust</li></ol>
vieddar	
viehka	
viepses	
vierro	
vihta	<i>num</i><br><ol><li>five</li></ol>
vivva	
vuabbda	
vuagga|vuagˈga	
vuahppa	
vuallpo	
vuanntsa	<i>noun</i><br><ol><li>hen</li></ol>
vuappsa	
vuappta	
vuassa|vuasˈsa	
vuasstá|vuasstán|vuostájt|vuostást|vuostáv|vuostáj|vuostán|vuostájst|vuostás|vuostájn|vuostájda|vuostá|vuostájs|vuasstáj	<i>noun</i><br><ol><li>cheese</li></ol>
vuavvda	
vuoberis	
vuobme	
vuoddo	
vuodja|vuojav|vuojajst|vuojan|vuoja|vuodjaj|vuojajn|vuojast|vuojjaj|vuojajs|vuojjan|vuojajt|vuojaj|vuojas|vuojja|vuojajda|vuodjan	<i>noun</i><br><ol><li>butter</li></ol>
vuodna	
vuohke	
vuonev	
vuonjal	
vuoratjis	
vuorro	
vuossa	
vuoŋas	
vusjkun	
vuähppe	
vuäjjve	
vuärrbe	
vuässe|vuäsˈse	
vuässte	
vuävvde	
vádtset	<i>verb</i><br><ol><li>to go</li></ol>
vájbmo	
vájjve	
vállká	
várre|váres|värijst|várev|värijda|värijt|värij|váren|várráj|värijn|váre|várren|várest|värijs	<i>noun</i><br><ol><li>mountain</li></ol>
várrjo	
vähkke	
vähttjer	
väjjge	
väjjke	
vällge	
vällja	
värbme	
värrto	
värrtsa	
vättka|värrka	
Árjepluovve|Árjepluovev|Árjeplūvijn|Árjepluovven|Árjepluoven|Árjepluove|Árjepluovest|Árjepluovváj|Árjepluoves	<i>noun</i><br><ol><li>Arjeplog (a locality in Sweden)</li><li>Arjeplog (a municipality of Sweden)</li></ol>
áddjá|ádjájda|ájjájda|ájjás|ájján|ádján|áddjáj|ádjájt|ájjájs|ádjájs|ájjáv|ájjájst|ádjájn|ájjájt|ádjáv|ájˈján|ádjás|ájˈjá|ádjájst|ájjájn|ádjá|ádjást|ájˈjáj|ádjáj|áddján|ájjá|ájjást|ájjáj	
ággŋo|ágŋos|ágŋoj|ágŋojn|ággŋon|ágŋojt|ágŋost|ágŋojs|äggŋuj|ágŋojda|ágŋojst|ägŋujn|ágŋov|ágŋo|ágŋon	
áhkko|áhkojs|áhkov|ähkkuj|áhkost|ähkujn|áhkoj|áhkojn|áhkojst|áhkkon|áhkojt|áhkon|áhkos|áhko|áhkojda	
áhkká|áhkájn|áhkáj|áhkást|áhkán|áhká|áhkkán|áhkájst|áhkáv|áhkkáj|áhkájda|áhkájt|áhkájs|áhkás	<i>noun</i><br><ol><li>old woman</li><li>grandmother</li></ol>
áhpe|äbijn|áhpen|áben|ábest|äbijt|äbij|ábes|äbijs|ábe|áhpáj|äbijda|äbijst|ábev	<i>noun</i><br><ol><li>large bog</li></ol>
áhttje|áhtje|ähtjijn|áhtjen|áhtjes|ähtjijst|ähtjij|áhttjen|ähtjijs|áhtjev|áhtjest|ähtjijda|áhttjáj|ähtjijt	<i>noun</i><br><ol><li>father</li></ol>
ájbme|ájbmáj|ájmes|ájbmen|ájmev|ájmen|ájme|äjmijs|äjmijn|äjmijt|äjmijst|ájmest|äjmij|äjmijda	
ájbmo|ájmon|ájmojt|äjbmuj|ájmoj|ájmov|ájmost|ájmo|ájmojs|ájmos|ájbmon|ájmojst|ájmojn|äjmujn|ájmojda	
ájjge|ájgen|äjgij|äjgijst|äjgijs|ájgest|ájge|äjgijn|äjgijt|ájgev|äjgijda|ájjgen|ájges|ájjgáj	
ájjlá	
ájjro|äjrujn|äjjruj|ájrojt|ájrojs|ájrojda|ájrov|ájroj|ájrojn|ájro|ájrojst|ájjron|ájron|ájros|ájrost	
ájjte|ájjten|ájjtáj|ájtev|äjtijst|äjtijs|äjtijn|äjtij|ájten|ájtest|äjtijda|äjtijt|ájte|ájtes	
ákksjo|äkkujn|ákkon|ákkojs|ákko|ákkost|äkksjuj|ákkojt|ákkos|ákkojda|ákksjon|ákkojst|ákkojn|ákkov|ákkoj	
álldo|äldujn|áldoj|áldo|ällduj|áldos|áldov|áldojt|áldojs|áldojn|álldon|áldojda|áldost|áldojst|áldon	
álos	
árrbe|árrbáj|ärbijt|ärbijn|árbe|ärbijst|árben|ärbijs|ärbij|árbest|árrben|árbev|árbes|ärbijda	
árre|árráj|ärijst|ärijt|áre|ärijn|árren|ärijs|árev|ärij|áres|áren|ärijda|árest	
árrga|árgast|árgajst|árgas|árgan|árgav|árrgaj|árrgan|árgajda|árga|árgajn|árgajs|árgajt|árgaj	
árvas	<i>adj</i><br><ol><li>generous</li></ol>
äddne	
åbbá|å̄bˈbá	
åbme|å̄bme	
ådtje|å̄dˈtje	
åhtså	
åjjve|å̄jjve	
åkkse|å̄kkse	
åkkte|å̄kkte	
åkktse	<i>num</i><br><ol><li>nine</li></ol>
ållge|å̄llge	
ålmáj|ålmåj|ålmå̄j	
ålol|å̄lol	
årbes|å̄rbes	
årek	
åres	
årra|årajn|årajs|årraj|åran|årast|åras|årajst|årajt|åra|årav|årran|årajda|å̄rra|åraj	
årrben|å̄rrben	
årrdå	
årrot	<i>verb</i><br><ol><li>to be</li><li>to live, to reside</li></ol>
åsse|å̄sse	
åssje|å̄sˈsje	
