उकड्चे|ukaḍce|ukkaduche|ಉಕಡ್ಚೆ	<i>verb</i><br><ol><li>to boil</li></ol>
उगड्चे|ugodche|ಉಗಡ್ಚೆ|ugaḍce	<i>verb</i><br><ol><li>to open</li></ol>
उजवें|ಉಜವೆಂ|uzvem|ujvẽ	<i>adj</i><br><ol><li>on or towards the right side</li></ol>
उजो|ujo|ಉಜೊ	<i>noun</i><br><ol><li>fire</li></ol>
उणे|uṇe|unem|ಉಣೆ	<i>adj</i><br><ol><li>less, short (of the right number)</li></ol>
उणेपण|ಉಣೆಪಣ|unneponn|uṇepaṇ	<i>noun</i><br><ol><li>deficiency, defect</li><li>(euphemistic) infertility</li></ol>
उदक|उदकाचो|ಉದಕ|उदकानि|उदकाचेर|उदकाक|उदकाचे|udok|उदकात्ल्यान|उदकाची|उदकान|udak	<i>noun</i><br><ol><li>water</li></ol>
उबार्चे|ubārce|ಉಭಾರ್ಚೆ|ubharche	<i>verb</i><br><ol><li>to lift</li></ol>
उभो|ubho|ubhô|ಉಭೊ	<i>adj</i><br><ol><li>erect, upright, standing</li></ol>
उलोव्चे|ಉಲವ್ಚೆ|ulovuche|ulovce	<i>verb</i><br><ol><li>to speak, talk</li></ol>
उशें|uśẽ|ಉಶೆಂ|uxem	<i>noun</i><br><ol><li>pillow</li></ol>
ऊंस|us|ū̃s|ಊಂಸ್	<i>noun</i><br><ol><li>sugar cane</li></ol>
एक|ek|ಎಕ	<i>num</i><br><ol><li>one</li></ol>
एकोणीस|ekonnis|ಏಕೋಣೀಸ್|ekoṇīs	<i>num</i><br><ol><li>nineteen</li></ol>
ओक्चे|okche|ಓಕ್ಚೆ|ōkce	<i>verb</i><br><ol><li>to vomit, throw up</li></ol>
ओनु|onu|ಒನು	<i>adv</i><br><ol><li>this year</li></ol>
कर्चे|karce|karche|ಕರ್ಚೆ	<i>verb</i><br><ol><li>to do, make</li></ol>
कळसो|kollso|ಕಳಸೊ|kaḷso	<i>noun</i><br><ol><li>water-vessel, pitcher, a large jar</li></ol>
काजार|kazar|ಕಾಜಾರ್|kāzār	<i>noun</i><br><ol><li>(Catholic) wedding</li></ol>
कातार|kātār|ಕಾತಾರ್|katar	<i>noun</i><br><ol><li>(Catholic) a song</li></ol>
कातोर्चे|kātorce|ಕಾತೊರ್ಚೆ|kātortā|कातोर्ता|kattorche	<i>verb</i><br><ol><li>to cut, slice</li></ol>
कापो|kāpô	<i>noun</i><br><ol><li>(offensive, derogatory, religious slur) a Muslim</li></ol>
काबुकी|kābukī	<i>noun</i><br><ol><li>kabuki (form of Japanese theatre)</li></ol>
काळिंग|kāỊiṅg|kalling|ಕಾಳಿಂಗ್	<i>noun</i><br><ol><li>watermelon</li></ol>
काळें|kallem|kāḷễ|ಕಾಳೆಂ	<i>adj</i><br><ol><li>black</li></ol>
कावळो|kavllo|ಕಾವ್ಳೊ|kāvḷo	<i>noun</i><br><ol><li>a crow</li></ol>
किडो|किड्या|किड्यात्ल्यान|किड्यान|किड्यांक|kiḍô|किड्यान्नि|किड्याचो|किड्याक|kiddo|किड्यार|किडे|किड्याचे|किड्यान्त्ल्यान|किड्यान्चि|किड्यान्चो|किड्याचि|किड्यानि|किड्यान्नो|किड्यान्चे|किड्याचेर|किड्यान्चेर	<i>noun</i><br><ol><li>insect</li><li>worm</li></ol>
किदें|kidễ|kidem|ಕಿದೆಂ	<i>pron</i><br><ol><li>what?</li></ol>
किद्याक|kidyāk|kidyak|ಕಿದ್ಯಾಕ	<i>adv</i><br><ol><li>why (literally “for what?”)</li></ol>
किरिस्तांव|kiristanv|ಕಿರಿಸ್ತಾಂವ್|kiristā̃v	<i>noun</i><br><ol><li>a Christian person</li></ol>
कुंकड|ಕುಂಕಡ|kunkod|kuṅkaḍ	<i>noun</i><br><ol><li>chicken</li></ol>
कुंकळी|kuṅkaḷī|Cuncolim|ಕುಕಂಳೀ	<i>name</i><br><ol><li>A village in Goa, India</li></ol>
कुठ्ठाळी|Cortalim|ಕುಠ್ಠಾಳೀ|kuṭhṭhāḷī	<i>name</i><br><ol><li>A village in Goa, India</li></ol>
