continié	<i>verb</i><br><ol><li>to continue</li></ol>
continuin	<i>verb</i><br><ol><li>to continue</li></ol>
contré	<i>verb</i><br><ol><li>to encounter</li></ol>
corché	<i>verb</i><br><ol><li>to skin</li></ol>
couché	<i>verb</i><br><ol><li>to sleep</li></ol>
coupé	<i>verb</i><br><ol><li>to cut</li></ol>
couri	<i>verb</i><br><ol><li>to go</li><li>to run</li></ol>
coutime	<i>verb</i><br><ol><li>to be accustom to</li></ol>
couvri	<i>verb</i><br><ol><li>to cover</li></ol>
couvé	<i>verb</i><br><ol><li>to brood</li></ol>
crai	<i>verb</i><br><ol><li>to believe</li></ol>
craqué	<i>verb</i><br><ol><li>to break, give up</li></ol>
crever	<i>verb</i><br><ol><li>to die</li></ol>
crié	<i>verb</i><br><ol><li>to shout</li><li>to cry</li></ol>
croché	<i>verb</i><br><ol><li>to hook</li></ol>
croi	<i>verb</i><br><ol><li>to believe</li></ol>
croupion	<i>noun</i><br><ol><li>rump</li></ol>
cré	<i>verb</i><br><ol><li>to create</li></ol>
culbité	<i>verb</i><br><ol><li>to overturn</li></ol>
descende	<i>verb</i><br><ol><li>to descend</li></ol>
di	<i>num</i><br><ol><li>ten.</li></ol>
di-sèt	<i>num</i><br><ol><li>seventeen.</li></ol>
dign	<i>adj</i><br><ol><li>worthy</li></ol>
dilo|dolo|dlo	<i>noun</i><br><ol><li>water</li></ol>
dimansh	<i>noun</i><br><ol><li>Sunday.</li></ol>
dinin	<i>verb</i><br><ol><li>to dine, to lunch</li></ol><br><i>noun</i><br><ol><li>dinner, lunch</li></ol>
dis	<i>num</i><br><ol><li>ten.</li></ol><br><i>verb</i><br><ol><li>to tell.</li></ol>
disparaite	<i>verb</i><br><ol><li>to disappear</li></ol>
dit	<i>verb</i><br><ol><li>to tell</li></ol>
diven	<i>noun</i><br><ol><li>wine</li></ol>
diz	<i>num</i><br><ol><li>ten.</li></ol>
diz-nèf	<i>num</i><br><ol><li>nineteen.</li></ol>
diz-wit	<i>num</i><br><ol><li>eighteen.</li></ol>
doite	<i>verb</i><br><ol><li>to owe</li></ol>
donne	<i>verb</i><br><ol><li>to give</li></ol>
donnin	<i>verb</i><br><ol><li>to give</li></ol>
dormi	<i>verb</i><br><ol><li>to sleep</li></ol>
doré	<i>adj</i><br><ol><li>golden, gold color.</li></ol><br><i>noun</i><br><ol><li>gold (color).</li></ol>
douté	<i>verb</i><br><ol><li>to doubt</li></ol>
douz	<i>num</i><br><ol><li>twelve.</li></ol>
dressé	<i>verb</i><br><ol><li>to put up</li></ol>
drogué	<i>verb</i><br><ol><li>to drug</li></ol>
dromi	<i>verb</i><br><ol><li>to sleep</li></ol>
dròl|drol	<i>adj</i><br><ol><li>odd.</li><li>funny.</li></ol>
dé	<i>num</i><br><ol><li>two.</li></ol>
débarrassé	<i>verb</i><br><ol><li>to rid</li></ol>
débatte	<i>verb</i><br><ol><li>to struggle</li></ol>
débouché	<i>verb</i><br><ol><li>to unplug</li></ol>
débourbé	<i>verb</i><br><ol><li>to get out of mud</li></ol>
déclaré	<i>verb</i><br><ol><li>to declare</li></ol>
découvri	<i>verb</i><br><ol><li>to uncover</li></ol>
défende	<i>verb</i><br><ol><li>to prohibit</li><li>to defend</li></ol>
défoncé	<i>verb</i><br><ol><li>to smash</li></ol>
dégouté	<i>verb</i><br><ol><li>to disgust</li></ol>
déjénin	<i>verb</i><br><ol><li>to have breakfast</li></ol>
démarré	<i>verb</i><br><ol><li>to untie</li></ol>
dérangé	<i>verb</i><br><ol><li>to disturb</li></ol>
dérivé	<i>verb</i><br><ol><li>to drift</li></ol>
détaché	<i>verb</i><br><ol><li>to detach</li></ol>
détruit	<i>verb</i><br><ol><li>to destroy</li></ol>
dézef	<i>noun</i><br><ol><li>egg</li></ol>
ekri	<i>verb</i><br><ol><li>to write</li></ol>
encouragé	<i>verb</i><br><ol><li>to encourage</li></ol>
endormi	<i>verb</i><br><ol><li>to go to sleep</li></ol>
engagé	<i>verb</i><br><ol><li>to involve</li></ol>
enkyete	<i>verb</i><br><ol><li>to worry</li></ol>
enlevé	<i>verb</i><br><ol><li>to remove</li></ol>
ensi	<i>adv</i><br><ol><li>thus</li></ol>
entré	<i>verb</i><br><ol><li>to enter</li></ol>
envie	<i>verb</i><br><ol><li>to desire</li></ol>
expliqué	<i>verb</i><br><ol><li>to explain</li></ol>
faim	<i>noun</i><br><ol><li>hunger</li></ol><br><i>verb</i><br><ol><li>to be hungry</li></ol>
fais	<i>verb</i><br><ol><li>to do</li></ol>
fam	<i>noun</i><br><ol><li>woman</li></ol>
fame	<i>noun</i><br><ol><li>woman</li></ol>
famiy	<i>noun</i><br><ol><li>family.</li></ol>
faraud	<i>verb</i><br><ol><li>to dress well</li></ol>
fashé	<i>adj</i><br><ol><li>upset.</li><li>angry.</li><li>(with apré) angry at/with.</li></ol>
fatigé	<i>adj</i><br><ol><li>exhausted.</li></ol>
faut	<i>verb</i><br><ol><li>it is necessary</li></ol>
fenm|famm	<i>noun</i><br><ol><li>woman, lady.</li><li>wife.</li><li>mistress.</li></ol>
fermé	<i>verb</i><br><ol><li>to close</li></ol>
filé	<i>verb</i><br><ol><li>to get away</li></ol>
