ᄀᆞᇫ|ᄀᆞᇫ〯|ᄀᆞ〯ᅀᅢ〮|ᄀᆞᆺ|ᄀᆞᆺ〯|kǒs|ᄀᆞ〯ᅀᆡ〮|kǒz	<i>noun</i><br><ol><li>edge; boundary</li></ol>
ᄀᆞᇫ애|kòzGáy|ᄀᆞᇫ애〮	<i>noun</i><br><ol><li>scissors</li></ol>
ᄀᆞ옳|ᄀᆞ올|ᄀᆞ올ᄒᆡ〮|kòwòl|kòwòlh|ᄀᆞ올해〮	<i>noun</i><br><ol><li>(geographic) district</li></ol>
ᄀᆞ티|kothi	<i>adv</i><br><ol><li>with, together</li></ol>
ᄀᆡ약고|koyyakkwo	<i>noun</i><br><ol><li>gayageum, A long zither with bridges and between 12 and 25 strings; used primarily in Korean traditional and classical music.</li></ol>
ᄂᆞᄆᆞᆶ|nòmòlh	<i>noun</i><br><ol><li>edible plants; greens; herbs</li></ol>
ᄂᆞᆶ|ᄂᆞᆯ|ᄂᆞᆯ〮|ᄂᆞᆯ해〮|nól|nólh|ᄂᆞᆶ〮	<i>noun</i><br><ol><li>blade, edge</li></ol>
ᄂᆞᆾ|ᄂᆞᄎᆡ〮|nòs|ᄂᆞᆺ|nòch	<i>noun</i><br><ol><li>face</li></ol>
ᄂᆞ올|nowol	<i>noun</i><br><ol><li>poison</li></ol>
ᄂᆡᅀᅵᆯ|noyzil	<i>noun</i><br><ol><li>tomorrow</li></ol>
ᄃᆞᆯ|tól|ᄃᆞᆯ〮|ᄃᆞ〮래〮	<i>noun</i><br><ol><li>moon</li><li>month</li></ol>
ᄃᆞᆺ다|tǒstá|ᄃᆞᅀᆞ〮니〮|ᄃᆞᅀᅡ〮|tozta|ᄃᆞᇫ다|ᄃᆞᆺ〯다〮	<i>verb</i><br><ol><li>to love, especially non-romantically or excessively</li><li>to long for</li></ol><br><i>adj</i><br><ol><li>to be warm</li></ol>
ᄃᆞ리다|ᄃᆞ리〮다〮|ᄃᆞ리〮니〮|ᄃᆞ려〮|tòlítá	<i>verb</i><br><ol><li>(transitive) to bring along, to take with oneself</li></ol>
ᄆᆞᅀᆞᆶ|mòzòlh|ᄆᆞᅀᆞᆯᄒᆡ〮|ᄆᆞᅀᆞᆯ해〮	<i>noun</i><br><ol><li>village</li></ol>
ᄆᆞᅀᆞᆷ|mozom	<i>noun</i><br><ol><li>mind, heart (emotional state)</li><li>heart (physical organ)</li></ol>
ᄆᆞ니다|ᄆᆞ니〮면〮|ᄆᆞ니〮고〮|ᄆᆞ녀〮|ᄆᆞ니〮다〮|mònítá	<i>verb</i><br><ol><li>to touch (with the hand)</li></ol>
ᄆᆡᅀᅵᆯ|moyzil	<i>adv</i><br><ol><li>every day</li></ol><br><i>noun</i><br><ol><li>every day</li></ol>
ᄆᆡᆸ다|mòyptá|ᄆᆡᆸ다〮	<i>adj</i><br><ol><li>(to be) spicy, hot</li><li>(to be) fierce</li></ol>
ᄆᆡᇰᄀᆞ다|mòyngkóltá|ᄆᆡᇰᄀᆞ〮라〮|ᄆᆡᇰᄀᆞ〮다〮|ᄆᆡᇰᄀᆞ〮니〮|ᄆᆡᇰᄀᆞᆯ다|ᄆᆡᇰᄀᆞᆯ〮다〮|mòyngkótá	<i>verb</i><br><ol><li>to make, to create</li></ol>
ᄇᆞᄅᆞᆷ|polom	<i>noun</i><br><ol><li>wind, air, draft</li><li>wall, enclosure, surrounding</li></ol>
ᄇᆞᅀᆞ다|pozota	<i>verb</i><br><ol><li>to break</li><li>to crush</li></ol>
ᄇᆞᆯ|ᄇᆞ〮래〮|ᄇᆞᆯ〮|pól|pòl	<i>noun</i><br><ol><li>field, plain (open area of land)</li></ol>
ᄇᆞᆲ다|ᄇᆞᆲ〯다〮|pǒlp-tá	<i>verb</i><br><ol><li>to step (on)</li></ol>
