पान	<i>noun</i><br><ol><li>leaf</li></ol>
𑂃𑂔𑂷𑂯|ajoh	<i>adj</i><br><ol><li>unripe</li></ol>
𑂃𑂔𑂷𑂯𑂪|ajohal	<i>adj</i><br><ol><li>unripe</li></ol>
𑂃𑂕𑂳𑂩𑂲|ajhurī	<i>noun</i><br><ol><li>obstinacy</li><li>rigidity</li></ol>
𑂃𑂕𑂳𑂩𑂲⸱𑂣𑂮𑂰𑂩𑂪|ajhurī pasāral	<i>noun</i><br><ol><li>to obstinate</li></ol>
𑂃𑂖𑂹𑂒𑂪|añchal	<i>verb</i><br><ol><li>to rinse after eating</li></ol>
𑂃𑂖𑂹𑂔𑂆|añjaī	<i>noun</i><br><ol><li>collyrium; kohl (when applied on the eyes)</li></ol>
𑂃𑂗𑂍𑂪|aṭkal	<i>verb</i><br><ol><li>to be obstructed</li><li>to be stuck, jammed, entangled</li><li>to falter</li></ol>
𑂃𑂗𑂩𑂲-𑂣𑂗𑂩𑂲|aṭrī-paṭrī	<i>noun</i><br><ol><li>small obstructions in one's way</li></ol>
𑂃𑂗𑂰𑂩𑂲|aṭārī	<i>noun</i><br><ol><li>balcony, terrace</li></ol>
𑂃𑂗𑂲|aṭī	<i>noun</i><br><ol><li>a thread spool</li></ol>
𑂃𑂗𑂶𑂒𑂲|aṭaicī	<i>noun</i><br><ol><li>briefcase, attaché case</li></ol>
𑂃𑂘𑂧𑂲|aṭhmī	<i>noun</i><br><ol><li>eighth day of moon phase</li></ol>
𑂃𑂙𑂹𑂙𑂰|aḍḍā	<i>noun</i><br><ol><li>meeting spot</li><li>camp, halt</li></ol>
𑂃𑂙𑂹𑂛𑂩|aḍḍhar	<i>adj</i><br><ol><li>clumsy</li></ol>
𑂃𑂚𑂪|aṛal	<i>verb</i><br><ol><li>to lean against something.</li><li>to stand firmly</li><li>to obstinate</li></ol>
𑂃𑂚𑂰𑂪|aṛāl	<i>verb</i><br><ol><li>to fix against something.</li></ol>
𑂃𑂚𑂱𑂃𑂪|aṛial	<i>adj</i><br><ol><li>obstinate, stubborn</li><li>pertinacious</li></ol>
𑂃𑂚𑂸𑂞|aṛaut	<i>noun</i><br><ol><li>screen</li></ol>
𑂃𑂜𑂰𑂉|aṛhāe	<i>num</i><br><ol><li>two and a half</li></ol>
𑂃𑂝𑂹𑂗-𑂮𑂝𑂹𑂗|aṇṭ-saṇṭ	<i>noun</i><br><ol><li>nonsense</li></ol>
𑂃𑂝𑂹𑂙𑂰|aṇḍā	<i>noun</i><br><ol><li>egg</li></ol>
𑂃𑂞𑂩|atar	<i>noun</i><br><ol><li>perfume</li></ol>
𑂃𑂞𑂱|ati	<i>noun</i><br><ol><li>excess, surplus</li></ol>
𑂃𑂠𑂧𑂲|admi	<i>noun</i><br><ol><li>man, male</li></ol>
𑂃𑂡𑂱𑂍𑂰𑂁𑂬|adhikāns	<i>noun</i><br><ol><li>majority</li></ol>
𑂃𑂡𑂱𑂍𑂰𑂩|adhikār	<i>noun</i><br><ol><li>title, right</li><li>dominion, mastery</li></ol>
𑂃𑂢𑂮𑂰𑂪|ansāl	<i>verb</i><br><ol><li>to get annoyed, to get frustrated</li></ol>
𑂃𑂢𑂰𑂔|anāj	<i>noun</i><br><ol><li>food, especially grain</li></ol>
𑂃𑂢𑂰𑂩𑂮|anāras	<i>noun</i><br><ol><li>pineapple</li></ol>
𑂃𑂢𑂳𑂧𑂰𑂢|anumān	<i>noun</i><br><ol><li>estimate, guess</li></ol>
𑂃𑂢𑂵𑂮𑂰|anesā	<i>noun</i><br><ol><li>apprehension</li><li>anxiety</li></ol>
𑂃𑂢𑂹𑂞|ant	<i>noun</i><br><ol><li>end, termination</li></ol>
𑂃𑂢𑂹𑂞𑂩|antar	<i>noun</i><br><ol><li>difference</li></ol>
𑂃𑂢𑂹𑂞𑂱𑂧|antim	<i>adj</i><br><ol><li>final, last</li></ol>
𑂃𑂢𑂹𑂞𑂱𑂧⸱𑂃𑂢𑂹𑂞𑂱𑂧|antim antim	<i>adv</i><br><ol><li>finally, at last, ultimately</li></ol>
𑂃𑂢𑂹𑂞𑂵⸱𑂃𑂢𑂹𑂞𑂵	<i>adv</i><br><ol><li>finally, at last, ultimately</li></ol>
𑂃𑂢𑂹𑂠𑂰𑂔|andāj	<i>noun</i><br><ol><li>estimate, guess, prediction</li><li>style, manner</li></ol>
𑂃𑂢𑂹𑂠𑂰𑂔𑂵|andāje	<i>adv</i><br><ol><li>roughly, approximately</li></ol>
𑂃𑂢𑂹𑂢𑂮|annas	<i>noun</i><br><ol><li>annoyance</li><li>frustration</li></ol>
𑂃𑂢𑂹𑂯𑂰𑂩|anhār	<i>noun</i><br><ol><li>darkness</li><li>night</li></ol>
𑂃𑂣𑂢𑂵|apne	<i>pron</i><br><ol><li>(formal) you (singular)</li></ol>
𑂃𑂣𑂰𑂯𑂱𑂔|apāhij	<i>adj</i><br><ol><li>disabled</li></ol><br><i>noun</i><br><ol><li>a disabled person</li></ol>
𑂃𑂣𑂵𑂒𑂹𑂓𑂰|apeccha	<i>noun</i><br><ol><li>aspiration</li><li>want, yearning; lack</li></ol>
𑂃𑂣𑂹𑂣𑂢|appan	<i>pron</i><br><ol><li>own (belonging to one)</li></ol>
𑂃𑂣𑂹𑂩𑂶𑂪|aprail	<i>noun</i><br><ol><li>April, The fourth month of the Gregorian calendar, following March and preceding May.</li></ol>
𑂃𑂥𑂩|abar	<i>adv</i><br><ol><li>this time</li><li>this year</li></ol>
𑂃𑂥𑂩𑂲|abarī	<i>adv</i><br><ol><li>this time</li><li>this year</li></ol>
𑂃𑂥𑂵𑂩|aber	<i>noun</i><br><ol><li>delay, lateness</li></ol>
𑂃𑂦𑂰𑂋|abhāo	<i>noun</i><br><ol><li>lack, deficiency</li></ol>
