पान	<i>noun</i><br><ol><li>leaf</li></ol>
𑂍𑂩𑂵𑂔|karej	<i>noun</i><br><ol><li>(organ) liver</li><li>(metaphorically) heart</li><li>courage</li></ol>
𑂍𑂩𑂵𑂔𑂏𑂩|karejgar	<i>adj</i><br><ol><li>courageous, brave</li></ol>
𑂍𑂩𑂵𑂔𑂰|karejā	<i>noun</i><br><ol><li>(organ) liver</li><li>(metaphorically) heart</li><li>courage</li></ol>
𑂍𑂪𑂸𑂢𑂹𑂠𑂰|kalaundā	<i>noun</i><br><ol><li>the shrub Carissa carandas or its flower</li></ol>
𑂍𑂪𑂸𑂫𑂰|kalauwā	<i>noun</i><br><ol><li>breakfast</li></ol>
𑂍𑂪𑂹𑂯𑂵|kalhe	<i>adv</i><br><ol><li>tomorrow</li><li>yesterday</li></ol><br><i>noun</i><br><ol><li>tomorrow</li><li>yesterday</li></ol>
𑂍𑂯𑂪|kahal	<i>verb</i><br><ol><li>to tell</li></ol>
𑂍𑂰𑂀𑂎|kā̃kh	<i>noun</i><br><ol><li>armpit</li></ol>
𑂍𑂰𑂀𑂒𑂲|kā̃cī	<i>noun</i><br><ol><li>rheum discharged from eyes; sleep</li></ol>
𑂍𑂰𑂢|kān	<i>noun</i><br><ol><li>(anatomy) ear</li></ol>
𑂍𑂰𑂯𑂵|kāhe	<i>adv</i><br><ol><li>why</li></ol>
𑂍𑂱𑂢𑂪|Kinal	<i>verb</i><br><ol><li>to buy, purchase</li></ol>
𑂍𑂱𑂩𑂑𑂹𑂏|kiraṅg	<i>adv</i><br><ol><li>how (quality)</li></ol><br><i>adj</i><br><ol><li>how</li></ol>
𑂍𑂱𑂩𑂱𑂄|kiriā	<i>noun</i><br><ol><li>swearing, oath</li></ol>
𑂍𑂱𑂩𑂱𑂄⸱𑂎𑂰𑂉𑂪|kiriā khāel	<i>verb</i><br><ol><li>to swear, to take an oath</li></ol>
𑂍𑂲|kī	<i>particle</i><br><ol><li>Forms yes or no questions when placed in the final position of a sentence.</li><li>or</li></ol><br><i>pron</i><br><ol><li>what</li></ol>
𑂍𑂳𑂅𑂄𑂀|kuiā̃	<i>noun</i><br><ol><li>a well</li></ol>
𑂍𑂵|ke	<i>postp</i><br><ol><li>marks the dative case</li><li>marks the genetive case; of</li></ol><br><i>pron</i><br><ol><li>(interrogative) who</li></ol>
𑂍𑂵𑂞𑂰𑂥|ketāb	<i>noun</i><br><ol><li>book</li></ol>
𑂍𑂵𑂢𑂹𑂢𑂵|kenne	<i>adv</i><br><ol><li>where, which way</li></ol>
𑂍𑂵𑂩|kar	<i>postp</i><br><ol><li>marker of genetive case; of</li></ol>
𑂍𑂵𑂩𑂰|kerā	<i>noun</i><br><ol><li>banana</li></ol><br><i>postp</i><br><ol><li>(masculine)marks the genetive case</li></ol>
𑂍𑂵𑂩𑂲|kerī	<i>postp</i><br><ol><li>(feminine)marks the genetive case</li></ol>
𑂍𑂵𑂯𑂱𑂔𑂰|kehijā	<i>adv</i><br><ol><li>where, at which place</li></ol>
𑂍𑂶𑂢𑂱𑂯𑂰𑂩|kainihār	<i>noun</i><br><ol><li>doer of an action</li></ol>
𑂍𑂶𑂪|kail	<i>verb</i><br><ol><li>to do</li><li>an auxiliary verb</li></ol>
𑂍𑂶𑂮𑂢|kaisan	<i>adv</i><br><ol><li>how (quality)</li></ol><br><i>adj</i><br><ol><li>how</li></ol>
𑂍𑂷𑂀𑂜|kõṛh	<i>noun</i><br><ol><li>heart</li><li>leprosy</li></ol>
𑂍𑂷𑂀𑂜𑂏𑂩|kõṛhgar	<i>adj</i><br><ol><li>courageous, brave</li></ol>
𑂍𑂷𑂜𑂱𑂄|koṛhiā	<i>adj</i><br><ol><li>lazy, idle</li></ol>
𑂍𑂷𑂩|kor	<i>noun</i><br><ol><li>edge, margin</li><li>lap</li></ol>
𑂍𑂹𑂩𑂷𑂡|krodh	<i>noun</i><br><ol><li>anger, wrath</li></ol>
𑂎𑂏|khag	<i>noun</i><br><ol><li>(literary, poetic) bird</li></ol>
𑂎𑂗𑂱𑂄|khaṭiā	<i>noun</i><br><ol><li>cot</li></ol>
𑂎𑂚𑂏𑂩|khaṛgar	<i>adj</i><br><ol><li>tall, high</li><li>erect</li></ol>
𑂎𑂢𑂱|khani	<i>noun</i><br><ol><li>time</li></ol>
𑂎𑂣𑂚𑂰|khapṛā	<i>noun</i><br><ol><li>clayen tiles</li></ol>
𑂎𑂣𑂪|khapal	<i>verb</i><br><ol><li>to be consumed</li><li>to get exhausted</li></ol>
𑂎𑂩𑂎𑂰𑂯|kharkhāh	<i>noun</i><br><ol><li>well-wisher</li><li>flatterer</li></ol>
𑂎𑂩𑂎𑂰𑂯𑂲|kharkhāhī	<i>noun</i><br><ol><li>flattery</li></ol>
𑂎𑂰𑂉𑂪|khāel	<i>verb</i><br><ol><li>to eat</li></ol>
𑂎𑂰𑂚|khāṛ	<i>adj</i><br><ol><li>standing, upright</li><li>erect</li></ol>
𑂎𑂰𑂢𑂰|khānā	<i>noun</i><br><ol><li>food, meal</li><li>place, site, dwelling</li><li>box, small container</li></ol>
𑂎𑂱𑂄𑂉𑂪|khiāel	<i>verb</i><br><ol><li>to feed</li><li>to lose sharpness; to get blunter</li></ol>
𑂎𑂲𑂮|khīs	<i>noun</i><br><ol><li>anger</li><li>frustration</li><li>annoyance</li></ol>
𑂎𑂲𑂮𑂱𑂄𑂪|khīsiāl	<i>verb</i><br><ol><li>to get angry</li><li>to get frustrated, to get annoyed</li></ol>
𑂎𑂷𑂗|khoṭ	<i>noun</i><br><ol><li>flaw, fault</li><li>ill-will, malice</li></ol>
𑂏𑂠𑂯𑂰|gadahā	<i>noun</i><br><ol><li>donkey, ass</li><li>fool</li></ol>
𑂏𑂣|gap	<i>noun</i><br><ol><li>utterance</li><li>matter, affair</li><li>thing</li><li>point</li></ol>
𑂏𑂣𑂱𑂄𑂪|gapiāl	<i>verb</i><br><ol><li>to talk</li><li>to gossip</li></ol>
𑂏𑂧𑂍|gamak	<i>noun</i><br><ol><li>smell , odour</li></ol>
𑂏𑂧𑂍𑂪|gamkal	<i>verb</i><br><ol><li>to give off a smell</li></ol>
𑂏𑂧𑂓𑂰|gamchā	<i>noun</i><br><ol><li>towel</li></ol>
𑂏𑂩𑂔|garaj	<i>noun</i><br><ol><li>need, want</li><li>necessity, exigency</li></ol>
𑂏𑂩𑂱𑂄𑂉𑂪|gariāel	<i>verb</i><br><ol><li>to swear, cuss</li></ol>
𑂏𑂪𑂥𑂰𑂞|galbāt	<i>noun</i><br><ol><li>conversation</li><li>dialogue</li><li>talk</li></ol>
𑂏𑂪𑂹𑂣|galp	<i>noun</i><br><ol><li>story</li></ol>
𑂏𑂫𑂶𑂨𑂰|gawaiya	<i>noun</i><br><ol><li>singer</li></ol>
𑂏𑂰𑂉𑂪|gāel	<i>verb</i><br><ol><li>to sing</li></ol>
𑂏𑂰𑂓|gāch	<i>noun</i><br><ol><li>tree</li></ol>
𑂏𑂰𑂓𑂱|gāchi	<i>noun</i><br><ol><li>plant</li><li>tree</li></ol>
𑂏𑂰𑂩𑂱|gāri	<i>noun</i><br><ol><li>swear, cuss</li></ol>
𑂏𑂰𑂯𑂱𑂩|gāhir	<i>adj</i><br><ol><li>deep</li><li>dark, deep (in color)</li></ol>
𑂏𑂱𑂗𑂹𑂘𑂰|Giṭṭhā	<i>noun</i><br><ol><li>knot</li></ol>
𑂏𑂱𑂩𑂪|giral	<i>verb</i><br><ol><li>to fall, to tumble</li><li>to decrease</li></ol>
𑂏𑂳𑂢𑂪|gunal	<i>verb</i><br><ol><li>to consider</li><li>to deliberate</li><li>to ponder</li></ol>
𑂏𑂵|ge	<i>intj</i><br><ol><li>(feminine, familiar) term of address used for females; Hey</li></ol>
𑂏𑂵𑂀𑂘|gẽṭh	<i>noun</i><br><ol><li>knot</li></ol>
𑂏𑂵𑂢𑂹𑂠𑂰|gendā	<i>noun</i><br><ol><li>ball; sphere</li><li>marigold</li></ol>
𑂏𑂵𑂢𑂹𑂡𑂰𑂩𑂲|gendhārī	<i>noun</i><br><ol><li>amaranth, (plant of the genus Amaranthus)</li></ol>
𑂏𑂵𑂪|gel	<i>verb</i><br><ol><li>to go, leave</li></ol>
𑂏𑂷𑂚|goṛ	<i>noun</i><br><ol><li>feet</li></ol>
𑂏𑂷𑂠𑂰𑂧|godām	<i>noun</i><br><ol><li>storage, godown</li></ol>
𑂏𑂷𑂢|gon	<i>noun</i><br><ol><li>tow rope</li></ol>
𑂏𑂷𑂮𑂱𑂄𑂪|gosiāl	<i>verb</i><br><ol><li>to get angry</li></ol>
𑂏𑂷𑂮𑂹𑂮𑂰|gossā	<i>noun</i><br><ol><li>anger, wrath</li></ol>
𑂏𑂷𑂯𑂴𑂀|gohū̃	<i>noun</i><br><ol><li>wheat</li></ol>
𑂐𑂝𑂹𑂗𑂰|ghaṇṭā	<i>noun</i><br><ol><li>hour</li></ol>
𑂐𑂧𑂰𑂉𑂪|ghamāel	<i>verb</i><br><ol><li>to sweat, perspire</li></ol>
𑂐𑂩|ghar	<i>noun</i><br><ol><li>house</li><li>room</li></ol>
𑂐𑂰𑂧|ghām	<i>noun</i><br><ol><li>(eastern)sweat, perspiration</li><li>(western)sunshine</li></ol>
𑂐𑂳𑂩𑂍𑂵|ghurke	<i>adv</i><br><ol><li>again</li></ol>
𑂐𑂳𑂩𑂪|ghural	<i>verb</i><br><ol><li>to roam , tour,travel</li><li>to return</li></ol>
𑂐𑂴𑂀𑂗|ghū̃ṭ	<i>noun</i><br><ol><li>gulp , swallow</li></ol>
𑂐𑂵𑂀𑂒|ghẽc	<i>noun</i><br><ol><li>long neck of birds</li></ol>
𑂐𑂵𑂀𑂗|ghẽṭ	<i>noun</i><br><ol><li>(anatomy) neck</li></ol>
𑂐𑂵𑂐𑂰|gheghā	<i>noun</i><br><ol><li>goitre</li></ol>
𑂐𑂷𑂚𑂰|Ghōṛā	<i>noun</i><br><ol><li>horse</li></ol>
𑂒𑂍𑂹𑂍𑂲|cakki	<i>noun</i><br><ol><li>millstone, mill, handmill, quern</li></ol>
𑂒𑂯𑂚𑂪|cahṛal	<i>verb</i><br><ol><li>to climb</li><li>to rise, to ascend</li><li>to mount,</li><li>to board</li><li>to plague, to pester</li></ol>
𑂒𑂰𑂀𑂞𑂪|cā̃tal	<i>verb</i><br><ol><li>To press</li></ol>
𑂒𑂰𑂢𑂲|chānī	<i>noun</i><br><ol><li>silver</li></ol>
𑂒𑂰𑂧|cām	<i>noun</i><br><ol><li>leather</li><li>skin</li></ol>
𑂒𑂰𑂯𑂪|cāhal	<i>verb</i><br><ol><li>to want</li></ol>
𑂒𑂰𑂯𑂵|cāhe	<i>conj</i><br><ol><li>or</li></ol>
𑂒𑂱𑂚𑂆|ciṛaī	<i>noun</i><br><ol><li>sparrow</li><li>bird</li></ol>
𑂒𑂱𑂢𑂹𑂯𑂪|cinhal	<i>verb</i><br><ol><li>to recognise, know, identify.</li></ol>
𑂒𑂱𑂧𑂍𑂲|cimkī	<i>noun</i><br><ol><li>polythene bag, plastic bag</li></ol>
𑂒𑂱𑂧𑂒𑂱𑂧𑂹𑂧𑂲|cimcimmī	<i>noun</i><br><ol><li>polythene bag, plastic bag</li></ol>
𑂒𑂱𑂪𑂹𑂍𑂰|cilkā	<i>noun</i><br><ol><li>kid , child</li></ol>
𑂒𑂳𑂪|cul	<i>noun</i><br><ol><li>hair</li></ol>
𑂓𑂔𑂹𑂔𑂰|chajjā	<i>noun</i><br><ol><li>roof top</li></ol>
𑂓𑂚|chaṛ	<i>noun</i><br><ol><li>stick</li><li>rod</li></ol>
𑂓𑂚𑂯𑂩|chaṛhar	<i>adj</i><br><ol><li>slim, skinny</li><li>pasty</li></ol>
𑂓𑂞𑂹𑂞𑂰|chattā	<i>noun</i><br><ol><li>roof</li><li>ceiling</li><li>hive</li></ol>
𑂓𑂰𑂯|chāh	<i>noun</i><br><ol><li>shadow, silhouette</li></ol>
𑂓𑂰𑂯𑂲|chāhī	<i>noun</i><br><ol><li>shade</li></ol>
𑂓𑂰𑂯𑂳𑂩|chāhur	<i>noun</i><br><ol><li>shade</li></ol>
𑂓𑂱𑂞𑂩𑂰𑂪|chitrāl	<i>verb</i><br><ol><li>to scatter</li></ol>
𑂓𑂳𑂞𑂪|chutal	<i>verb</i><br><ol><li>to be defiled</li></ol>
𑂔𑂎𑂢𑂱|jakhni	<i>adv</i><br><ol><li>when (non-interrogative)</li></ol>
𑂔𑂗𑂹𑂗𑂰|jaṭṭā	<i>noun</i><br><ol><li>a lock of hair</li><li>a stubborn person</li></ol>
𑂔𑂚𑂲|jaṛī	<i>noun</i><br><ol><li>root</li></ol>
𑂔𑂞𑂢|jatan	<i>noun</i><br><ol><li>try, attempt</li></ol>
𑂔𑂞𑂢⸱𑂍𑂶𑂪|jatan kail	<i>verb</i><br><ol><li>to try</li></ol>
𑂔𑂞𑂢𑂬𑂲𑂪|jatanshīl	<i>adj</i><br><ol><li>diligent</li><li>laborious, hard-working</li></ol>
𑂔𑂢𑂰𑂢𑂰|janānā	<i>adj</i><br><ol><li>woman</li><li>wife</li></ol>
𑂔𑂢𑂰𑂢𑂲|janānī	<i>adj</i><br><ol><li>feminine</li></ol>
𑂔𑂢𑂲|janī|जनी	<i>noun</i><br><ol><li>woman</li><li>female</li></ol>
𑂔𑂢𑂹𑂧|janm	<i>noun</i><br><ol><li>birth</li></ol>
𑂔𑂨|jay	<i>det</i><br><ol><li>as many</li></ol><br><i>intj</i><br><ol><li>hail, glory, long live; victory to</li></ol>
𑂔𑂩𑂪|jaral	<i>verb</i><br><ol><li>to burn (be consumed by fire)</li></ol>
𑂔𑂪|jal	<i>noun</i><br><ol><li>water</li></ol>
𑂔𑂪𑂧|jalam	<i>noun</i><br><ol><li>birth</li></ol>
𑂔𑂰ऽ|jāऽ	<i>intj</i><br><ol><li>An exclamation or expression of alarm, concern, or resentment about an error.</li></ol>
𑂔𑂰𑂀𑂞𑂪|jā̃tal	<i>verb</i><br><ol><li>To press</li></ol>
𑂔𑂰𑂀𑂞𑂰|jā̃tā	<i>noun</i><br><ol><li>handmill, quernstone</li></ol>
𑂔𑂰𑂞𑂱|jāti	<i>noun</i><br><ol><li>caste</li><li>race, species</li></ol>
𑂔𑂰𑂞𑂱𑂏𑂩|jātigar	<i>adj</i><br><ol><li>of noble descent</li></ol>
𑂔𑂰𑂠𑂵|jāde	<i>adj</i><br><ol><li>more</li><li>too many</li></ol><br><i>adv</i><br><ol><li>much</li></ol>
𑂔𑂰𑂢𑂪|jānal	<i>verb</i><br><ol><li>to know</li></ol>
𑂔𑂱𑂢𑂏𑂲|jinagī	<i>noun</i><br><ol><li>life</li></ol>
𑂔𑂱𑂥𑂹𑂦𑂲|jibbhī	<i>noun</i><br><ol><li>tongue cleaner</li></ol>
𑂔𑂲𑂦|jībh	<i>noun</i><br><ol><li>tongue</li></ol>
𑂔𑂲𑂫|jīu	<i>noun</i><br><ol><li>living being</li></ol>
𑂔𑂲𑂫𑂢|jīwan	<i>noun</i><br><ol><li>life, existence</li></ol>
𑂔𑂳𑂞𑂱𑂏𑂩|jutigar	<i>noun</i><br><ol><li>competent</li></ol>
𑂔𑂵𑂢𑂹𑂢𑂵|jenne	<i>adv</i><br><ol><li>whither (relative)</li><li>wherever</li><li>whichever way</li></ol>
𑂔𑂵𑂫𑂢𑂰|jeunā	<i>noun</i><br><ol><li>meal</li></ol>
𑂔𑂵𑂫𑂢𑂰𑂩|jeunār	<i>noun</i><br><ol><li>meal</li></ol>
𑂔𑂵𑂫𑂪|jewal	<i>verb</i><br><ol><li>to eat</li><li>to feast</li></ol>
𑂔𑂵𑂯𑂱𑂔𑂰|jehijā	<i>adv</i><br><ol><li>(relative) wherever</li></ol>
𑂔𑂷𑂚𑂱𑂄𑂪|joṛiāl	<i>verb</i><br><ol><li>to collect</li></ol>
𑂔𑂷𑂢𑂹𑂯𑂲|jonhī	<i>noun</i><br><ol><li>moon</li></ol>
𑂕𑂣𑂢𑂰|jhapnā	<i>noun</i><br><ol><li>lid</li><li>bottle cap, pen cap</li><li>covering</li></ol>
𑂕𑂰𑂣𑂪|jhāpal	<i>verb</i><br><ol><li>to cover</li></ol>
𑂕𑂷𑂀𑂗|jhõṭ	<i>noun</i><br><ol><li>a lock of hair</li></ol>
𑂗𑂗𑂶𑂢𑂲|ṭaṭainī	<i>noun</i><br><ol><li>twisting pain</li></ol>
𑂗𑂢𑂍𑂪|ṭankal	<i>verb</i><br><ol><li>(vulgar, slang)to have an erection</li></ol>
𑂗𑂲𑂮|ṭīs	<i>noun</i><br><ol><li>sudden pain, smarting</li></ol>
𑂗𑂵𑂩|ṭer	<i>noun</i><br><ol><li>a call</li><li>a call for help</li></ol>
𑂗𑂵𑂩𑂪|ṭeral	<i>verb</i><br><ol><li>to call out to</li><li>to call for help</li></ol>
𑂘𑂰𑂜|ṭhāṛh	<i>adj</i><br><ol><li>standing, upright</li><li>erect</li></ol>
𑂘𑂲𑂍|ṭhīk	<i>adj</i><br><ol><li>correct</li></ol>
𑂘𑂵𑂣𑂹𑂣𑂲|ṭheppi	<i>noun</i><br><ol><li>bottle cap, pen cap</li><li>cork of a bottle.</li></ol>
𑂘𑂷𑂩|ṭhor	<i>noun</i><br><ol><li>lips</li></ol>
𑂙𑂩|ḍar	<i>noun</i><br><ol><li>fear</li></ol>
𑂙𑂯𑂪|ḍahal	<i>verb</i><br><ol><li>to burn , combust</li></ol>
𑂙𑂰𑂍|ḍāk	<i>noun</i><br><ol><li>mail, post</li></ol>
𑂙𑂰𑂍𑂎𑂰𑂢𑂰|ḍākkhānā	<i>noun</i><br><ol><li>post office</li><li>(slang) A strip of material (sometimes hiding zippers or buttons) at the front of a pair of trousers, pants, underpants, bootees; fly</li></ol>
𑂙𑂰𑂍𑂐𑂩|ḍākghar	<i>noun</i><br><ol><li>post office</li></ol>
𑂙𑂰𑂯|ḍāh	<i>noun</i><br><ol><li>jealousy</li><li>spite</li></ol>
𑂙𑂰𑂯𑂎𑂷𑂗|ḍāhkhoṭ	<i>adj</i><br><ol><li>spiteful</li></ol>
𑂙𑂰𑂯𑂮𑂲|ḍāhsī	<i>adj</i><br><ol><li>jealous</li><li>spiteful</li></ol>
𑂙𑂳𑂝𑂹𑂙𑂰|ḍuṇḍā	<i>adj</i><br><ol><li>alone, single</li><li>lonely</li></ol>
𑂙𑂵𑂏|ḍeg	<i>noun</i><br><ol><li>footstep</li></ol>
𑂙𑂵𑂑𑂹𑂏𑂲|ḍeṅgī	<i>noun</i><br><ol><li>boat</li></ol>
𑂙𑂵𑂪𑂲|ḍelī	<i>adj</i><br><ol><li>daily, everyday</li></ol>
𑂙𑂷𑂩𑂰|ḍorā	<i>noun</i><br><ol><li>thread</li></ol>
𑂛𑂰𑂩𑂪|ḍharal	<i>verb</i><br><ol><li>to pour</li></ol>
𑂛𑂵𑂩|ḍher|ढेर	<i>adj</i><br><ol><li>many</li><li>much</li><li>too much</li></ol><br><i>adv</i><br><ol><li>very</li></ol>
𑂛𑂷𑂃𑂪|ḍhoal	<i>verb</i><br><ol><li>to carry</li><li>to bear</li></ol>
𑂞𑂎𑂢𑂱|takhni	<i>adv</i><br><ol><li>then, afterwards</li><li>at that time, back then</li></ol>
𑂞𑂨|tay	<i>adj</i><br><ol><li>decided, finalized, agreed on</li></ol><br><i>det</i><br><ol><li>that many</li></ol>
𑂞𑂰𑂍𑂪|tākal	<i>verb</i><br><ol><li>to look around, watch alertly</li><li>to stare, gaze, ogle</li></ol>
𑂞𑂰𑂏𑂰|tāgā	<i>noun</i><br><ol><li>thread</li></ol>
𑂞𑂱𑂩𑂱𑂄|tiriā	<i>noun</i><br><ol><li>woman</li><li>wife</li></ol>
𑂞𑂲𑂩𑂪|tīral	<i>verb</i><br><ol><li>to pull</li></ol>
𑂞𑂵𑂔𑂪|tejal	<i>verb</i><br><ol><li>to renounce, give up</li><li>to leave</li></ol>
𑂟𑂰𑂍𑂪|thākal	<i>verb</i><br><ol><li>to become tired, exhausted</li></ol>
𑂠𑂠𑂹𑂠𑂰|daddā	<i>noun</i><br><ol><li>(dialectal)father</li></ol>
𑂠𑂢𑂹𑂠|dand	<i>noun</i><br><ol><li>concern, worry</li><li>anxiety</li></ol>
𑂠𑂢𑂹𑂢𑂵|danne	<i>postp</i><br><ol><li>in the direction of; toward</li><li>Located close to; near</li></ol>
𑂠𑂰𑂜|dāṛh	<i>noun</i><br><ol><li>a long beard</li></ol>
𑂠𑂰𑂜𑂲|dāṛhī	<i>noun</i><br><ol><li>beard</li></ol>
𑂠𑂰𑂠𑂰|dādā	<i>noun</i><br><ol><li>(dialectal)father</li></ol>
𑂠𑂱𑂄|diā	<i>postp</i><br><ol><li>about; concerning to,related to</li></ol>
𑂠𑂱𑂢𑂰|dinā	<i>noun</i><br><ol><li>day</li></ol>
𑂠𑂳𑂎|dukh	<i>noun</i><br><ol><li>sadness</li></ol>
𑂠𑂳𑂎𑂰𑂪|dukhāl	<i>verb</i><br><ol><li>to ache; to pain</li></ol>
𑂠𑂳𑂮𑂪|dusal	<i>verb</i><br><ol><li>to reprove</li><li>to condemn</li></ol>
𑂠𑂳𑂮𑂹𑂢𑂰|dusnā	<i>noun</i><br><ol><li>faultfinder, nitpicker</li></ol>
𑂠𑂵𑂎𑂪|dekhal	<i>verb</i><br><ol><li>to see</li></ol>
𑂠𑂵𑂥𑂰𑂪|debāl	<i>noun</i><br><ol><li>wall</li></ol>
𑂠𑂵𑂩𑂲|derī	<i>noun</i><br><ol><li>delay</li></ol>
𑂠𑂵𑂮|des	<i>noun</i><br><ol><li>country</li><li>land, place</li></ol>
𑂠𑂵𑂯|deh	<i>noun</i><br><ol><li>(anatomy) body</li></ol>
𑂠𑂵𑂯𑂒𑂷𑂩|dehchor	<i>adj</i><br><ol><li>lazy, inactive, work-shy</li></ol>
𑂠𑂷𑂮𑂩|dosar	<i>adj</i><br><ol><li>other, different</li></ol><br><i>num</i><br><ol><li>second</li></ol>
𑂡𑂩𑂪|dharal	<i>verb</i><br><ol><li>to hold, grip, grab</li></ol>
𑂡𑂰𑂉𑂪|dhāel	<i>verb</i><br><ol><li>to run</li></ol>
𑂡𑂱𑂄|dhiā	<i>noun</i><br><ol><li>daughter</li></ol>
𑂡𑂱𑂒𑂷𑂠𑂰|dhichodā	<i>noun</i><br><ol><li>(vulgar, slang) daughterfucker (usually used as a form of insult and during fights)</li></ol>
𑂡𑂹𑂨𑂰𑂢|dhyān	<i>noun</i><br><ol><li>recollection, remembrance</li><li>attention</li><li>meditation</li><li>cogitation</li></ol>
𑂡𑂹𑂨𑂰𑂢⸱𑂍𑂶𑂪|dhyān kail	<i>verb</i><br><ol><li>to recollect, remember</li></ol>
𑂡𑂹𑂨𑂰𑂢⸱𑂣𑂚𑂪|dhyān paṛal	<i>verb</i><br><ol><li>to recall</li><li>to take notice</li></ol>
𑂡𑂹𑂨𑂰𑂢⸱𑂩𑂰𑂎𑂪|dhyān rākhal	<i>verb</i><br><ol><li>to keep in mind; remember</li></ol>
𑂢𑂧𑂯𑂩|namhar	<i>adj</i><br><ol><li>long (of objects, duration, etc)</li></ol>
𑂢𑂩𑂵𑂗𑂲|nareṭī	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
𑂢𑂪𑂹𑂪𑂲|nallī	<i>noun</i><br><ol><li>drain</li><li>watercourse</li></ol>
𑂢𑂮𑂍𑂞|nasakat	<i>adj</i><br><ol><li>lazy</li><li>unable</li></ol>
𑂢𑂰𑂏𑂰|nāgā	<i>adj</i><br><ol><li>absent</li><li>nude</li></ol><br><i>noun</i><br><ol><li>break, discontinuity</li></ol>
𑂢𑂰𑂪𑂰|nālā	<i>noun</i><br><ol><li>watercourse</li><li>drain</li></ol>
𑂢𑂱𑂞𑂹𑂞|nitt	<i>adj</i><br><ol><li>daily, everyday</li></ol>
𑂢𑂱𑂤𑂱𑂍𑂱𑂩|niphikir	<i>adj</i><br><ol><li>unconcerned, worryless</li><li>secure</li></ol>
𑂢𑂱𑂩𑂰𑂪|nirāl	<i>noun</i><br><ol><li>(anatomy) forehead</li><li>(anatomy) brow</li></ol>
𑂢𑂱𑂩𑂵𑂎𑂪|nirekhal	<i>verb</i><br><ol><li>to watch with attention, observe</li></ol>
𑂢𑂱𑂬𑂹𑂒𑂱𑂢𑂹𑂞|niscint	<i>adj</i><br><ol><li>unconcerned, worryless</li><li>secure</li></ol>
𑂢𑂲𑂍|nīk	<i>adj</i><br><ol><li>good, nice</li></ol>
𑂢𑂳𑂍𑂪|nukal	<i>verb</i><br><ol><li>to hide</li></ol>
𑂢𑂴𑂢|nūn	<i>noun</i><br><ol><li>salt</li></ol>
𑂢𑂴𑂢𑂏𑂩|nūngar	<i>adj</i><br><ol><li>salty</li></ol>
𑂢𑂵|ne	<i>postp</i><br><ol><li>in, inside of</li><li>within</li></ol>
𑂢𑂵𑂫𑂞𑂪|neutal	<i>verb</i><br><ol><li>to invite</li></ol>
𑂢𑂵𑂫𑂞𑂰|neotā	<i>noun</i><br><ol><li>an invitation</li></ol>
𑂣𑂒𑂹𑂓𑂲|pacchī	<i>noun</i><br><ol><li>bird</li><li>patron</li></ol>
𑂣𑂚𑂪|paṛal	<i>verb</i><br><ol><li>to fall, to fall down, to drop</li><li>to lie, be strewn about</li><li>to be hot or cold (of the weather)</li><li>to occur, happen</li><li>to befall, happen to</li><li>(modal auxiliary) must</li></ol>
𑂣𑂞𑂹𑂟𑂪|patthal	<i>noun</i><br><ol><li>stone, rock</li></ol>
𑂣𑂢𑂹𑂢𑂰|pannā	<i>noun</i><br><ol><li>page</li><li>paper, sheet</li></ol>
𑂣𑂢𑂹𑂢𑂲|pannī	<i>noun</i><br><ol><li>plastic sheet</li><li>plastic bag, polythene bag</li></ol>
𑂣𑂩|par	<i>adv</i><br><ol><li>last year</li></ol>
𑂣𑂩𑂮𑂰𑂠𑂱|parsādi	<i>noun</i><br><ol><li>(Hinduism, Sikhism) a type of food that is served as a religious offering in both Hinduism and Sikhism</li></ol>
𑂣𑂩𑂮𑂰𑂪|parsāl	<i>adv</i><br><ol><li>last year</li></ol>
𑂣𑂩𑂮𑂴|parsū	<i>adv</i><br><ol><li>day after tomorrow</li><li>day before yesterday</li></ol>
𑂣𑂩𑂱|pari	<i>postp</i><br><ol><li>locative case: on, over, at</li></ol>
𑂣𑂩𑂱𑂄𑂩|pariār	<i>adv</i><br><ol><li>the year before last</li></ol>
𑂣𑂩𑂵𑂫𑂰|parewā	<i>noun</i><br><ol><li>pigeon</li></ol>
𑂣𑂯𑂱𑂩𑂪|pahiral	<i>verb</i><br><ol><li>to wear, to put on</li></ol>
𑂣𑂯𑂳𑂢𑂰|pahunā	<i>noun</i><br><ol><li>guest, visitor</li><li>son-in-law</li></ol>
𑂣𑂰𑂩𑂪|pāral	<i>verb</i><br><ol><li>to be able to; can</li></ol>
𑂣𑂱𑂁𑂣𑂚𑂲|Pimpaṛī	<i>noun</i><br><ol><li>ant</li></ol>
𑂣𑂱𑂓𑂪𑂏𑂹𑂏𑂴|pichlaggū	<i>adj</i><br><ol><li>clingy</li></ol><br><i>noun</i><br><ol><li>follower</li></ol>
𑂣𑂱𑂚𑂰𑂪|piṛāl	<i>verb</i><br><ol><li>to ache; to pain</li></ol>
𑂣𑂱𑂣𑂩𑂰|piparā	<i>noun</i><br><ol><li>sacred fig, bo tree, peepul, pipal, Ficus religiosa</li></ol>
𑂣𑂳𑂓𑂰𑂩|puchār	<i>noun</i><br><ol><li>asking</li><li>interrogation</li></ol>
𑂣𑂳𑂩𑂰𑂉𑂪|purāel	<i>verb</i><br><ol><li>to complete</li><li>to finish, end</li></ol>
