bakati	<i>adj</i><br><ol><li>numerous</li></ol>
bakaw	<i>noun</i><br><ol><li>mangrove</li></ol><br><i>verb</i><br><ol><li>to control, to manipulate</li></ol>
bakawan	<i>noun</i><br><ol><li>mangrove</li></ol>
bakbak	<i>noun</i><br><ol><li>hammer</li></ol>
bakes	<i>verb</i><br><ol><li>to compare measurements of distances</li><li>to put together</li><li>to regard as one</li><li>to put on armor for battle</li></ol>
bakesan	<i>noun</i><br><ol><li>squash</li></ol><br><i>verb</i><br><ol><li>to compare the linear measurements of two objects</li></ol>
bakid	<i>noun</i><br><ol><li>measure having capacity of twenty-five gantas</li></ol>
bakilid	<i>noun</i><br><ol><li>hill</li></ol><br><i>adj</i><br><ol><li>hilly</li></ol>
baklay	<i>verb</i><br><ol><li>to walk</li></ol>
baklayan	<i>noun</i><br><ol><li>footpath, trail</li></ol>
bakolod	<i>noun</i><br><ol><li>wide or flat shore</li></ol>
bakong	<i>noun</i><br><ol><li>a plant with a white flower, used as a medicine for stomach ache (Crinum Asiaticum)</li></ol>
bakti	<i>adj</i><br><ol><li>faithful, loyal</li></ol>
balalatok	<i>noun</i><br><ol><li>woodpecker</li></ol>
balang	<i>verb</i><br><ol><li>to happen, to occur</li><li>to hinder</li></ol>
balaw	<i>noun</i><br><ol><li>resin</li><li>glue</li><li>plastic paste</li></ol>
balbal	<i>noun</i><br><ol><li>witch, cannibal</li></ol>
balda	<i>adj</i><br><ol><li>physically disabled or defective</li></ol>
baldi	<i>noun</i><br><ol><li>bucket, pail</li></ol>
baleng	<i>noun</i><br><ol><li>(skin) scar</li></ol>
balet	<i>noun</i><br><ol><li>island</li></ol>
baletek	<i>noun</i><br><ol><li>thorn, spike</li></ol>
bali	<i>noun</i><br><ol><li>price</li><li>worth</li></ol>
balig	<i>noun</i><br><ol><li>puberty</li></ol>
balik	<i>verb</i><br><ol><li>to return</li><li>to repeat</li><li>to memorize</li><li>to disillusion</li></ol>
balisong	<i>noun</i><br><ol><li>long, slender knife</li></ol>
balkon	<i>noun</i><br><ol><li>balcony</li><li>porch</li></ol>
balo	<i>noun</i><br><ol><li>widow</li></ol>
baloyot	<i>noun</i><br><ol><li>sack</li></ol>
bambang	<i>verb</i><br><ol><li>to bruise</li></ol>
ban	<i>verb</i><br><ol><li>to sneeze</li></ol>
banayaw	<i>noun</i><br><ol><li>fishhook</li></ol>
bandas	<i>verb</i><br><ol><li>to scratch</li></ol>
bandos	<i>verb</i><br><ol><li>to taper</li></ol>
bang	<i>noun</i><br><ol><li>(Islam) adhan, call to prayer</li></ol>
banga	<i>noun</i><br><ol><li>palm tree</li></ol>
bangan	<i>noun</i><br><ol><li>band</li></ol><br><i>verb</i><br><ol><li>to tie</li></ol>
bangat	<i>verb</i><br><ol><li>to bind, to tie securely</li></ol>
bangaw	<i>noun</i><br><ol><li>buffet; food served at feasts; food for the public</li></ol>
bangbang	<i>adj</i><br><ol><li>completely blind</li></ol>
bangen	<i>noun</i><br><ol><li>encumbrance</li></ol><br><i>verb</i><br><ol><li>to hinder, to interfere, to restrict</li></ol>
banger	<i>verb</i><br><ol><li>to bite</li></ol>
