आघाय|आघायेहि|āghāya|आघायम्मि|आघायेसुं|आघायेसु|आघायाउ|आघायेणं|आघायाअ|आघायस्स|आघायाहि|आघायं|आघायाणं|आघायासु|आघाया|आघायाण|आघायाहिं|आघायेण|आघायाइ|आघाये|आघायासुं|आघायाइं|आघायो|आघायाओ|आघायेहिं|आघायाहिंतो|आघायाए	<i>noun</i><br><ol><li>Devanagari script form of 𑀆𑀖𑀸𑀬</li></ol><br><i>adj</i><br><ol><li>Devanagari script form of 𑀆𑀖𑀸𑀬</li></ol>
आणंद|āṇaṃda	<i>noun</i><br><ol><li>Devanagari script form of 𑀆𑀡𑀁𑀤</li></ol>
आणंदिय|āṇaṃdiya	<i>adj</i><br><ol><li>Devanagari script form of 𑀆𑀡𑀁𑀤𑀺𑀬 (“happy”)</li></ol>
आणंदेदि|Sauraseni|āṇaṃdedi	<i>verb</i><br><ol><li>Devanagari script form of 𑀆𑀡𑀁𑀤𑁂𑀤𑀺 (“to make happy; gladden, please”)</li></ol>
आधाय|आधायेसुं|आधायस्स|आधायेणं|आधायेण|आधायाए|आधायेहिं|आधायम्मि|ādhāya|आधायाइं|आधायाउ|आधाये|आधायाअ|आधायेसु|आधायाहिं|आधायासु|आधायाओ|आधाया|आधायाणं|आधायं|आधायासुं|आधायाहिंतो|आधायो|आधायेहि|आधायाइ|आधायाहि|आधायाण	<i>adj</i><br><ol><li>Devanagari script form of 𑀆𑀥𑀸𑀬</li></ol>
उड्डेइ|Maharastri|ಉಡ್ಡೇಇ|uḍḍei	<i>verb</i><br><ol><li>Devanagari script form of 𑀉𑀟𑁆𑀟𑁂𑀇</li></ol>
उड्ढ|uḍḍha	<i>adj</i><br><ol><li>Devanagari script form of 𑀉𑀟𑁆𑀠</li></ol>
उत्थाण|utthāṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀉𑀢𑁆𑀣𑀸𑀡</li></ol>
उदण्णा|udaṇṇā	<i>noun</i><br><ol><li>Devanagari script form of 𑀉𑀤𑀡𑁆𑀡𑀸 (“thirst; desire for water”)</li></ol>
उद्ध|उद्धाणं|उद्धो|उद्धस्स|उद्धाहिं|उद्धं|उद्धाओ|उद्धेसु|उद्धेण|उद्धेसुं|उद्धाहिंतो|उद्धाइं|उद्धम्मि|उद्धाइ|उद्धेहि|उद्धा|उद्धेहिं|उद्धासुं|उद्धे|उद्धेणं|उद्धाए|uddha|उद्धाहि|उद्धाअ|उद्धाउ|उद्धाण|उद्धासु	<i>adj</i><br><ol><li>Devanagari script form of 𑀉𑀤𑁆𑀥</li></ol>
उवट्टण|uvaṭṭaṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀉𑀯𑀝𑁆𑀝𑀡</li></ol>
उवविसइ|ಉವವಿಸಇ|uvavisaï|Maharastri	<i>verb</i><br><ol><li>Devanagari script form of 𑀉𑀯𑀯𑀺𑀲𑀇 (“to sit”)</li></ol>
उवाणहा|uvāṇahā	<i>noun</i><br><ol><li>Devanagari script form of 𑀉𑀯𑀸𑀡𑀳𑀸 (“sandal, shoe”)</li></ol>
उवाहणा|uvāhaṇā	<i>noun</i><br><ol><li>Devanagari script form of 𑀉𑀯𑀸𑀳𑀡𑀸 (“sandal, shoe”)</li></ol>
उव्वट्टण|uvvaṭṭaṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀉𑀯𑁆𑀯𑀝𑁆𑀝𑀡</li></ol>
एदि|Sauraseni|edi	<i>verb</i><br><ol><li>Devanagari script form of 𑀏𑀤𑀺 (“to go”)</li></ol>
ओइण्ण|Maharastri|ಓಇಣ್ಣ|oiṇṇa	<i>adj</i><br><ol><li>Devanagari script form of 𑀑𑀇𑀡𑁆𑀡 (“descended”)</li></ol><br><i>verb</i><br><ol><li>Devanagari script form of 𑀑𑀇𑀡𑁆𑀡 (past participle of ओअरइ (oaraï))</li></ol>
ओदण|odaṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀑𑀤𑀡 (“boiled rice”)</li></ol>
ओयण|oyaṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀑𑀬𑀡 (“boiled rice”)</li></ol>
ओहि|ಓಹಿ|Maharastri|ohi	<i>noun</i><br><ol><li>Devanagari script form of 𑀑𑀳𑀺 (“term, limit”)</li></ol>
कंदइ|ಕಂದಇ|Maharastri|kaṃdaï	<i>verb</i><br><ol><li>Devanagari script form of 𑀓𑀁𑀤𑀇</li></ol>
कंददि|kaṃdadi|Sauraseni	<i>verb</i><br><ol><li>Devanagari script form of 𑀓𑀁𑀤𑀤𑀺 (“to cry”)</li></ol>
कस्सव|kassava	<i>name</i><br><ol><li>Devanagari script form of 𑀓𑀲𑁆𑀲𑀯</li></ol>
कारण|kāraṇa	<i>noun</i><br><ol><li>Devanagari script form of 𑀓𑀸𑀭𑀡</li></ol>
कुंभार|कुंभारो|कुंभारस्स|कुंभारेण|कुंभारेहि|कुंभारेसुं|कुंभाराओ|कुंभाराअ|kuṃbhāra|कुंभारं|कुंभारेहिं|कुंभाराहिंतो|कुंभाराणं|कुंभारेणं|कुंभाराण|कुंभाराहि|कुंभाराउ|कुंभारम्मि|कुंभारेसु|कुंभारा|कुंभारे	<i>noun</i><br><ol><li>Devanagari script form of 𑀓𑀼𑀁𑀪𑀸𑀭</li></ol>
कोहण|kohaṇa	<i>adj</i><br><ol><li>Devanagari script form of 𑀓𑁄𑀳𑀡 (“hot-tempered, inclined to or prone to anger”)</li></ol>
खज्जू|khajjū	<i>noun</i><br><ol><li>Devanagari script form of 𑀔𑀚𑁆𑀚𑀽 (“itch; itching”)</li></ol>
