cica'	<i>noun</i><br><ol><li>resin; gum</li></ol>
cicangaw	<i>verb</i><br><ol><li>to put on/wear necklace</li></ol>
ciciw	<i>noun</i><br><ol><li>piglet; pigling</li></ol>
cidal	<i>noun</i><br><ol><li>sun</li></ol>
cidap	<i>noun</i><br><ol><li>slice; sheet</li><li>connection</li><li>bark (dialect in Hengchun)</li></ol>
cifar	<i>noun</i><br><ol><li>ship; boat;</li><li>plate in shape of boat and made by leaf</li></ol>
cifinacadan	<i>verb</i><br><ol><li>to have ethnic groups; there is ethnic groups in a place</li></ol>
cifongohay	<i>adj</i><br><ol><li>wise; informed</li></ol><br><i>noun</i><br><ol><li>wise man; man of wisdom</li></ol>
ciira	<i>pron</i><br><ol><li>he; him; she; her (gender-neutral)</li></ol>
cikaf	<i>noun</i><br><ol><li>(fish) scale</li></ol>
ciko	<i>noun</i><br><ol><li>(anatomy) elbow</li></ol>
ciko^	<i>noun</i><br><ol><li>elbow</li></ol>
cila	<i>adv</i><br><ol><li>yesterday</li></ol>
cilah	<i>noun</i><br><ol><li>salt</li></ol>
cima	<i>pron</i><br><ol><li>(interrogative) who</li></ol>
cinamalay	<i>noun</i><br><ol><li>train</li></ol>
cinamlay	<i>noun</i><br><ol><li>train</li></ol>
cinco	<i>noun</i><br><ol><li>pearl</li></ol>
cingra	<i>pron</i><br><ol><li>he; she</li></ol>
cirihadayay	<i>adj</i><br><ol><li>peaceful</li></ol>
cirodisay	<i>adj</i><br><ol><li>(sea/lake) choppy; rough</li></ol>
citing	<i>noun</i><br><ol><li>dictionary</li></ol>
citinsiya	<i>noun</i><br><ol><li>bicycle</li></ol>
ciwcika	<i>noun</i><br><ol><li>(Christianity) cross</li></ol>
ciwciw	<i>noun</i><br><ol><li>chick; young chicken</li></ol>
ciyataw	<i>noun</i><br><ol><li>train stop, train station</li></ol>
coco	<i>noun</i><br><ol><li>(anatomy) breast</li></ol>
coco^	<i>noun</i><br><ol><li>breast</li></ol>
codad	<i>noun</i><br><ol><li>book</li></ol>
codah	<i>adj</i><br><ol><li>brave</li></ol>
cofay	<i>verb</i><br><ol><li>to turn back; to retrace</li></ol>
cohel	<i>noun</i><br><ol><li>(anatomy) sweat</li></ol>
cokap	<i>noun</i><br><ol><li>shoe</li></ol>
cokor	<i>noun</i><br><ol><li>walking stick</li></ol>
comikay	<i>verb</i><br><ol><li>to run; to jog</li></ol>
comod	<i>verb</i><br><ol><li>to enter; to get into; to come inside</li></ol>
congtong	<i>noun</i><br><ol><li>president (of a republic)</li></ol>
cowat	<i>verb</i><br><ol><li>to extend; to expand</li></ol>
